代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14949539.829999998211861
真實報酬,4949539.829999998211861

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19489.863494242596062
風險,233403.184385992732132
起點值,0.083502988811031
找到最佳解世代,3841
找到最佳解實驗#,1
找到最佳解次數,31

stock[index](rank)
投資組合檔數,5
BA[2](4),CSCO[4](12),MMM[16](1),NKE[19](2),UTX[24](3),
Stock#,BA[2](4),CSCO[4](12),MMM[16](1),NKE[19](2),UTX[24](3),
張數,28252,114220,22408,83892,25297,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,40.919999999925494,7.799999999813735,86.000000000000000,14.719999999972060,19.179999999934807,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1979093.519999999785796,1981724.800000000046566,1993725.760000000009313,1983221.600000000093132,1974955.969999999739230,9912721.649999998509884
FS( 3 ),1989264.239999999757856,1987435.799999999580905,2007842.799999999813735,1998322.159999999916181,1970655.479999999981374,9953520.479999998584390
FS( 4 ),2034749.959999999729916,1996573.399999999906868,2036076.879999999888241,2015939.479999999981374,2023020.270000000018626,10106359.989999998360872
FS( 5 ),1980788.639999999897555,1965734.000000000000000,2002913.039999999804422,1984899.439999999944121,1965090.140000000130385,9899425.259999999776483
FS( 6 ),2005367.880000000121072,1922330.399999999674037,1984314.399999999906868,1927013.959999999962747,1926638.699999999953434,9765665.339999999850988
FS( 7 ),2069499.919999999925494,1921188.199999999953434,1990140.479999999981374,1936242.079999999841675,1918543.659999999916181,9835614.339999999850988
FS( 8 ),2081930.799999999813735,1925756.999999999767169,1998431.440000000176951,1935403.159999999916181,1946623.330000000074506,9888145.730000000447035
FS( 9 ),2072607.639999999897555,1924614.800000000046566,1996190.639999999897555,1918624.760000000009313,1947888.179999999934807,9859926.019999999552965
FS( 10 ),2014126.000000000000000,2017132.999999999767169,1956528.479999999981374,1900168.519999999785796,1888440.229999999981374,9776396.230000000447035
FS( 11 ),2007063.000000000000000,2049114.599999999860302,1972438.159999999916181,1905202.040000000037253,1893246.659999999916181,9827064.459999999031425
FS( 12 ),1999434.959999999729916,2054825.599999999627471,1983194.000000000000000,1942114.519999999785796,1903618.429999999934807,9883187.509999999776483
FS( 13 ),2033054.839999999850988,2090233.799999999813735,2007170.559999999823049,2020134.079999999841675,1937263.439999999944121,10087856.719999998807907
FS( 14 ),2049441.000000000000000,2094802.599999999860302,1994846.159999999916181,2005033.519999999785796,1940046.109999999869615,10084169.389999998733401
FS( 15 ),2066674.719999999972060,2110793.399999999906868,1993053.520000000018626,2005033.519999999785796,1956236.189999999944121,10131791.349999999627471
FS( 16 ),2083343.399999999674037,2151912.599999999627471,2023080.239999999990687,2029362.200000000186265,1988616.349999999860302,10276314.789999999105930
FS( 17 ),2098316.959999999962747,2177040.999999999534339,2018822.719999999972060,2048657.360000000102445,1990387.140000000130385,10333225.179999999701977
FS( 18 ),2104532.399999999906868,2165619.000000000000000,2023752.479999999981374,2034395.719999999972060,1994181.689999999944121,10322481.290000000968575
FS( 19 ),2093231.600000000093132,2150770.399999999441206,2037645.440000000176951,2078858.479999999981374,2018719.779999999795109,10379225.699999999254942
FS( 20 ),2094079.160000000149012,2171330.000000000000000,2031371.200000000186265,2075502.799999999813735,2017707.900000000139698,10389991.060000000521541
FS( 21 ),2098599.479999999981374,2159908.000000000000000,2038093.600000000093132,2044462.760000000009313,2026561.849999999860302,10367625.689999999478459
FS( 22 ),2091253.959999999729916,2173614.399999999906868,2023528.399999999906868,2046140.600000000093132,2018719.779999999795109,10353257.139999998733401
FS( 23 ),2092101.519999999785796,2189605.200000000186265,2019494.960000000195578,2048657.360000000102445,2027320.760000000009313,10377179.800000000745058
FS( 24 ),2087016.160000000149012,2194174.000000000000000,2033836.080000000074506,2048657.360000000102445,2029597.489999999990687,10393281.089999999850988
FS( 25 ),2090123.880000000121072,2225013.399999999906868,2038093.600000000093132,2064596.839999999850988,2045787.570000000065193,10463615.290000000968575
FS( 26 ),2108770.199999999720603,2209022.599999999627471,2050642.080000000074506,2067952.519999999785796,2048823.209999999729916,10485210.609999997541308
