代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13459376.060000002384186
真實報酬,3459376.060000002384186

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14287.384491085747868
風險,402561.201669677160680
起點值,0.035491210856453
找到最佳解世代,1601
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MCD[15](9),WMT[28](3),
Stock#,AAPL[0](1),MCD[15](9),WMT[28](3),
張數,67971,38918,62293,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,35.160000000149012,6.299999999813735,34.570000000298023,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3393147.480000000447035,3332943.819999999832362,3325857.840000000316650,10051950.140000000596046
FS( 3 ),3415577.910000000149012,3341505.779999999795109,3346414.530000000260770,10103499.219999998807907
FS( 4 ),3468595.290000000037253,3349289.379999999888241,3394380.140000000596046,10212265.810000000521541
FS( 5 ),3493064.850000000093132,3331387.099999999627471,3368840.010000000242144,10193292.959999999031425
FS( 6 ),3437328.630000000353903,3321657.599999999627471,3355758.479999999981374,10114745.710000000894070
FS( 7 ),3435289.500000000000000,3307647.119999999646097,3360118.990000000223517,10103056.609999999403954
FS( 8 ),3476751.810000000055879,3306479.579999999608845,3365102.430000000633299,10148334.820000000298023
FS( 9 ),3474032.970000000204891,3339559.879999999888241,3340808.160000000614673,10154402.009999999776483
FS( 10 ),3543363.390000000130385,3326716.939999999944121,3340808.160000000614673,10210889.490000000223517
FS( 11 ),3629686.560000000055879,3323603.500000000000000,3321497.330000000540167,10274788.390000000596046
FS( 12 ),3659593.800000000279397,3355127.079999999608845,3361987.780000000260770,10376709.660000000149012
FS( 13 ),3756792.330000000540167,3357462.159999999683350,3357004.340000000316650,10471259.830000000074506
FS( 14 ),3760870.589999999850988,3367970.020000000018626,3393134.280000000260770,10521975.890000000596046
FS( 15 ),3819325.649999999906868,3446584.379999999888241,3396248.930000000633299,10662159.960000000894070
FS( 16 ),3869624.189999999944121,3429460.459999999962747,3361987.780000000260770,10661073.429999999701977
FS( 17 ),3917203.890000000130385,3425568.659999999683350,3338316.440000000409782,10681089.990000000223517
FS( 18 ),3811848.839999999850988,3389374.919999999925494,3317136.820000000298023,10518361.580000000074506
FS( 19 ),3804372.030000000260770,3377310.339999999850988,3300940.640000000596046,10482624.010000001639128
FS( 20 ),3791457.540000000037253,3365634.939999999944121,3283498.600000000558794,10440592.080000001937151
FS( 21 ),3852631.439999999944121,3362132.319999999832362,3277892.229999999981374,10492656.990000000223517
FS( 22 ),3776503.920000000391155,3310371.379999999888241,3219336.810000000055879,10306213.110000001266599
FS( 23 ),3811848.839999999850988,3329052.020000000018626,3194419.610000000335276,10335321.469999998807907
FS( 24 ),3664351.770000000018626,3280015.339999999850988,3120913.870000000577420,10065281.980000000447035
FS( 25 ),3627647.430000000167638,3311149.739999999757856,3167633.620000000577420,10106431.790000000968575
FS( 26 ),3429851.820000000298023,3195563.279999999795109,3047408.130000000353903,9672824.230000000447035
FS( 27 ),3631725.689999999944121,3345397.579999999608845,3165764.830000000540167,10142889.099999999627471
FS( 28 ),3531808.320000000298023,3272231.739999999757856,3015638.700000000186265,9819679.760000001639128
FS( 29 ),3629006.850000000093132,3357851.339999999850988,3097865.459999999962747,10084724.649999998509884
FS( 30 ),3660953.220000000204891,3366413.299999999813735,3099111.320000000298023,10126478.839999999850988
FS( 31 ),3722806.830000000540167,3378867.059999999590218,3113438.709999999962747,10215113.600000001490116
FS( 32 ),3694259.010000000242144,3373029.359999999869615,3234287.130000000353903,10301576.500000000000000
FS( 33 ),3694259.010000000242144,3405331.299999999813735,3211238.720000000204891,10310830.030000001192093
FS( 34 ),3554238.750000000000000,3331776.279999999795109,3226189.040000000037253,10112205.070000000298023
FS( 35 ),3457040.220000000204891,3394823.439999999944121,3257958.470000000204891,10109823.130000000819564
FS( 36 ),3461118.480000000447035,3415449.979999999981374,3251106.240000000223517,10127675.700000001117587
FS( 37 ),3627647.430000000167638,3484334.839999999850988,3314645.100000000558794,10426628.370000001043081
FS( 38 ),3652796.700000000186265,3507685.639999999664724,3324611.979999999981374,10485095.320000000298023
FS( 39 ),3629006.850000000093132,3452422.079999999608845,3282875.670000000391155,10364305.599999999627471
FS( 40 ),3724845.959999999962747,3499902.040000000037253,3295334.270000000018626,10520083.269999999552965
FS( 41 ),3786699.570000000298023,3533371.520000000018626,3313399.240000000223517,10633471.330000000074506
FS( 42 ),3786699.570000000298023,3532982.339999999850988,3290350.830000000540167,10610033.740000000223517
FS( 43 ),3737080.739999999757856,3518582.679999999701977,3313399.240000000223517,10569063.660000000149012
FS( 44 ),3699696.689999999944121,3505350.559999999590218,3279761.020000000018626,10484809.269999999552965
FS( 45 ),3632405.399999999906868,3467210.919999999925494,3241139.360000000335276,10340756.679999999701977
FS( 46 ),3687461.910000000149012,3456703.059999999590218,3219336.810000000055879,10363502.779999999329448
FS( 47 ),3728244.510000000242144,3474994.520000000018626,3265433.630000000353903,10468673.660000000149012
FS( 48 ),3730283.640000000130385,3448530.279999999795109,3252352.100000000558794,10431167.019999999552965
FS( 49 ),3665711.189999999944121,3309203.839999999850988,3199403.050000000279397,10174319.080000000074506
