代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10767791.859999999403954
真實報酬,767791.859999999403954

夏普值報酬,0.068079186000000
夏普值風險,0.025007086392609
夏普值,2.722395761391926

二次趨勢線,290.674623651982017 x^2 + -6266.959663662071762 x + 10000000.000000000000000
二次加權預期報酬,18731.057970408379333
風險,73014.665798254805850
二次加權趨勢值,0.256538296322053
一次趨勢線,7793.580271131477275 x + 10000000.000000000000000
一次預期報酬,7793.580271131477275
一次風險,154091.444075854495168
一次趨勢值,0.050577631469888
找到最佳解世代,1847
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
GS[8](2),JNJ[12](1),NKE[19](3),PG[21](5),
Stock#,GS[8](2),JNJ[12](1),NKE[19](3),PG[21](5),
張數,14987,23613,64102,31533,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,18.529999999795109,91.689999999944121,22.000000000000000,63.759999999776483,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2501198.959999999497086,2499763.870000000111759,2493589.799999999813735,2508829.239999999757856,10003381.869999999180436
FS( 3 ),2539715.549999999813735,2489374.149999999906868,2514743.459999999962747,2522073.100000000093132,10065906.259999999776483
FS( 4 ),2514537.389999999664724,2514167.799999999813735,2521153.659999999683350,2528695.029999999795109,10078553.879999998956919
FS( 5 ),2471524.699999999720603,2496458.049999999813735,2489743.680000000167638,2540362.239999999757856,9998088.669999999925494
FS( 6 ),2467927.819999999832362,2504014.209999999962747,2522435.700000000186265,2575363.869999999646097,10069741.599999999627471
FS( 7 ),2449194.069999999832362,2498347.089999999850988,2483974.500000000000000,2573471.889999999664724,10004987.550000000745058
FS( 8 ),2469876.129999999888241,2481817.989999999757856,2477564.299999999813735,2559282.039999999571592,9988540.459999999031425
FS( 9 ),2502847.529999999795109,2488429.629999999888241,2498717.959999999962747,2564327.319999999366701,10054322.439999999478459
FS( 10 ),2535369.319999999832362,2438842.330000000074506,2501282.040000000037253,2562435.339999999850988,10037929.030000001192093
FS( 11 ),2554852.419999999925494,2413812.549999999813735,2465384.919999999925494,2552344.779999999795109,9986394.669999999925494
FS( 12 ),2549906.709999999497086,2370128.500000000000000,2453205.540000000037253,2535316.959999999962747,9908557.709999999031425
FS( 13 ),2569839.419999999925494,2403895.089999999850988,2484615.520000000018626,2540046.909999999683350,9998396.939999999478459
FS( 14 ),2573586.169999999925494,2391380.199999999720603,2462179.819999999832362,2531533.000000000000000,9958679.189999999478459
FS( 15 ),2623043.270000000018626,2419715.799999999813735,2469231.040000000037253,2525857.059999999590218,10037847.169999999925494
FS( 16 ),2650019.869999999646097,2413104.159999999683350,2480128.379999999888241,2522388.429999999701977,10065640.839999999850988
FS( 17 ),2641627.149999999441206,2413340.290000000037253,2519230.599999999627471,2530902.339999999850988,10105100.379999998956919
FS( 18 ),2628738.330000000074506,2411215.120000000111759,2491025.719999999739230,2508829.239999999757856,10039808.410000000149012
FS( 19 ),2636981.179999999701977,2411215.120000000111759,2512820.400000000372529,2499369.339999999850988,10060386.039999999105930
FS( 20 ),2630836.509999999776483,2407673.169999999925494,2503205.099999999627471,2480134.209999999962747,10021848.989999998360872
FS( 21 ),2634133.649999999441206,2415701.589999999850988,2551922.620000000111759,2464683.039999999571592,10066440.899999998509884
FS( 22 ),2590821.219999999739230,2363516.859999999869615,2472436.140000000130385,2438195.319999999366701,9864969.539999999105930
FS( 23 ),2551555.279999999795109,2359030.390000000130385,2460897.780000000260770,2511667.209999999962747,9883150.660000000149012
FS( 24 ),2573136.559999999590218,2365169.770000000018626,2473077.159999999683350,2498108.019999999552965,9909491.509999999776483
FS( 25 ),2539116.069999999832362,2357141.349999999627471,2465384.919999999925494,2504099.289999999571592,9865741.629999998956919
FS( 26 ),2543911.910000000149012,2378156.919999999925494,2472436.140000000130385,2557074.729999999981374,9951579.700000001117587
FS( 27 ),2534320.229999999515712,2359738.780000000260770,2446795.340000000316650,2527118.379999999888241,9867972.730000000447035
FS( 28 ),2581679.149999999441206,2386893.729999999981374,2469872.060000000055879,2552660.109999999869615,9991105.049999998882413
FS( 29 ),2584676.549999999813735,2388782.770000000018626,2469872.060000000055879,2569372.600000000093132,10012703.980000000447035
FS( 30 ),2582728.239999999757856,2376267.879999999888241,2459615.739999999757856,2567480.619999999646097,9986092.479999998584390
FS( 31 ),2583327.719999999739230,2402478.310000000055879,2476282.260000000242144,2569372.600000000093132,10031460.889999998733401
FS( 32 ),2588723.039999999571592,2409089.949999999720603,2477564.299999999813735,2584193.109999999869615,10059570.399999998509884
