訓練日期,20120522 - 20120822
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11425028.539999999105930
真實報酬,1425028.539999999105930

夏普值報酬,0.133802854000000
夏普值風險,0.040607171290418
夏普值,3.295054783379411

預期報酬,23357.461903485822404
風險,88353.302533943380695
趨勢值,0.264364333121701
找到最佳解世代,1748
找到最佳解實驗#,2
找到最佳解次數,22

stock[index](rank)
投資組合檔數,5
AAPL[0](7),HD[9](9),MRK[17](2),PFE[20](14),WMT[28](3),
Stock#,AAPL[0](7),HD[9](9),MRK[17](2),PFE[20](14),WMT[28](3),
張數,24943,42007,53191,88731,31725,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,70.259999999776483,46.729999999981374,18.399999999906868,3.260000000009313,56.000000000000000,
20120522,1984784.769999999552965,2027304.549999999813735,1992553.260000000009313,1984915.729999999981374,2021890.250000000000000,10011448.559999998658895
20120523,2033174.189999999944121,2027304.549999999813735,1992553.260000000009313,1984915.729999999981374,2021890.250000000000000,10059837.980000000447035
20120524,2014466.939999999944121,2088214.699999999953434,2000000.000000000000000,1964507.600000000093132,2064401.749999999767169,10131590.990000000223517
20120525,2003741.449999999720603,2076872.809999999823049,1997340.449999999720603,1963620.290000000037253,2072015.750000000000000,10113590.750000000000000
20120529,2039160.509999999776483,2091155.189999999944121,1999468.090000000083819,1968056.840000000083819,2083754.000000000232831,10181594.630000000819564
20120530,2063854.079999999608845,2088214.699999999953434,1989361.799999999813735,1955634.500000000000000,2076140.000000000000000,10173205.079999998211861
20120531,2058616.049999999813735,2072672.110000000102445,1998936.179999999701977,1940550.229999999981374,2088195.499999999767169,10158970.070000000298023
20120601,1999002.279999999795109,2014702.449999999953434,1977659.779999999795109,1920142.100000000093132,2079629.750000000000000,9991136.359999999403954
20120604,2010725.489999999757856,2048308.049999999813735,1992553.260000000009313,1917480.169999999925494,2093588.749999999767169,10062655.719999998807907
20120605,2005487.459999999962747,2055029.170000000158325,1994680.899999999906868,1916592.860000000102445,2078043.500000000000000,10049833.890000000596046
20120606,2036416.779999999795109,2125600.930000000167638,2015957.299999999813735,1944099.469999999972060,2091685.250000000232831,10213759.730000000447035
