訓練日期,20170818 - 20171117
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11075197.219999998807907
真實報酬,1075197.219999998807907

夏普值報酬,0.098819722000000
夏普值風險,0.030298264720345
夏普值,3.261563753307692

預期報酬,16706.350685101155250
風險,35529.966534992759989
趨勢值,0.470204515071732
找到最佳解世代,2962
找到最佳解實驗#,6
找到最佳解次數,10

stock[index](rank)
投資組合檔數,11
BA[2](4),CAT[3](1),CSCO[4](2),CVX[5](14),DIS[6](26),HD[9](5),MSFT[18](9),PG[21](27),UNH[23](15),V[25](3),WMT[28](19),
Stock#,BA[2](4),CAT[3](1),CSCO[4](2),CVX[5](14),DIS[6](26),HD[9](5),MSFT[18](9),PG[21](27),UNH[23](15),V[25](3),WMT[28](19),
張數,3858,8035,29287,8582,8967,6073,12556,9873,4717,8898,11406,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,183.780000000027940,10.099999999976717,21.520000000018626,84.559999999939464,15.540000000037253,144.090000000083819,35.599999999976717,82.890000000013970,124.100000000093132,70.320000000065193,31.799999999930151,
20170818,909784.440000000060536,915357.300000000046566,889467.710000000079162,913895.919999999925494,902992.440000000060536,895850.860000000102445,910220.039999999920838,913039.199999999953434,900222.040000000037253,912204.300000000162981,904641.659999999916181,9967685.910000002011657
20170821,909437.220000000088476,912786.099999999976717,898546.680000000051223,907888.519999999902211,907206.930000000051223,906235.690000000060536,905951.000000000000000,916889.670000000041910,905929.610000000102445,918521.880000000004657,909204.059999999823049,9998607.360000001266599
20170822,925139.280000000027940,930623.799999999930151,915826.010000000009313,912866.079999999958090,921554.130000000004657,910547.520000000018626,918632.559999999939464,916198.560000000055879,918948.530000000027940,926085.180000000051223,912739.919999999925494,10109171.570000000298023
20170823,918735.000000000000000,922026.349999999976717,905575.560000000055879,915011.579999999958090,910166.040000000037253,905628.390000000013970,913107.919999999925494,912743.010000000009313,916354.180000000167638,918165.960000000079162,912055.559999999823049,10049579.550000000745058
20170824,921242.700000000069849,922267.400000000023283,914947.400000000023283,922134.639999999897555,910345.380000000004657,900466.340000000083819,912731.239999999990687,911064.599999999976717,918759.850000000093132,918521.880000000004657,893577.839999999967404,10046069.269999999552965
20170825,910247.400000000023283,926847.349999999976717,920804.800000000046566,928914.419999999925494,918326.010000000009313,908968.540000000153668,914363.519999999902211,913434.120000000111759,916920.220000000204891,919678.619999999995343,896885.579999999841675,10075400.579999998211861
20170828,915224.220000000088476,924597.549999999930151,923733.500000000000000,924880.880000000004657,919671.060000000055879,919535.560000000055879,914489.079999999958090,913039.199999999953434,920363.630000000121072,923504.760000000125729,890041.979999999981374,10089091.419999999925494
20170829,927994.200000000069849,932150.450000000069849,921976.280000000027940,925739.079999999958090,919760.729999999981374,910122.410000000149012,917251.399999999906868,911558.250000000000000,928099.510000000009313,923415.780000000027940,898482.419999999925494,10116560.509999999776483
20170830,927878.460000000079162,944524.349999999976717,936912.650000000023283,924623.419999999925494,922450.830000000074506,911094.090000000083819,929305.160000000032596,907115.400000000023283,924090.060000000055879,923059.860000000102445,895859.040000000037253,10146923.320000000298023
20170831,924792.060000000055879,944042.249999999883585,943355.790000000037253,923679.400000000023283,907475.940000000060536,910304.600000000093132,938847.719999999972060,911064.599999999976717,938335.400000000139698,921191.280000000027940,890498.219999999855645,10153597.260000001639128
20170901,927376.920000000041910,950389.900000000023283,945991.619999999878928,933462.880000000004657,910166.040000000037253,915831.030000000144355,928426.239999999990687,913631.580000000074506,942344.850000000093132,924572.520000000135042,893920.020000000018626,10186123.599999999627471
20170905,914529.780000000027940,950550.599999999976717,926076.460000000079162,939298.639999999897555,911062.739999999990687,928887.980000000097789,924282.760000000009313,915507.449999999953434,940269.370000000111759,916653.300000000162981,910230.599999999860302,10177359.679999999701977
20170906,905347.739999999990687,939944.400000000023283,933398.210000000079162,959466.339999999967404,910166.040000000037253,950932.970000000088476,921646.000000000000000,915507.449999999953434,935882.560000000055879,918165.960000000079162,913424.279999999911524,10203891.950000001117587
20170907,911867.760000000009313,946292.049999999930151,930176.640000000013970,959552.159999999916181,870352.560000000055879,959252.980000000097789,933448.640000000013970,917975.699999999953434,934891.989999999990687,930445.200000000069849,913880.520000000018626,10208146.199999999254942
20170908,921397.020000000018626,946693.799999999930151,921976.280000000027940,950798.519999999902211,870442.229999999981374,969759.270000000018626,928928.479999999981374,916692.210000000079162,932910.850000000093132,929288.460000000079162,899737.079999999841675,10188634.200000001117587
20170911,928380.000000000000000,955130.550000000046566,942770.049999999930151,965731.199999999953434,870621.570000000065193,961925.100000000093132,938722.160000000032596,928046.159999999916181,941542.960000000195578,944593.020000000135042,902018.279999999911524,10279491.050000000745058
20170912,928341.420000000041910,971763.000000000000000,949213.189999999944121,965473.739999999874271,877795.170000000041910,971277.520000000018626,937717.680000000051223,923307.120000000111759,931590.090000000083819,945126.900000000023283,908063.459999999962747,10309679.289999999105930
20170913,933549.720000000088476,961237.149999999906868,942477.180000000051223,979977.319999999948777,886134.479999999981374,971945.550000000162981,944372.359999999869615,923702.040000000037253,935646.710000000195578,941745.660000000032596,910914.959999999962747,10331713.129999998956919
20170914,946281.119999999995343,968066.900000000023283,942770.049999999930151,982294.459999999962747,877884.840000000083819,968058.830000000074506,938847.719999999972060,923702.040000000037253,932816.510000000009313,943970.160000000032596,908861.880000000004657,10333564.510000001639128
20170915,960825.780000000027940,975218.050000000046566,950091.799999999930151,983839.219999999855645,883444.380000000004657,962107.290000000153668,945627.959999999962747,920937.599999999976717,934939.160000000149012,937029.720000000088476,916846.079999999841675,10370917.039999999105930
20170918,976566.420000000041910,994984.149999999906868,952434.760000000125729,988645.139999999897555,879678.239999999990687,958524.220000000088476,943744.559999999939464,919752.840000000083819,934986.330000000074506,932847.660000000032596,912511.799999999930151,10394686.120000001043081
20170919,974174.460000000079162,1002295.999999999883585,951556.150000000023283,998514.439999999944121,882637.350000000093132,957613.270000000018626,947260.239999999990687,929823.300000000046566,918288.150000000139698,938008.500000000000000,913082.099999999860302,10413263.959999999031425
20170920,985748.460000000079162,1003179.849999999976717,954777.720000000088476,998771.900000000023283,889631.609999999986030,963807.730000000097789,940982.239999999990687,932094.090000000083819,923476.850000000093132,938008.500000000000000,918214.799999999930151,10448703.750000001862645
20170921,987986.100000000093132,1002697.750000000000000,957706.420000000158325,999630.099999999976717,886762.170000000041910,966904.960000000079162,931816.359999999869615,914717.609999999986030,920929.670000000158325,937118.700000000069849,912625.859999999986030,10418905.700000001117587
20170922,989567.880000000004657,999805.150000000023283,977328.709999999962747,1006667.339999999967404,884161.739999999990687,971641.900000000023283,934327.559999999939464,910768.409999999916181,910646.610000000102445,939343.200000000069849,907150.979999999981374,10431419.480000000447035
20170925,981350.339999999967404,998921.299999999930151,987579.160000000032596,1012674.739999999874271,892859.729999999981374,978504.390000000013970,919888.160000000032596,915507.449999999953434,904608.850000000093132,916742.280000000027940,902816.699999999953434,10411463.099999997764826
20170926,978958.380000000004657,1000447.950000000069849,988750.640000000013970,1008641.199999999953434,884430.750000000000000,979476.070000000065193,919888.160000000032596,914816.340000000083819,909090.000000000000000,916030.440000000060536,905554.139999999897555,10406094.070000000298023
20170927,985054.020000000018626,1000528.299999999930151,980550.279999999911524,1008040.459999999962747,889900.619999999995343,977411.250000000000000,927296.199999999953434,897242.400000000023283,917533.430000000167638,924483.540000000037253,904413.540000000037253,10412464.039999999105930
20170928,981157.440000000060536,1006233.150000000023283,976742.970000000088476,1009499.400000000023283,879229.890000000013970,986156.370000000111759,927547.320000000065193,897439.859999999986030,925127.800000000046566,930623.160000000032596,900535.500000000000000,10420302.860000001266599
