訓練日期,20130904 - 20131204
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11800607.759999999776483
真實報酬,1800607.759999999776483

夏普值報酬,0.171360776000000
夏普值風險,0.047967373702704
夏普值,3.572444409028391

預期報酬,28105.244518443400011
風險,83609.909511402540375
趨勢值,0.336147290227727
找到最佳解世代,2149
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,5
AAPL[0](22),BA[2](2),MRK[17](26),MSFT[18](3),NKE[19](1),
Stock#,AAPL[0](22),BA[2](2),MRK[17](26),MSFT[18](3),NKE[19](1),
張數,28653,19045,42363,62735,62208,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,20.600000000093132,84.549999999813735,42.770000000018626,8.199999999953434,12.800000000046566,
20130904,2041260.319999999832362,2025901.199999999953434,2019910.610000000102445,1957340.199999999953434,2026127.360000000102445,10070539.689999999478459
20130905,2027220.350000000093132,2031233.799999999813735,2012708.899999999906868,1959849.599999999860302,2033592.319999999832362,10064604.969999998807907
20130906,2039254.610000000102445,2020187.699999999720603,2011861.640000000130385,1954203.449999999953434,2021150.720000000204891,10046658.119999999180436
20130909,2071919.030000000260770,2041518.099999999860302,2022452.390000000130385,1986198.300000000046566,2034214.400000000139698,10156302.219999998807907
20130910,2024641.580000000074506,2060182.199999999953434,2032619.509999999776483,2031994.850000000093132,2078382.079999999841675,10227820.220000000670552
20130911,1914614.059999999823049,2080369.899999999906868,2039397.590000000083819,2053952.100000000093132,2102643.200000000186265,10190976.850000001490116
20130912,1934957.690000000176951,2091225.549999999813735,2027112.320000000065193,2050815.349999999860302,2117573.120000000111759,10221684.030000001192093
20130913,1902866.330000000074506,2120364.399999999906868,2024570.540000000037253,2072145.250000000000000,2112596.480000000447035,10232543.000000000000000
20130916,1842408.500000000000000,2203019.699999999720603,2041515.739999999990687,2057716.199999999720603,2121305.600000000558794,10265965.739999998360872
20130917,1863898.250000000000000,2230444.500000000000000,2033890.399999999906868,2065871.750000000000000,2125038.080000000074506,10319142.980000000447035
20130918,1902006.739999999990687,2255012.549999999813735,2050411.969999999972060,2090338.399999999906868,2161118.719999999739230,10458888.379999998956919
20130919,1933238.510000000009313,2267201.350000000093132,2044481.149999999906868,2110413.599999999627471,2161740.799999999813735,10517075.410000000149012
20130920,1913181.409999999916181,2221302.899999999906868,2033890.399999999906868,2057088.849999999860302,2158008.320000000298023,10383471.879999998956919
20130923,2008309.370000000111759,2238062.500000000000000,2019910.610000000102445,2053952.100000000093132,2145566.719999999739230,10465801.300000000745058
20130924,2002005.710000000195578,2266439.549999999813735,2013556.160000000149012,2036386.300000000046566,2159874.559999999590218,10478262.279999999329448
20130925,1971060.470000000204891,2257107.500000000000000,2019486.979999999981374,2039523.049999999813735,2143700.480000000447035,10430878.480000000447035
20130926,1990257.979999999981374,2273676.649999999906868,2019910.610000000102445,2055834.150000000139698,2187868.160000000149012,10527547.550000000745058
20130927,1975931.479999999981374,2261487.849999999627471,2024570.540000000037253,2087201.650000000139698,2290511.360000000335276,10639702.880000000819564
20130930,1951576.430000000167638,2237872.049999999813735,2016945.199999999953434,2087829.000000000000000,2259407.360000000335276,10553630.039999999105930
20131001,1997421.229999999981374,2242633.299999999813735,2064815.390000000130385,2106649.500000000000000,2252564.480000000447035,10664083.900000000372529
20131002,2004011.419999999925494,2244347.350000000093132,2049141.079999999841675,2127979.400000000372529,2236390.400000000372529,10661869.650000000372529
20131003,1978796.780000000260770,2194830.349999999627471,2048717.449999999953434,2124215.299999999813735,2228303.360000000335276,10574863.240000000223517
20131004,1977077.600000000093132,2232158.549999999813735,2043210.259999999776483,2125470.000000000000000,2243855.360000000335276,10621771.769999999552965
20131007,1996561.640000000363216,2222445.599999999627471,2028806.840000000083819,2089083.699999999720603,2218972.160000000149012,10555869.939999999478459
20131008,1968768.229999999981374,2198639.349999999627471,2022876.020000000018626,2070890.549999999813735,2186001.919999999925494,10447176.070000000298023
20131009,1991690.630000000353903,2180165.699999999720603,2002541.780000000260770,2074654.649999999906868,2205286.400000000372529,10454339.160000000149012
20131010,2004297.950000000186265,2264535.049999999813735,2011861.640000000130385,2117941.799999999813735,2284290.559999999590218,10682927.000000000000000
20131011,2017191.800000000279397,2247013.649999999906868,2003389.040000000037253,2141153.750000000000000,2284912.639999999664724,10693660.879999998956919
20131014,2030372.180000000167638,2275200.249999999534339,1980513.020000000018626,2161228.950000000186265,2303575.040000000037253,10750889.439999997615814
20131015,2041260.319999999832362,2250822.649999999906868,1972887.679999999934807,2163738.349999999627471,2292377.600000000558794,10721086.600000001490116
20131016,2051288.870000000111759,2291959.850000000093132,1998305.479999999981374,2173148.599999999627471,2317882.879999999888241,10832585.679999999701977
20131017,2065042.309999999823049,2329097.600000000093132,1995763.699999999953434,2190714.400000000372529,2318504.959999999962747,10899122.970000002533197
20131018,2083093.700000000186265,2333477.949999999720603,1974582.199999999953434,2193223.799999999813735,2362050.559999999590218,10946428.210000000894070
20131021,2134096.040000000037253,2313480.699999999720603,1970345.899999999906868,2195105.849999999627471,2367027.200000000186265,10980055.690000001341105
20131022,2128078.910000000149012,2332716.149999999906868,1968651.379999999888241,2169384.500000000000000,2362672.639999999664724,10961503.580000001937151
20131023,2148709.069999999832362,2457270.450000000186265,1972464.050000000046566,2117941.799999999813735,2350231.040000000037253,11046616.410000000149012
20131024,2177362.069999999832362,2456508.649999999441206,1958060.629999999888241,2115432.399999999441206,2348986.879999999888241,11056350.629999998956919
20131025,2153007.020000000018626,2498598.099999999627471,1971616.790000000037253,2241529.750000000000000,2354585.600000000558794,11219337.260000001639128
20131028,2169052.700000000186265,2473649.149999999906868,1921204.820000000065193,2231492.150000000372529,2348986.879999999888241,11144385.699999999254942
20131029,2114898.530000000260770,2469459.249999999534339,1930948.310000000055879,2228355.400000000372529,2361428.480000000447035,11105089.970000000670552
20131030,2148709.069999999832362,2469840.149999999906868,1916544.890000000130385,2229610.099999999627471,2368271.360000000335276,11132975.570000000298023
20131031,2139540.110000000335276,2485457.049999999813735,1910190.440000000176951,2221454.549999999813735,2356451.839999999850988,11113093.990000000223517
20131101,2128651.970000000204891,2533640.899999999906868,1916121.259999999776483,2228982.750000000000000,2365783.040000000037253,11173179.919999998062849
20131104,2156158.850000000093132,2529070.099999999627471,1936879.129999999888241,2254704.099999999627471,2375736.320000000298023,11252548.500000000000000
20131105,2150714.780000000260770,2543925.199999999720603,1921628.449999999953434,2298618.599999999627471,2401241.600000000558794,11316128.630000002682209
20131106,2132376.860000000335276,2534783.600000000093132,1947046.250000000000000,2395230.500000000000000,2387555.839999999850988,11396993.050000000745058
20131107,2097706.729999999981374,2504692.499999999534339,1941115.429999999934807,2352570.700000000186265,2354585.600000000558794,11250670.960000000894070
20131108,2130944.210000000428408,2542401.600000000093132,1982631.169999999925494,2370136.500000000000000,2398753.280000000260770,11424866.760000001639128
20131111,2124640.550000000279397,2524118.399999999906868,1991103.770000000018626,2358216.850000000558794,2399997.439999999478459,11398077.009999999776483
20131112,2128651.970000000204891,2520309.399999999906868,2016097.940000000176951,2343787.799999999813735,2391288.320000000298023,11400135.429999999701977
20131113,2131230.739999999757856,2536307.199999999720603,2005507.190000000176951,2393975.799999999813735,2421148.160000000149012,11488169.089999999850988
20131114,2161889.450000000186265,2572873.600000000093132,2025841.429999999934807,2385192.900000000372529,2446031.360000000335276,11591828.740000002086163
20131115,2148995.600000000093132,2591728.149999999906868,2036432.179999999934807,2373900.600000000558794,2464071.679999999701977,11615128.210000000894070
20131118,2122921.370000000111759,2635150.750000000000000,2033890.399999999906868,2333750.200000000186265,2444165.120000000111759,11569877.839999999850988
20131119,2126646.260000000242144,2608868.649999999441206,2036432.179999999934807,2304892.099999999627471,2420526.080000000074506,11497365.269999999552965
20131120,2108021.810000000055879,2522594.799999999813735,2038973.960000000195578,2326222.000000000000000,2421148.160000000149012,11416960.730000000447035
20131121,2133236.450000000186265,2531736.399999999906868,2059731.829999999841675,2346297.200000000186265,2429235.200000000186265,11500237.079999998211861
20131122,2127792.380000000353903,2589633.199999999720603,2073287.989999999990687,2356962.150000000372529,2453496.320000000298023,11601172.040000000968575
