訓練日期,20140707 - 20141006
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10909684.450000001117587
真實報酬,909684.450000001117587

夏普值報酬,0.082268445000000
夏普值風險,0.028219785295961
夏普值,2.915275369291203

預期報酬,15021.030227940011173
風險,108115.891988218994811
趨勢值,0.138934526198765
找到最佳解世代,1960
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](3),GS[8](2),INTC[11](5),MSFT[18](1),NKE[19](9),PG[21](4),
Stock#,AAPL[0](3),GS[8](2),INTC[11](5),MSFT[18](1),NKE[19](9),PG[21](4),
張數,17724,9835,53521,39872,42484,20838,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,78.280000000027940,26.899999999906868,22.060000000055879,16.400000000139698,18.680000000167638,42.760000000009313,
20140707,1701050.560000000055879,1650143.199999999953434,1660778.690000000176951,1674241.680000000167638,1670914.400000000139698,1671041.979999999981374,10028174.510000001639128
20140708,1690061.679999999934807,1621916.749999999767169,1647933.649999999906868,1665868.560000000288710,1650097.240000000223517,1678752.040000000037253,9954633.920000001788139
20140709,1690770.640000000130385,1619556.349999999860302,1653285.750000000000000,1661482.640000000130385,1671764.080000000307336,1701882.219999999972060,9998745.680000001564622
20140710,1684567.240000000223517,1607262.599999999860302,1673088.520000000251457,1662280.080000000074506,1646273.680000000167638,1700631.939999999944121,9974108.060000000521541
20140711,1687757.560000000055879,1620834.899999999906868,1672553.310000000055879,1678228.880000000353903,1642025.280000000027940,1691254.839999999850988,9992658.769999999552965
20140714,1709558.080000000074506,1642471.899999999906868,1685398.349999999860302,1680222.480000000214204,1656045.000000000000000,1694588.919999999925494,10068288.730000000447035
20140715,1689529.959999999962747,1663813.849999999860302,1697172.970000000204891,1692582.800000000279397,1657744.360000000335276,1693338.640000000130385,10094186.580000001937151
20140716,1679959.000000000000000,1676599.349999999860302,1854524.709999999962747,1757574.160000000149012,1633953.320000000298023,1686670.479999999981374,10289285.019999999552965
20140717,1650005.440000000176951,1673353.799999999813735,1803679.760000000242144,1775516.560000000288710,1625881.360000000335276,1675417.960000000195578,10203858.880000002682209
20140718,1673755.600000000093132,1686434.349999999860302,1803679.760000000242144,1781896.080000000074506,1646698.520000000018626,1678543.659999999916181,10271011.970000000670552
20140721,1665070.840000000083819,1688893.099999999860302,1822947.320000000065193,1787876.880000000353903,1631829.120000000111759,1672917.400000000139698,10269538.660000002011657
20140722,1678895.560000000055879,1721348.600000000093132,1862017.649999999906868,1787478.160000000149012,1636502.360000000335276,1669166.559999999823049,10355412.890000002458692
20140723,1722673.840000000083819,1739051.599999999860302,1846496.560000000055879,1789073.040000000037253,1643724.640000000130385,1666874.379999999888241,10407898.059999998658895
20140724,1719838.000000000000000,1733543.999999999767169,1833116.310000000055879,1770333.200000000186265,1669639.880000000121072,1672500.640000000130385,10398976.030000001192093
20140725,1731181.360000000102445,1725085.899999999906868,1833116.310000000055879,1774320.400000000139698,1650946.920000000158325,1657914.040000000037253,10372568.929999999701977
20140728,1755108.760000000009313,1730495.149999999906868,1832045.889999999897555,1753188.239999999990687,1665391.480000000214204,1651662.640000000130385,10387896.160000000149012
20140729,1743765.399999999906868,1726462.799999999813735,1829905.050000000046566,1749998.480000000214204,1659018.880000000121072,1638951.460000000195578,10348106.070000002160668
20140730,1739688.880000000121072,1728626.499999999767169,1838468.410000000149012,1737638.160000000149012,1691306.720000000204891,1628740.839999999850988,10364473.509999999776483
20140731,1694492.679999999934807,1700203.349999999860302,1813848.750000000000000,1720891.919999999925494,1638626.560000000288710,1611236.919999999925494,10179304.179999999701977
20140801,1703886.399999999906868,1674435.649999999906868,1805820.600000000093132,1708930.320000000065193,1630979.440000000176951,1659789.460000000195578,10183845.870000001043081
20140804,1694315.440000000176951,1688598.049999999813735,1822412.109999999869615,1729265.040000000037253,1639051.400000000139698,1650829.119999999878928,10224475.159999998286366
20140805,1685985.160000000149012,1666272.599999999860302,1756581.280000000027940,1717702.160000000149012,1633953.320000000298023,1654788.339999999850988,10115286.859999999403954
20140806,1683149.319999999832362,1669419.800000000046566,1758186.910000000149012,1704145.680000000167638,1638626.560000000288710,1689796.180000000167638,10143328.450000001117587
20140807,1674641.800000000046566,1663125.399999999906868,1749088.340000000083819,1723682.959999999962747,1621632.960000000195578,1670000.080000000074506,10102175.540000000968575
20140808,1679250.040000000037253,1694203.999999999767169,1744806.660000000149012,1722486.800000000279397,1636927.200000000186265,1686878.860000000102445,10164557.559999998658895
20140811,1701405.040000000037253,1696171.000000000000000,1767285.480000000214204,1722486.800000000279397,1636927.200000000186265,1697923.000000000000000,10222202.519999999552965
20140812,1701050.560000000055879,1694892.449999999953434,1773172.790000000270084,1735245.840000000316650,1630129.760000000009313,1696672.719999999972060,10231168.120000001043081
20140813,1723560.040000000037253,1695285.849999999860302,1825088.160000000149012,1757574.160000000149012,1641175.600000000325963,1697923.000000000000000,10340610.810000000521541
20140814,1728168.280000000027940,1698826.449999999720603,1816524.800000000046566,1765149.840000000316650,1642025.280000000027940,1707716.860000000102445,10358415.509999997913837
