訓練日期,20101129 - 20110302
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11839314.630000000819564
真實報酬,1839314.630000000819564

夏普值報酬,0.175231463000000
夏普值風險,0.048555033268853
夏普值,3.608924784990435

預期報酬,29355.900941547010007
風險,69374.142069860405172
趨勢值,0.423153354631548
找到最佳解世代,1811
找到最佳解實驗#,1
找到最佳解次數,21

stock[index](rank)
投資組合檔數,4
CVX[5](2),MMM[16](9),PFE[20](3),XOM[29](1),
Stock#,CVX[5](2),MMM[16](9),PFE[20](3),XOM[29](1),
張數,30469,29620,151607,36111,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,18.550000000279397,72.000000000000000,0.570000000298023,35.469999999739230,
20101129,2489031.160000000149012,2494668.399999999906868,2510612.490000000223517,2507944.419999999925494,10002256.470000000670552
20101130,2467093.480000000447035,2487559.600000000093132,2471194.670000000391155,2511916.629999999888241,9937764.379999998956919
20101201,2519804.850000000558794,2548873.000000000000000,2531837.470000000204891,2575833.099999999627471,10176348.419999999925494
20101202,2574649.050000000279397,2562498.200000000186265,2530321.400000000372529,2581249.750000000000000,10248718.400000000372529
20101203,2586531.960000000428408,2575234.799999999813735,2534869.610000000335276,2570777.559999999590218,10267413.929999999701977
20101206,2588360.100000000558794,2573457.600000000093132,2548514.240000000223517,2575110.879999999888241,10285442.820000000298023
20101207,2629493.250000000000000,2493779.799999999813735,2542449.960000000428408,2580527.529999999329448,10246250.539999999105930
20101208,2624618.210000000428408,2508293.600000000093132,2534869.610000000335276,2594610.819999999366701,10262392.240000000223517
20101209,2640157.400000000372529,2491410.200000000186265,2540933.890000000596046,2600027.469999999739230,10272528.960000000894070
20101210,2651735.620000000111759,2497630.399999999906868,2580351.710000000428408,2606527.450000000186265,10336245.179999999701977
20101213,2692564.080000000540167,2526658.000000000000000,2606124.900000000372529,2613027.429999999701977,10438374.410000000149012
20101214,2692868.770000000018626,2542652.800000000279397,2593996.340000000316650,2606527.450000000186265,10436045.359999999403954
20101215,2681595.240000000223517,2541764.200000000186265,2589448.129999999888241,2594610.819999999366701,10407418.390000000596046
20101216,2713587.690000000409782,2559240.000000000000000,2610673.110000000335276,2607971.889999999664724,10491472.690000001341105
20101217,2696220.360000000335276,2558351.399999999906868,2581867.780000000260770,2606166.339999999850988,10442605.879999998956919
20101220,2705665.750000000000000,2587082.800000000279397,2603092.760000000707805,2607971.889999999664724,10503813.200000001117587
20101221,2718767.420000000391155,2563090.600000000093132,2634930.229999999981374,2626027.389999999664724,10542815.640000000596046
20101222,2739791.030000000260770,2568718.399999999906868,2662219.490000000223517,2628916.269999999552965,10599645.189999999478459
20101223,2762947.470000000670552,2561313.399999999906868,2669799.840000000316650,2643360.669999999925494,10637421.380000000819564
20101227,2745884.830000000540167,2577308.200000000186265,2651607.000000000000000,2636499.580000000074506,10611299.610000001266599
20101228,2778486.660000000149012,2569310.799999999813735,2666767.700000000186265,2651305.089999999850988,10665870.250000000000000
20101229,2783971.080000000540167,2569903.200000000186265,2668283.770000000484288,2649499.540000000037253,10671657.590000001713634
20101230,2790978.950000000186265,2563386.800000000279397,2651607.000000000000000,2649138.429999999701977,10655111.179999999701977
20101231,2780314.800000000279397,2556278.000000000000000,2654639.140000000596046,2640471.790000000037253,10631703.730000000447035
20110103,2801338.410000000149012,2570791.800000000279397,2680412.330000000074506,2692110.519999999552965,10744653.060000000521541
20110104,2790978.950000000186265,2567237.399999999906868,2727410.500000000000000,2704749.370000000111759,10790376.219999998807907
20110105,2786103.910000000149012,2567237.399999999906868,2745603.340000000316650,2697527.169999999925494,10796471.820000000298023
20110106,2763252.160000000149012,2551538.799999999813735,2756215.830000000074506,2714860.450000000186265,10785867.240000000223517
20110107,2778486.660000000149012,2554204.600000000093132,2780472.950000000186265,2729665.959999999962747,10842830.169999999925494
20110110,2754720.840000000316650,2581455.000000000000000,2768344.390000000596046,2713054.899999999441206,10817575.129999998956919
20110111,2797986.820000000298023,2598930.799999999813735,2762280.110000000335276,2733277.059999999590218,10892474.789999999105930
20110112,2816877.600000000558794,2626181.199999999720603,2785021.160000000614673,2765415.849999999627471,10993495.810000000521541
20110113,2808650.970000000670552,2607816.800000000279397,2762280.110000000335276,2770110.279999999329448,10948858.160000000149012
20110114,2828455.820000000298023,2609594.000000000000000,2780472.950000000186265,2810915.709999999962747,11029438.480000000447035
20110118,2844299.700000000186265,2610778.799999999813735,2786537.229999999981374,2842332.279999999329448,11083948.009999999776483
20110119,2832721.480000000447035,2605447.199999999720603,2777440.810000000521541,2825360.109999999403954,11040969.599999999627471
20110120,2824799.540000000037253,2607816.800000000279397,2765312.250000000000000,2807665.719999999739230,11005594.309999998658895
20110121,2857401.370000000111759,2644841.800000000279397,2783505.090000000316650,2852082.250000000000000,11137830.509999999776483
20110124,2867151.450000000186265,2675350.399999999906868,2797149.720000000204891,2837998.959999999962747,11177650.530000001192093
20110125,2866542.070000000298023,2621442.000000000000000,2800181.860000000335276,2841248.950000000186265,11129414.880000000819564
20110126,2883604.710000000428408,2653135.399999999906868,2783505.090000000316650,2876637.729999999515712,11196882.929999999701977
20110127,2886956.300000000279397,2641879.799999999813735,2801697.930000000167638,2884582.149999999441206,11215116.179999999701977
20110128,2844909.080000000540167,2590044.799999999813735,2751667.620000000111759,2852443.359999999403954,11039064.859999999403954
20110131,2892440.720000000670552,2604262.399999999906868,2762280.110000000335276,2913470.950000000186265,11172454.180000001564622
20110201,2931745.730000000447035,2600411.800000000279397,2913887.110000000335276,3030109.479999999515712,11476154.120000001043081
20110202,2939667.670000000391155,2599227.000000000000000,2874469.290000000502914,3012053.979999999515712,11425417.940000001341105
20110203,2964956.940000000409782,2605151.000000000000000,2906306.760000000707805,3013137.309999999590218,11489552.010000001639128
20110204,2958863.140000000130385,2615221.800000000279397,2926015.670000000391155,3007359.549999999813735,11507460.160000000149012
20110207,2975621.090000000316650,2630031.800000000279397,2886597.850000000093132,3030831.700000000186265,11523082.440000001341105
20110208,2978058.610000000335276,2650173.399999999906868,2904790.690000000409782,2996526.250000000000000,11529548.949999999254942
20110209,2932355.110000000335276,2688975.600000000093132,2888113.920000000391155,2980998.519999999552965,11490443.150000000372529
20110210,2946370.850000000558794,2679497.199999999720603,2885081.780000000260770,3004470.669999999925494,11515420.500000001862645
20110211,2938753.600000000558794,2719188.000000000000000,2854760.379999999888241,2990748.489999999292195,11503450.469999998807907
20110214,2953988.100000000558794,2722150.000000000000000,2888113.920000000391155,3066220.479999999515712,11630472.500000000000000
20110215,2935402.010000000242144,2725112.000000000000000,2888113.920000000391155,2996165.139999999664724,11544793.070000000298023
20110216,2945152.090000000316650,2734886.600000000093132,2922983.530000000260770,3022165.059999999590218,11625187.280000001192093
20110217,2960691.280000000260770,2746734.600000000093132,2936628.160000000614673,3029026.149999999441206,11673080.190000001341105
20110218,3007918.230000000447035,2753547.199999999720603,2909338.900000000372529,3051414.969999999739230,11722219.300000000745058
20110222,3056668.629999999888241,2725112.000000000000000,2863856.800000000279397,3085359.309999999590218,11730996.739999998360872
20110223,3116083.180000000167638,2673573.200000000186265,2844147.890000000596046,3144220.239999999292195,11778024.510000001639128
20110224,3108770.620000000111759,2666760.600000000093132,2865372.870000000111759,3104498.139999999664724,11745402.230000000447035
20110225,3110903.450000000186265,2673277.000000000000000,2859308.590000000316650,3081748.209999999962747,11725237.250000000000000
20110228,3161177.300000000279397,2731924.600000000093132,2916919.250000000000000,3088609.299999999813735,11898630.449999999254942
20110301,3135278.650000000372529,2679497.199999999720603,2901758.550000000279397,3062248.269999999552965,11778782.669999999925494
20110302,3152645.980000000447035,2704970.399999999906868,2909338.900000000372529,3072359.349999999627471,11839314.630000000819564
