訓練日期,20170317 - 20170619
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10692096.449999999254942
真實報酬,692096.449999999254942

夏普值報酬,0.060509645000000
夏普值風險,0.023430924434455
夏普值,2.582469384392728

預期報酬,11691.232841296112383
風險,56593.825339788469137
趨勢值,0.206581420695670
找到最佳解世代,1623
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
DIS[6](22),KO[14](3),MCD[15](1),MMM[16](7),WMT[28](2),XOM[29](15),
Stock#,DIS[6](22),KO[14](3),MCD[15](1),MMM[16](7),WMT[28](2),XOM[29](15),
張數,14919,39447,13022,8757,23660,20307,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,64.510000000009313,30.250000000000000,110.439999999944121,121.330000000074506,55.600000000093132,70.510000000242144,
20170317,1667411.950000000186265,1657987.660000000149012,1675260.519999999785796,1684617.850000000093132,1653653.000000000000000,1665244.510000000242144,10004179.490000000223517
20170320,1681585.000000000000000,1663904.709999999962747,1677083.599999999860302,1690309.899999999906868,1655782.400000000139698,1665244.510000000242144,10033914.119999999180436
20170321,1667262.760000000009313,1676527.750000000000000,1673697.880000000121072,1682603.739999999990687,1653889.600000000325963,1661792.320000000298023,10015778.050000000745058
20170322,1672186.030000000027940,1671794.110000000102445,1681250.639999999897555,1683391.870000000111759,1662170.600000000093132,1660370.830000000307336,10031168.080000000074506
20170323,1674573.069999999832362,1663510.239999999990687,1679948.439999999944121,1682691.310000000055879,1652943.200000000186265,1662401.530000000260770,10016071.790000000968575
20170324,1673081.169999999925494,1661537.889999999897555,1684375.919999999925494,1677174.399999999906868,1647028.200000000186265,1649608.120000000344589,9992809.699999999254942
20170327,1676661.729999999981374,1669427.290000000037253,1686329.219999999972060,1667716.840000000083819,1648211.199999999953434,1650014.260000000242144,9998364.540000000968575
20170328,1686657.459999999962747,1673766.459999999962747,1685808.339999999850988,1672620.760000000242144,1663826.800000000046566,1661995.390000000363216,10044679.209999999031425
20170329,1678899.580000000074506,1673371.989999999990687,1677864.919999999925494,1669906.090000000083819,1673764.000000000000000,1665650.650000000139698,10039461.230000000447035
