訓練日期,20110803 - 20111102
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10719243.099999999627471
真實報酬,719243.099999999627471

夏普值報酬,0.063224310000000
夏普值風險,0.029501108045220
夏普值,2.143116451866407

預期報酬,12771.728026157048589
風險,177469.306320901727304
趨勢值,0.071965841817531
找到最佳解世代,1967
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](3),PG[21](1),V[25](2),
Stock#,MCD[15](3),PG[21](1),V[25](2),
張數,39188,54761,159565,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,1.719999999739230,30.930000000167638,20.149999999906868,
20110803,3352143.239999999757856,3325666.459999999962747,3489706.700000000186265,10167517.399999998509884
20110804,3302766.359999999869615,3262691.310000000055879,3390776.399999999906868,9956235.070000000298023
20110805,3334116.759999999776483,3317999.920000000391155,3326950.399999999906868,9979068.080000000074506
20110808,3217728.399999999906868,3246810.620000000111759,3161002.799999999813735,9625542.820000000298023
20110809,3368602.199999999720603,3297738.350000000093132,3301420.000000000000000,9967761.550000000745058
20110810,3294928.759999999776483,3204097.040000000037253,3162598.449999999720603,9661625.250000000000000
20110811,3381142.359999999869615,3310333.380000000353903,3371628.599999999627471,10063105.339999999850988
20110812,3389763.719999999739230,3348118.470000000204891,3344502.549999999813735,10082385.739999998360872
20110815,3402303.879999999422580,3388641.610000000335276,3425880.699999999720603,10216827.189999999478459
20110816,3396425.679999999701977,3374403.750000000000000,3424285.049999999813735,10195115.480000000447035
20110817,3428951.719999999739230,3377141.800000000279397,3350885.149999999906868,10156979.669999999925494
20110818,3354886.399999999906868,3332785.390000000130385,3202489.699999999720603,9890162.490000000223517
20110819,3418370.959999999962747,3338261.490000000223517,3175363.649999999906868,9931997.099999999627471
20110822,3439140.600000000093132,3379332.240000000223517,3183341.899999999906868,10001815.740000000223517
20110823,3508503.359999999869615,3451069.150000000372529,3341311.250000000000000,10300884.759999999776483
20110824,3532016.159999999683350,3466949.840000000316650,3446624.149999999906868,10445591.150000000372529
20110825,3476369.199999999720603,3424236.260000000242144,3355672.100000000093132,10256278.560000000521541
20110826,3524178.560000000055879,3426426.700000000186265,3424285.049999999813735,10374891.309999998658895
20110829,3557880.239999999757856,3454902.420000000391155,3454602.399999999906868,10467386.060000000521541
20110830,3557488.359999999869615,3477354.430000000167638,3507258.850000000093132,10542102.640000000596046
20110831,3542988.799999999813735,3487211.410000000149012,3505663.199999999720603,10535864.410000000149012
20110901,3529664.879999999422580,3464211.790000000037253,3499280.600000000093132,10493158.269999999552965
20110902,3491260.639999999664724,3425331.479999999981374,3413115.500000000000000,10329708.619999999180436
20110906,3480679.879999999422580,3416022.110000000335276,3425880.699999999720603,10322583.689999999478459
20110907,3499098.239999999757856,3434640.850000000093132,3529597.950000000186265,10463338.039999999105930
20110908,3472450.399999999906868,3445045.439999999944121,3489706.700000000186265,10407203.539999999105930
20110909,3332157.359999999869615,3386451.170000000391155,3445028.500000000000000,10163638.030000001192093
20110912,3377615.439999999478459,3385903.560000000055879,3488111.049999999813735,10251631.050000000745058
20110913,3374872.279999999795109,3391927.270000000018626,3500876.250000000000000,10267676.800000000745058
20110914,3399560.719999999739230,3413831.670000000391155,3574276.149999999906868,10387669.540000000968575
20110915,3451288.879999999422580,3437926.510000000242144,3610976.099999999627471,10500192.489999998360872
20110916,3459910.239999999757856,3522806.060000000055879,3623741.299999999813735,10606458.599999999627471
20110919,3480288.000000000000000,3494330.340000000316650,3591828.300000000279397,10566447.640000000596046
20110920,3499882.000000000000000,3509115.810000000055879,3703523.799999999813735,10712522.609999999403954
20110921,3429735.479999999515712,3451069.150000000372529,3647676.049999999813735,10528481.679999999701977
20110922,3369777.839999999385327,3349761.300000000279397,3523215.349999999627471,10242755.489999998360872
20110923,3423857.279999999795109,3354142.180000000167638,3593423.949999999720603,10371424.410000000149012
20110926,3501057.639999999664724,3424783.870000000111759,3601402.199999999720603,10527244.709999999031425
20110927,3516732.839999999385327,3464211.790000000037253,3569489.200000000186265,10550434.829999998211861
20110928,3449721.359999999869615,3435188.459999999962747,3496089.299999999813735,10381000.120000001043081
20110929,3479112.359999999869615,3488306.630000000353903,3497684.950000000186265,10465104.940000001341105
20110930,3441491.879999999422580,3459830.910000000149012,3419498.100000000093132,10320821.889999998733401
20111003,3370953.479999999515712,3441212.170000000391155,3362054.699999999720603,10174221.349999999627471
20111004,3388979.959999999962747,3470235.500000000000000,3382798.149999999906868,10242014.609999999403954
20111005,3363507.759999999776483,3468592.670000000391155,3390776.399999999906868,10222877.830000000074506
20111006,3413668.399999999906868,3483378.140000000130385,3475345.850000000093132,10372393.390000000596046
20111007,3417195.319999999832362,3499806.439999999944121,3440241.549999999813735,10357244.309999998658895
20111010,3468531.600000000093132,3548543.729999999981374,3559915.299999999813735,10576991.629999998956919
