訓練日期,20160715 - 20161014
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10677872.889999998733401
真實報酬,677872.889999998733401

夏普值報酬,0.059087289000000
夏普值風險,0.022209640505673
夏普值,2.660434282351767

預期報酬,12338.444528799436739
風險,66083.694754735392053
趨勢值,0.186709362643730
找到最佳解世代,1662
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](2),CSCO[4](5),INTC[11](9),JPM[13](3),PG[21](4),V[25](1),
Stock#,AAPL[0](2),CSCO[4](5),INTC[11](9),JPM[13](3),PG[21](4),V[25](1),
張數,16870,56003,47348,25992,19409,21329,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,78.699999999953434,16.719999999972060,16.399999999906868,58.959999999962747,15.169999999925494,17.939999999944121,
20160715,1666497.300000000046566,1670026.179999999934807,1660510.760000000009313,1668225.520000000251457,1669383.260000000009313,1670078.639999999897555,10004725.660000000149012
20160718,1684210.799999999813735,1675066.449999999953434,1659563.799999999813735,1662507.280000000027940,1667830.540000000037253,1670291.929999999934807,10019474.800000000745058
20160719,1684885.600000000093132,1675626.479999999981374,1664298.599999999860302,1659908.079999999841675,1672488.699999999953434,1679036.819999999832362,10036248.279999999329448
20160720,1686403.899999999906868,1715388.609999999869615,1689866.519999999785796,1661727.520000000018626,1655991.049999999813735,1692687.379999999888241,10102068.979999996721745
20160721,1677462.800000000046566,1712588.459999999962747,1622632.360000000102445,1655489.439999999944121,1654826.510000000009313,1680529.850000000093132,10003533.419999999925494
20160722,1664472.899999999906868,1719868.850000000093132,1641098.079999999841675,1664586.640000000130385,1663754.649999999906868,1704418.329999999841675,10058203.450000001117587
20160725,1642204.500000000000000,1724349.089999999850988,1642518.519999999785796,1660168.000000000000000,1665307.369999999878928,1683729.199999999953434,10018280.679999999701977
20160726,1630901.600000000093132,1729389.359999999869615,1661457.719999999972060,1666925.919999999925494,1655020.599999999860302,1674131.149999999906868,10017830.349999999627471
20160727,1736845.199999999953434,1722669.000000000000000,1649147.239999999757856,1672124.319999999832362,1639299.309999999823049,1674984.310000000055879,10095073.380000000819564
20160728,1760294.500000000000000,1709228.280000000027940,1646306.360000000102445,1666146.159999999916181,1646092.459999999962747,1689061.449999999953434,10117133.210000000894070
20160729,1758101.399999999906868,1709788.310000000055879,1650567.679999999934807,1662767.199999999953434,1661231.479999999981374,1664746.389999999897555,10107206.460000000894070
20160801,1789142.199999999953434,1720988.909999999916181,1650094.199999999953434,1658348.559999999823049,1677146.859999999869615,1669225.479999999981374,10164950.209999999031425
