訓練日期,20160128 - 20160429
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11332573.140000000596046
真實報酬,1332573.140000000596046

夏普值報酬,0.124557314000000
夏普值風險,0.040246872305392
夏普值,3.094832141361498

預期報酬,23036.091166390848230
風險,65540.835446927303565
趨勢值,0.351476922887940
找到最佳解世代,2363
找到最佳解實驗#,2
找到最佳解次數,28

stock[index](rank)
投資組合檔數,8
AXP[1](12),DD[7](8),KO[14](13),MCD[15](27),MMM[16](5),MRK[17](14),PFE[20](28),XOM[29](9),
Stock#,AXP[1](12),DD[7](8),KO[14](13),MCD[15](27),MMM[16](5),MRK[17](14),PFE[20](28),XOM[29](9),
張數,22927,21197,29698,10341,8588,24816,40956,16602,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,19.959999999962747,12.909999999916181,11.179999999934807,83.329999999841675,16.599999999860302,18.080000000074506,22.880000000121072,35.419999999925494,
20160128,1212399.719999999972060,1254239.399999999906868,1264255.040000000037253,1265614.909999999683350,1265200.759999999776483,1220965.280000000260770,1236894.080000000074506,1278223.399999999906868,9997792.590000001713634
20160129,1226614.459999999962747,1267805.479999999981374,1274649.340000000083819,1280092.309999999823049,1296804.599999999860302,1257444.800000000046566,1248771.320000000065193,1292501.119999999878928,10144683.429999997839332
20160201,1254126.860000000102445,1285398.989999999990687,1277025.179999999934807,1288675.339999999850988,1277309.839999999850988,1259430.080000000074506,1235665.400000000139698,1266602.000000000000000,10144233.689999999478459
20160202,1230282.779999999795109,1359376.519999999785796,1260394.299999999813735,1281850.279999999795109,1269924.159999999916181,1250992.639999999897555,1234436.720000000204891,1238378.600000000093132,10125635.999999998137355
20160203,1240599.929999999934807,1410885.229999999981374,1268709.739999999990687,1256204.599999999860302,1309858.359999999869615,1242058.879999999888241,1215187.400000000139698,1302960.379999999888241,10246464.519999999552965
20160204,1246790.219999999972060,1430598.439999999711290,1263067.119999999878928,1247828.389999999897555,1317759.319999999832362,1205827.520000000251457,1187746.880000000121072,1325373.079999999841675,10224990.969999998807907
20160205,1237619.419999999925494,1409401.439999999711290,1260394.299999999813735,1193434.729999999981374,1318016.959999999962747,1225432.160000000149012,1188975.560000000055879,1329523.579999999841675,10162798.149999998509884
20160208,1201394.760000000009313,1395623.389999999897555,1266630.879999999888241,1200156.379999999888241,1321709.799999999813735,1211783.360000000102445,1169726.239999999990687,1347453.739999999757856,10114478.550000000745058
20160209,1206667.969999999972060,1406645.829999999841675,1285934.579999999841675,1210083.739999999990687,1328923.719999999972060,1219972.639999999897555,1191842.480000000214204,1329523.579999999841675,10179594.539999999105930
20160210,1198872.790000000037253,1393503.689999999711290,1263661.079999999841675,1215564.469999999972060,1309257.199999999720603,1229154.560000000055879,1207815.320000000065193,1317404.119999999878928,10135233.229999998584390
20160211,1171818.929999999934807,1352381.509999999776483,1259503.359999999869615,1207188.259999999776483,1293970.559999999823049,1212279.680000000167638,1193071.160000000149012,1321554.619999999878928,10011768.079999998211861
20160212,1207355.779999999795109,1388840.349999999860302,1280291.959999999962747,1219597.459999999962747,1322225.079999999841675,1216746.560000000055879,1202491.040000000037253,1345295.479999999981374,10182843.710000000894070
20160216,1219277.820000000065193,1413640.839999999850988,1287716.459999999962747,1232523.709999999962747,1335708.239999999757856,1235358.560000000055879,1220921.239999999990687,1348449.859999999869615,10293596.730000000447035
20160217,1229136.429999999934807,1448615.889999999897555,1291577.199999999953434,1226939.569999999832362,1345069.159999999916181,1255707.680000000167638,1213549.160000000149012,1361399.419999999925494,10371994.509999999776483
20160218,1241517.010000000009313,1435897.689999999711290,1295140.959999999962747,1211738.299999999813735,1346443.239999999757856,1248759.200000000186265,1210272.680000000167638,1368870.320000000065193,10358639.400000000372529
20160219,1254356.129999999888241,1421271.759999999776483,1299892.640000000130385,1205120.059999999823049,1343609.199999999720603,1243796.000000000000000,1207815.320000000065193,1369700.419999999925494,10345561.529999999329448
20160222,1275448.969999999972060,1445648.310000000055879,1304941.299999999813735,1216908.799999999813735,1354344.199999999720603,1259926.400000000139698,1230750.680000000167638,1367874.199999999953434,10455842.859999999403954
