訓練日期,20150908 - 20151208
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12102865.019999999552965
真實報酬,2102865.019999999552965

夏普值報酬,0.201586502000000
夏普值風險,0.060963770050607
夏普值,3.306660690975294

預期報酬,35942.491945870919153
風險,194758.188938271428924
趨勢值,0.184549323146884
找到最佳解世代,1781
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,5
HD[9](7),MCD[15](1),MSFT[18](2),NKE[19](14),V[25](4),
Stock#,HD[9](7),MCD[15](1),MSFT[18](2),NKE[19](14),V[25](4),
張數,17479,21085,46937,36463,28918,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,52.820000000065193,87.750000000232831,14.429999999934807,4.449999999953434,31.120000000111759,
20150908,2035132.790000000270084,2040694.050000000279397,2060079.359999999869615,2037556.890000000130385,2039617.660000000149012,10213080.750000001862645
20150909,1992134.449999999953434,2012229.300000000279397,2021591.020000000018626,2002917.040000000037253,2012723.919999999925494,10041595.730000000447035
20150910,2001223.530000000027940,2008434.000000000232831,2031917.159999999916181,2012397.419999999925494,2030942.260000000242144,10084914.370000001043081
20150911,2017828.580000000074506,2053977.600000000093132,2040835.189999999711290,2038650.779999999795109,2046268.800000000279397,10197560.950000001117587
20150914,2005418.490000000223517,2044700.200000000186265,2020182.909999999916181,2040109.300000000046566,2024580.300000000279397,10134991.200000001117587
20150915,2030763.040000000270084,2070423.900000000139698,2064303.689999999711290,2075478.409999999916181,2039039.300000000279397,10280008.339999999850988
20150916,2059428.599999999860302,2080966.400000000139698,2079323.529999999795109,2107201.219999999739230,2052919.939999999944121,10379839.689999999478459
20150917,2061001.709999999962747,2063044.150000000372529,2076976.679999999934807,2101731.769999999552965,2052052.399999999906868,10354806.709999999031425
20150918,2012235.300000000046566,2046387.000000000232831,2040835.189999999711290,2097720.839999999850988,2018218.340000000316650,10215396.669999999925494
20150921,2037754.640000000130385,2064309.250000000465661,2070405.500000000000000,2125068.089999999850988,2046847.160000000149012,10344384.640000000596046
20150922,2024121.020000000018626,2049549.750000000232831,2060548.729999999981374,2114493.820000000298023,2031520.620000000111759,10280233.940000001341105
