訓練日期,20120626 - 20120926
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11470709.930000001564622
真實報酬,1470709.930000001564622

夏普值報酬,0.138370993000000
夏普值風險,0.043022856611019
夏普值,3.216220490681250

預期報酬,25528.833647787327209
風險,75232.249214146722807
趨勢值,0.339333648993002
找到最佳解世代,3894
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,7
AAPL[0](2),GS[8](3),HD[9](11),PFE[20](7),PG[21](1),UNH[23](29),WBA[27](10),
Stock#,AAPL[0](2),GS[8](3),HD[9](11),PFE[20](7),PG[21](1),UNH[23](29),WBA[27](10),
張數,17519,15660,27728,63576,24086,24762,49278,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,71.739999999990687,65.800000000046566,24.439999999944121,18.280000000027940,30.339999999850988,51.219999999972060,1.780000000027940,
20120626,1431724.419999999925494,1425595.600000000093132,1438553.080000000074506,1426663.720000000204891,1427607.559999999823049,1456056.819999999832362,1433498.800000000046566,10039703.000000000000000
20120627,1437856.069999999832362,1460674.000000000000000,1429402.839999999850988,1437471.639999999897555,1444708.619999999878928,1468190.199999999953434,1449760.540000000037253,10128066.910000000149012
20120628,1424191.250000000000000,1464119.199999999953434,1433284.759999999776483,1432385.560000000055879,1452175.279999999795109,1475866.419999999925494,1431034.899999999906868,10113060.369999999180436
20120629,1461681.910000000149012,1501233.400000000139698,1469331.159999999916181,1462266.280000000027940,1475297.839999999850988,1448628.219999999972060,1457645.020000000018626,10276086.830000000074506
20120702,1483055.090000000083819,1521121.599999999860302,1469885.719999999972060,1462266.280000000027940,1473852.679999999701977,1393161.339999999850988,1471442.860000000102445,10274788.570000000298023
20120703,1500223.709999999962747,1544141.800000000046566,1432175.639999999897555,1454001.400000000139698,1477947.299999999813735,1358989.780000000027940,1459123.360000000102445,10226605.989999998360872
20120705,1526502.209999999962747,1502173.000000000000000,1444930.520000000018626,1441286.200000000186265,1477706.439999999944121,1382018.439999999944121,1471935.640000000130385,10246555.450000001117587
20120706,1516341.189999999944121,1495126.000000000000000,1446039.639999999897555,1433021.320000000065193,1476020.419999999925494,1382266.060000000055879,1459616.140000000130385,10208433.770000001415610
20120709,1536488.040000000037253,1479466.000000000000000,1445207.799999999813735,1440014.679999999934807,1482523.639999999897555,1388951.800000000046566,1463558.379999999888241,10236213.339999999850988
20120710,1522297.649999999906868,1476020.800000000046566,1447980.599999999860302,1426663.720000000204891,1486859.119999999878928,1379294.620000000111759,1474399.540000000037253,10213519.050000000745058
20120711,1512837.389999999897555,1489801.599999999860302,1432730.199999999953434,1420306.120000000111759,1478910.739999999757856,1387713.699999999953434,1475385.100000000093132,10197687.849999997764826
20120712,1498997.380000000121072,1472419.000000000000000,1429402.839999999850988,1441286.200000000186265,1534308.539999999804422,1351313.560000000055879,1483269.580000000074506,10211000.099999999627471
20120713,1514063.719999999972060,1525819.600000000093132,1444375.959999999962747,1450186.839999999850988,1567788.079999999841675,1366913.620000000111759,1506923.020000000018626,10376073.839999999850988
20120716,1518969.040000000037253,1529734.600000000093132,1426630.040000000037253,1470531.159999999916181,1561044.000000000000000,1365923.139999999897555,1502980.780000000027940,10375815.759999999776483
20120717,1519144.229999999981374,1534432.600000000093132,1406388.599999999860302,1501683.400000000139698,1574050.439999999711290,1384247.020000000018626,1512836.379999999888241,10432785.669999998062849
20120718,1517392.330000000074506,1511412.400000000139698,1411656.919999999925494,1504862.200000000186265,1561284.859999999636784,1395389.919999999925494,1526141.439999999944121,10428143.069999998435378
20120719,1537539.180000000167638,1487765.800000000046566,1413043.320000000065193,1513127.080000000074506,1563693.459999999962747,1361713.600000000093132,1706006.139999999897555,10582891.580000001937151
20120720,1512487.010000000009313,1474611.399999999906868,1405834.040000000037253,1506769.479999999981374,1559117.119999999878928,1372113.639999999897555,1705020.580000000074506,10535956.269999999552965
20120723,1511260.680000000167638,1458951.399999999906868,1413043.320000000065193,1500411.880000000121072,1550927.879999999888241,1349827.839999999850988,1671511.540000000037253,10455937.539999999105930
20120724,1504077.889999999897555,1479466.000000000000000,1418866.199999999953434,1486425.159999999916181,1542016.059999999823049,1359485.020000000018626,1680874.360000000102445,10471213.689999999478459
20120725,1439082.399999999906868,1502799.399999999906868,1416093.399999999906868,1483246.359999999869615,1542016.059999999823049,1299560.979999999981374,1707484.479999999981374,10390286.079999998211861
20120726,1438907.209999999962747,1535685.400000000139698,1467112.919999999925494,1493418.520000000018626,1555022.500000000000000,1287922.839999999850988,1723253.439999999944121,10501325.830000000074506
20120727,1464484.949999999953434,1591748.199999999953434,1489295.320000000065193,1515034.359999999869615,1567788.079999999841675,1320856.300000000046566,1760211.939999999944121,10709422.150000000372529
20120730,1489186.739999999990687,1579846.599999999860302,1476540.439999999944121,1507405.239999999990687,1568028.939999999711290,1318875.339999999850988,1787314.840000000083819,10727201.139999998733401
20120731,1528604.489999999990687,1580159.800000000046566,1446871.479999999981374,1528385.320000000065193,1554540.780000000027940,1265141.800000000046566,1791749.860000000102445,10695456.529999999329448
20120801,1518793.849999999860302,1567475.200000000186265,1433007.479999999981374,1522027.720000000204891,1541775.199999999953434,1268113.239999999990687,1787314.840000000083819,10638510.529999999329448
20120802,1521246.510000000009313,1531770.400000000139698,1424966.359999999869615,1520756.200000000186265,1529732.199999999720603,1265389.419999999925494,1761690.280000000027940,10555554.369999999180436
20120803,1541042.979999999981374,1581412.600000000093132,1449921.559999999823049,1543643.560000000055879,1577663.339999999850988,1278018.040000000037253,1764154.179999999934807,10735859.259999997913837
20120806,1558211.599999999860302,1597699.000000000000000,1441880.439999999944121,1542372.040000000037253,1585130.000000000000000,1262913.219999999972060,1763661.399999999906868,10751870.699999999254942
20120807,1554007.040000000037253,1616804.199999999953434,1452971.639999999897555,1509312.520000000018626,1595005.259999999776483,1301046.699999999953434,1775488.120000000111759,10804638.480000000447035
20120808,1551379.189999999944121,1605215.800000000046566,1463785.559999999823049,1515034.359999999869615,1607048.259999999776483,1305751.479999999981374,1785836.500000000232831,10834054.150000000372529
20120809,1553656.660000000149012,1622441.800000000046566,1473767.639999999897555,1517577.400000000139698,1607289.119999999878928,1288170.459999999962747,1778444.800000000279397,10841350.880000000819564
20120810,1555934.130000000121072,1613359.000000000000000,1471272.120000000111759,1522027.720000000204891,1608252.559999999823049,1285199.020000000018626,1782387.040000000037253,10838434.589999999850988
20120813,1576781.739999999990687,1622598.400000000139698,1464617.399999999906868,1508041.000000000000000,1601267.619999999878928,1285199.020000000018626,1772531.439999999944121,10831039.619999999180436
20120814,1580986.299999999813735,1617117.400000000139698,1517023.320000000065193,1524570.760000000009313,1607289.119999999878928,1286932.359999999869615,1759719.160000000149012,10893641.419999999925494
20120815,1578884.020000000018626,1615081.599999999860302,1525064.439999999944121,1528385.320000000065193,1605121.379999999888241,1307980.060000000055879,1752327.460000000195578,10912847.280000001192093
20120816,1592724.030000000027940,1620719.199999999953434,1561388.120000000111759,1527113.800000000046566,1613792.339999999850988,1322094.399999999906868,1750356.340000000083819,10988191.229999998584390
20120817,1622155.949999999953434,1622441.800000000046566,1573033.879999999888241,1512491.320000000065193,1613792.339999999850988,1315656.280000000027940,1766125.300000000279397,11025699.870000001043081
20120820,1664727.119999999878928,1648750.600000000093132,1568597.399999999906868,1520120.439999999944121,1607770.839999999850988,1317389.620000000111759,1775488.120000000111759,11102847.140000000596046
20120821,1641952.419999999925494,1649377.000000000000000,1561665.399999999906868,1506133.720000000204891,1608252.559999999823049,1322837.260000000009313,1756762.479999999981374,11046983.840000001713634
20120822,1674012.189999999944121,1639198.000000000000000,1570538.359999999869615,1506769.479999999981374,1610179.439999999711290,1336456.359999999869615,1751834.679999999934807,11088991.509999997913837
20120823,1658420.280000000027940,1629958.600000000093132,1568042.839999999850988,1509312.520000000018626,1606084.820000000065193,1335218.260000000009313,1757255.259999999776483,11064295.580000000074506
20120824,1659996.989999999990687,1643739.399999999906868,1579411.320000000065193,1526478.040000000037253,1614274.059999999823049,1341161.139999999897555,1756762.479999999981374,11121826.429999999701977
20120827,1691180.810000000055879,1646245.000000000232831,1571370.199999999953434,1518848.920000000158325,1616441.799999999813735,1352304.040000000037253,1754298.580000000074506,11150692.349999999627471
20120828,1688903.340000000083819,1644835.600000000093132,1567488.280000000027940,1516305.880000000121072,1613551.479999999748543,1345370.679999999934807,1744442.979999999981374,11120901.240000000223517
20120829,1685574.729999999981374,1652665.600000000093132,1576083.959999999962747,1523299.239999999990687,1610661.159999999916181,1353046.899999999906868,1739515.179999999934807,11140849.769999999552965
20120830,1661573.699999999953434,1639981.000000000000000,1569983.799999999813735,1515670.120000000111759,1610902.019999999785796,1354285.000000000000000,1735080.160000000149012,11087478.800000000745058
20120831,1664902.310000000055879,1655641.000000000000000,1573588.439999999944121,1516941.639999999897555,1618368.679999999701977,1344627.819999999832362,1762183.059999999823049,11136255.949999999254942
20120904,1689253.719999999972060,1666446.399999999906868,1574697.559999999823049,1511855.560000000055879,1623426.739999999990687,1351065.939999999944121,1759226.380000000121072,11175975.300000000745058
20120905,1677515.989999999990687,1721726.199999999953434,1567765.559999999823049,1520756.200000000186265,1620777.280000000027940,1344132.580000000074506,1768096.420000000158325,11220773.230000000447035
20120906,1692582.330000000074506,1778102.200000000186265,1598543.639999999897555,1547458.120000000111759,1643658.979999999748543,1359237.399999999906868,1734587.380000000121072,11354173.050000000745058
20120907,1703093.729999999981374,1821793.600000000093132,1587729.719999999972060,1541100.520000000018626,1650403.059999999823049,1358989.780000000027940,1721775.099999999860302,11384888.509999999776483
20120910,1658770.660000000149012,1795954.600000000093132,1588838.839999999850988,1532199.880000000121072,1650162.199999999953434,1330761.100000000093132,1731630.699999999953434,11288320.979999998584390
20120911,1653339.770000000018626,1827431.199999999953434,1572756.599999999860302,1536650.200000000186265,1644140.699999999953434,1307484.819999999832362,1730152.360000000102445,11271958.649999998509884
20120912,1676289.660000000149012,1851704.199999999953434,1581906.839999999850988,1530292.600000000093132,1640286.939999999711290,1307980.060000000055879,1742471.860000000102445,11330935.160000000149012
20120913,1709400.569999999832362,1889758.000000000000000,1616566.839999999850988,1541736.280000000027940,1659796.599999999860302,1334475.399999999906868,1774995.340000000083819,11526732.030000001192093
20120914,1730072.989999999990687,1900563.400000000139698,1648731.320000000065193,1513127.080000000074506,1665818.099999999860302,1343389.719999999972060,1774995.340000000083819,11576700.950000001117587
20120917,1751446.169999999925494,1877699.800000000046566,1633480.919999999925494,1527113.800000000046566,1667985.839999999850988,1349084.979999999981374,1759226.380000000121072,11566040.890000000596046
20120918,1756701.869999999878928,1877386.599999999860302,1632094.520000000018626,1526478.040000000037253,1667263.259999999776483,1365180.280000000027940,1757255.259999999776483,11582362.829999998211861
20120919,1757227.439999999944121,1863919.000000000000000,1649008.599999999860302,1536014.439999999944121,1668226.699999999953434,1360723.120000000111759,1764646.960000000195578,11599769.260000001639128
20120920,1748643.130000000121072,1842151.599999999860302,1643740.280000000027940,1551908.439999999944121,1675452.500000000000000,1360475.500000000000000,1751834.679999999934807,11574209.129999998956919
20120921,1752146.930000000167638,1827901.000000000000000,1647622.199999999953434,1558901.800000000046566,1672080.459999999962747,1391180.379999999888241,1730152.360000000102445,11579988.129999998956919
20120924,1728846.660000000149012,1826021.800000000046566,1646790.359999999869615,1573524.280000000027940,1680269.699999999953434,1386227.979999999981374,1757748.040000000037253,11599431.820000000298023
20120925,1685749.919999999925494,1777475.800000000046566,1655940.599999999860302,1579246.120000000111759,1676175.079999999841675,1391675.620000000111759,1777459.239999999990687,11543725.380000000819564
