訓練日期,20110916 - 20111216
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10986334.760000001639128
真實報酬,986334.760000001639128

夏普值報酬,0.089933476000000
夏普值風險,0.035937445578775
夏普值,2.502500513089212

預期報酬,18701.134757273262949
風險,164420.578623189474456
趨勢值,0.113739623798135
找到最佳解世代,2364
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
IBM[10](3),MCD[15](2),WMT[28](1),
Stock#,IBM[10](3),MCD[15](2),WMT[28](1),
張數,19597,37848,63479,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,79.270000000018626,59.640000000130385,50.709999999962747,
20110916,3390164.300000000279397,3341659.560000000521541,3342220.060000000055879,10074044.920000001788139
20110919,3392907.879999999888241,3361340.520000000018626,3329524.260000000242144,10083773.660000000149012
20110920,3424067.109999999869615,3380264.520000000018626,3319367.620000000111759,10123700.250000000000000
20110921,3390752.210000000428408,3312516.600000000093132,3257792.989999999757856,9961062.800000000745058
20110922,3304525.410000000149012,3254609.160000000149012,3191774.830000000074506,9750910.400000000372529
20110923,3318635.250000000000000,3306839.400000000372529,3224783.909999999683350,9850259.560000000521541
20110926,3419951.739999999757856,3381399.960000000428408,3290167.279999999795109,10091519.980000000447035
20110927,3482662.140000000130385,3396539.160000000149012,3302863.080000000074506,10182065.380000000819564
20110928,3479526.620000000111759,3331819.080000000074506,3257158.200000000186265,10068504.900000000372529
20110929,3511273.759999999776483,3360205.080000000074506,3296515.180000000167638,10167995.019999999552965
20110930,3427006.660000000149012,3323871.000000000000000,3294610.810000000055879,10045489.470000000670552
20111003,3396043.399999999906868,3255744.600000000093132,3298419.549999999813735,9950208.550000000745058
20111004,3424459.050000000279397,3273154.680000000167638,3356820.229999999981374,10054434.960000000894070
20111005,3465808.719999999739230,3248553.479999999981374,3342220.060000000055879,10056583.259999999776483
