訓練日期,20141230 - 20150402
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10958373.380000000819564
真實報酬,958373.380000000819564

夏普值報酬,0.087137338000000
夏普值風險,0.034501889831049
夏普值,2.525581596448736

預期報酬,18759.256219505688932
風險,128268.044653239368927
趨勢值,0.146250426364724
找到最佳解世代,1871
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](3),MRK[17](13),PFE[20](2),UNH[23](1),WBA[27](7),
Stock#,BA[2](3),MRK[17](13),PFE[20](2),UNH[23](1),WBA[27](7),
張數,15118,34644,63714,19544,26045,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,39.780000000027940,1.880000000121072,17.540000000037253,62.479999999981374,4.449999999953434,
20141230,1993045.720000000204891,1997228.479999999981374,1999362.859999999869615,2010162.879999999888241,1980726.699999999953434,9980526.640000000596046
20141231,1965077.419999999925494,1967434.640000000130385,1984708.639999999897555,1975765.439999999944121,1984633.449999999953434,9877619.589999999850988
20150102,1964623.879999999888241,1981292.239999999990687,1996177.159999999916181,1969706.800000000046566,1979424.449999999953434,9891224.529999999329448
20150105,1951017.680000000167638,2010739.640000000130385,1985345.780000000027940,1937263.760000000009313,1940356.949999999953434,9824723.810000000521541
20150106,1928038.320000000065193,2089727.960000000195578,2001911.420000000158325,1933354.959999999962747,1945305.500000000000000,9898338.160000000149012
20150107,1957971.959999999962747,2134418.719999999739230,2029308.440000000176951,1953094.400000000139698,1995051.449999999720603,10069844.970000000670552
20150108,1992592.180000000167638,2177377.280000000260770,2070722.540000000037253,2046319.280000000027940,2019794.199999999953434,10306805.480000000447035
20150109,1988661.500000000000000,2167330.520000000484288,2080279.639999999897555,2027166.159999999916181,1970829.600000000093132,10234267.419999999925494
20150112,1978532.440000000176951,2158323.080000000074506,2087925.320000000298023,2004299.679999999934807,1971610.949999999953434,10200691.470000000670552
20150113,1983067.839999999850988,2154512.240000000223517,2066899.699999999953434,2014462.559999999823049,1960151.150000000139698,10179093.490000000223517
20150114,1971124.619999999878928,2170102.040000000037253,2069448.259999999776483,2019544.000000000000000,1953118.999999999767169,10183337.919999999925494
20150115,1967496.299999999813735,2143772.600000000558794,2064351.139999999897555,2041628.719999999972060,1947649.550000000046566,10164898.310000000521541
20150116,1977171.820000000065193,2183613.200000000186265,2089836.739999999757856,2067231.359999999869615,1980205.800000000046566,10298058.919999999925494
20150120,1983823.739999999990687,2169062.719999999739230,2108950.939999999944121,2064299.760000000009313,1980726.699999999953434,10306863.859999999403954
20150121,2001814.159999999916181,2153472.919999999925494,2079642.500000000000000,2136612.560000000055879,1968746.000000000000000,10340288.140000000596046
20150122,2050645.299999999813735,2168369.839999999850988,2090473.880000000121072,2225146.879999999888241,1979945.349999999860302,10514581.249999998137355
20150123,2035224.940000000176951,2164905.440000000409782,2067536.840000000316650,2188990.479999999981374,1968746.000000000000000,10425403.700000001117587
20150126,2026910.040000000037253,2176337.959999999962747,2089836.739999999757856,2181368.319999999832362,1975257.250000000000000,10449710.310000000521541
20150127,2002872.419999999925494,2167330.520000000484288,2077093.940000000176951,2150097.919999999925494,1951556.300000000046566,10348951.100000001490116
20150128,2111117.299999999813735,2128875.680000000633299,2035679.840000000083819,2119804.719999999739230,1921344.099999999860302,10316821.639999998733401
20150129,2234177.820000000298023,2151047.839999999850988,2028034.159999999916181,2137980.640000000130385,1942180.099999999860302,10493420.560000000521541
20150130,2197743.440000000409782,2088342.200000000186265,1991080.040000000037253,2076612.479999999981374,1920823.199999999953434,10274601.359999999403954
20150202,2211198.459999999962747,2109128.600000000558794,2016565.639999999897555,2096938.239999999990687,1950514.500000000000000,10384345.439999999478459
20150203,2227525.900000000372529,2113978.759999999776483,2040139.820000000298023,2107101.120000000111759,1947910.000000000000000,10436655.600000001490116
20150204,2225711.740000000223517,2045730.080000000074506,2043325.520000000018626,2109250.959999999962747,1944784.600000000093132,10368802.900000000372529
20150205,2246574.580000000074506,2049887.360000000102445,2101942.400000000372529,2126840.560000000055879,1947910.000000000000000,10473154.900000000372529
20150206,2237503.780000000260770,2036722.640000000130385,2113410.919999999925494,2102996.879999999888241,1983331.200000000186265,10473965.419999998062849
20150209,2231154.220000000670552,2020786.400000000139698,2107039.520000000018626,2081303.039999999804422,1989842.450000000186265,10430125.629999998956919
20150210,2238108.500000000000000,2038801.280000000260770,2175850.640000000130385,2129772.160000000149012,1997395.500000000000000,10579928.080000000074506
20150211,2236294.339999999850988,2034990.440000000176951,2182222.040000000037253,2146970.879999999888241,2071363.300000000046566,10671841.000000000000000
20150212,2238864.400000000372529,2039840.600000000325963,2221724.719999999739230,2146775.439999999944121,2082562.649999999906868,10729767.810000000521541
20150213,2263657.919999999925494,2037415.520000000251457,2207070.500000000000000,2138957.839999999850988,2050527.300000000046566,10697629.080000001937151
20150217,2266530.339999999850988,2036722.640000000130385,2203247.660000000149012,2145211.919999999925494,2031514.449999999953434,10683227.009999999776483
20150218,2285427.839999999850988,2037069.080000000074506,2196876.259999999776483,2145407.359999999869615,2026045.000000000000000,10690825.539999999105930
20150219,2324432.280000000260770,2019747.080000000074506,2192416.279999999795109,2150488.799999999813735,2008073.949999999720603,10695158.390000000596046
20150220,2393370.360000000335276,2021479.280000000260770,2201973.380000000353903,2201107.760000000242144,2008855.299999999813735,10826786.080000001937151
20150223,2339399.100000000558794,2019747.080000000074506,2191142.000000000000000,2274984.080000000074506,2046881.000000000000000,10872153.260000001639128
20150224,2333956.620000000111759,2021825.720000000204891,2187956.300000000279397,2256026.399999999906868,2093762.000000000000000,10893527.040000000968575
20150225,2313244.959999999962747,2026329.440000000176951,2208344.779999999795109,2229055.679999999701977,2083864.900000000139698,10860839.759999999776483
20150226,2293893.919999999925494,2042612.120000000111759,2203884.800000000279397,2221433.520000000018626,2126578.700000000186265,10888403.059999998658895
20150227,2280590.080000000074506,2028061.640000000130385,2186682.020000000018626,2220847.199999999720603,2163823.049999999813735,10880003.989999998360872
20150302,2325188.180000000633299,2029447.400000000139698,2215353.320000000298023,2235896.080000000074506,2177887.349999999627471,10983772.330000000074506
20150303,2351947.040000000037253,2021132.840000000316650,2201973.380000000353903,2205798.319999999832362,2167208.899999999441206,10948060.480000000447035
20150304,2333503.080000000074506,2005196.600000000325963,2207070.500000000000000,2224560.560000000055879,2162260.349999999627471,10932591.089999999850988
20150305,2335317.240000000223517,2008661.000000000000000,2196239.120000000111759,2243518.240000000223517,2166948.450000000186265,10950684.050000000745058
