訓練日期,20130314 - 20130614
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11601395.029999999329448
真實報酬,1601395.029999999329448

夏普值報酬,0.151439503000000
夏普值風險,0.049883697261200
夏普值,3.035851617153290

預期報酬,28207.670400576524116
風險,89592.795073620785843
趨勢值,0.314843067206437
找到最佳解世代,2742
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AXP[1](8),BA[2](2),INTC[11](5),MRK[17](13),MSFT[18](1),UNH[23](6),WBA[27](11),
Stock#,AXP[1](8),BA[2](2),INTC[11](5),MRK[17](13),MSFT[18](1),UNH[23](6),WBA[27](11),
張數,21877,16856,65954,32037,51166,26221,33393,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,2.900000000139698,25.000000000000000,7.360000000102445,41.169999999925494,16.280000000027940,50.920000000158325,18.459999999962747,
20130314,1430321.160000000149012,1426379.719999999972060,1427911.459999999962747,1418319.159999999916181,1439827.520000000018626,1435126.250000000000000,1426567.419999999925494,10004455.689999999478459
20130315,1445853.830000000307336,1456889.080000000074506,1410103.880000000121072,1412552.500000000000000,1434710.919999999925494,1435126.250000000000000,1421892.399999999906868,10017131.860000001266599
20130318,1439071.960000000195578,1435819.080000000074506,1402189.400000000139698,1397815.479999999981374,1437780.880000000121072,1442205.920000000158325,1416883.449999999953434,9971769.169999999925494
20130319,1424851.910000000149012,1441381.560000000055879,1394274.920000000158325,1400058.070000000065193,1441874.159999999916181,1446663.490000000223517,1494021.280000000027940,10043128.390000000596046
20130320,1443884.900000000139698,1439021.719999999972060,1396913.080000000074506,1413513.609999999869615,1449037.400000000139698,1439059.400000000139698,1536764.320000000065193,10118197.430000001564622
20130321,1430977.469999999972060,1421491.479999999981374,1387679.520000000018626,1402941.399999999906868,1438292.540000000037253,1443779.180000000167638,1529751.790000000037253,10054916.380000002682209
20130322,1448697.840000000083819,1429750.919999999925494,1406806.179999999934807,1406465.469999999972060,1445455.780000000027940,1428046.580000000074506,1552459.030000000027940,10117684.799999998882413
20130325,1446072.600000000093132,1430256.599999999860302,1394934.459999999962747,1399737.699999999953434,1440850.840000000083819,1438534.980000000214204,1542441.129999999888241,10092831.309999998658895
20130326,1469480.990000000223517,1460091.719999999972060,1435825.940000000176951,1422163.599999999860302,1440850.840000000083819,1459249.570000000065193,1588523.469999999972060,10276189.130000000819564
