訓練日期,20160523 - 20160823
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11011828.259999999776483
真實報酬,1011828.259999999776483

夏普值報酬,0.092482826000000
夏普值風險,0.029556051708556
夏普值,3.129065644895629

預期報酬,17796.886803501849499
風險,93621.557054309640080
趨勢值,0.190093898920928
找到最佳解世代,2124
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](15),JNJ[12](11),MRK[17](9),MSFT[18](13),PG[21](1),UTX[24](4),VZ[26](14),WBA[27](18),
Stock#,AAPL[0](15),JNJ[12](11),MRK[17](9),MSFT[18](13),PG[21](1),UTX[24](4),VZ[26](14),WBA[27](18),
張數,13127,11097,22681,24693,15621,12613,25171,16187,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,47.060000000055879,33.919999999925494,50.090000000083819,40.340000000083819,7.580000000074506,51.700000000186265,8.140000000130385,39.860000000102445,
20160523,1265883.670000000158325,1244673.439999999944121,1245690.610000000102445,1235431.130000000121072,1252811.780000000027940,1247477.400000000372529,1236911.080000000074506,1238830.970000000204891,9967710.080000001937151
20160524,1285180.360000000102445,1250554.849999999860302,1261113.690000000176951,1273952.210000000195578,1264839.949999999953434,1260216.530000000027940,1247986.320000000065193,1248866.910000000149012,10092710.820000000298023
20160525,1307758.800000000046566,1257878.869999999878928,1283114.260000000009313,1287039.500000000000000,1272806.660000000149012,1265387.860000000102445,1254782.490000000223517,1256636.669999999925494,10185405.110000001266599
20160526,1318129.130000000121072,1252885.219999999972060,1279031.680000000167638,1281360.110000000102445,1268745.199999999953434,1266523.030000000027940,1262585.500000000000000,1242877.720000000204891,10172137.590000001713634
20160527,1317341.510000000009313,1254660.739999999990687,1281072.969999999972060,1291978.100000000093132,1272025.610000000102445,1270937.580000000307336,1274164.160000000149012,1246438.860000000102445,10208619.530000001192093
20160531,1310909.280000000027940,1250554.849999999860302,1276083.150000000139698,1308769.340000000083819,1265933.420000000158325,1268667.240000000223517,1281212.040000000037253,1252913.660000000149012,10215042.980000000447035
20160601,1292531.479999999981374,1251553.579999999841675,1277670.820000000065193,1305065.390000000130385,1277649.170000000158325,1265766.250000000000000,1269381.670000000158325,1264244.560000000055879,10203862.919999999925494
20160602,1282817.500000000000000,1270529.449999999953434,1288784.510000000009313,1295928.979999999981374,1280148.530000000027940,1271315.970000000204891,1277939.810000000288710,1280431.560000000055879,10247896.310000000521541
20160603,1285442.900000000139698,1273525.639999999897555,1284701.930000000167638,1278890.810000000055879,1288271.449999999953434,1266775.290000000270084,1281715.460000000195578,1273633.020000000251457,10232956.500000000000000
20160606,1294763.070000000065193,1284733.609999999869615,1296722.860000000102445,1287286.430000000167638,1292957.750000000000000,1278505.380000000121072,1276429.550000000046566,1273309.280000000027940,10284707.929999999701977
20160607,1300013.870000000111759,1284289.729999999981374,1292867.090000000083819,1286545.640000000130385,1285928.300000000046566,1279640.550000000279397,1302607.390000000130385,1280755.300000000279397,10312647.870000001043081
20160608,1298832.439999999944121,1285066.519999999785796,1306929.310000000055879,1285064.060000000055879,1291083.230000000214204,1287460.610000000102445,1296818.060000000288710,1285935.140000000130385,10337189.370000001043081
20160609,1308152.610000000102445,1298382.919999999925494,1296949.670000000158325,1274693.000000000000000,1299206.150000000139698,1290613.860000000102445,1307641.590000000316650,1278974.730000000214204,10354614.530000001192093
20160610,1297388.469999999972060,1298493.889999999897555,1288557.700000000186265,1271235.979999999981374,1299674.780000000027940,1286577.700000000186265,1325764.710000000195578,1334981.750000000000000,10402674.980000000447035
20160613,1277829.239999999990687,1296052.550000000046566,1272681.000000000000000,1238147.360000000102445,1289833.550000000046566,1276613.430000000167638,1323247.610000000102445,1365575.180000000167638,10339979.919999999925494
20160614,1279404.479999999981374,1299714.560000000055879,1275856.340000000083819,1230492.530000000027940,1302017.929999999934807,1276361.170000000158325,1333819.430000000167638,1365251.440000000176951,10362917.879999998956919
20160615,1275203.840000000083819,1291835.689999999944121,1272227.380000000121072,1227035.510000000009313,1295769.530000000027940,1268162.720000000204891,1330043.780000000260770,1346960.129999999888241,10307238.579999998211861
20160616,1280585.909999999916181,1294388.000000000000000,1304207.590000000083819,1244320.610000000102445,1302955.189999999944121,1275478.260000000242144,1345649.800000000046566,1345988.910000000149012,10393574.270000001415610
20160617,1251443.969999999972060,1281515.479999999981374,1267691.180000000167638,1237900.430000000167638,1298581.310000000055879,1276487.300000000279397,1353704.520000000251457,1337895.410000000149012,10305219.600000001490116
20160620,1248424.760000000009313,1293278.300000000046566,1273361.430000000167638,1236418.850000000093132,1297175.420000000158325,1282793.800000000279397,1353201.100000000093132,1342427.770000000251457,10327081.429999999701977
20160621,1259057.630000000121072,1289283.379999999888241,1275856.340000000083819,1264075.010000000009313,1302955.189999999944121,1281154.110000000102445,1361759.240000000223517,1346798.260000000242144,10380939.159999998286366
20160622,1254331.909999999916181,1292390.539999999804422,1293774.330000000074506,1259136.410000000149012,1305454.550000000046566,1278379.250000000000000,1359997.270000000251457,1355539.239999999990687,10399003.500000000000000
20160623,1261551.760000000009313,1302599.779999999795109,1308290.170000000158325,1281853.969999999972060,1315451.989999999990687,1290739.990000000223517,1376106.710000000195578,1376906.080000000074506,10513500.450000001117587
20160624,1226108.860000000102445,1283180.029999999795109,1267464.370000000111759,1230492.530000000027940,1284991.040000000270084,1247351.270000000251457,1370065.670000000158325,1323812.720000000204891,10233466.490000002086163
