訓練日期,20141231 - 20150406
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11363284.130000000819564
真實報酬,1363284.130000000819564

夏普值報酬,0.127628413000000
夏普值風險,0.047342674345361
夏普值,2.695842910541170

預期報酬,23712.170067260991345
風險,159001.370747573528206
趨勢值,0.149131859403312
找到最佳解世代,2248
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,4
BA[2](4),PFE[20](2),UNH[23](1),WBA[27](7),
Stock#,BA[2](4),PFE[20](2),UNH[23](1),WBA[27](7),
張數,18963,79668,24307,32873,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,107.709999999962747,18.160000000149012,25.050000000279397,8.350000000093132,
20141231,2464918.449999999720603,2481676.359999999869615,2457219.680000000167638,2504930.950000000186265,9908745.440000001341105
20150102,2464349.559999999590218,2496016.600000000093132,2449684.510000000242144,2498356.350000000093132,9908407.019999999552965
20150105,2447282.860000000335276,2482473.040000000037253,2409334.890000000596046,2449046.850000000093132,9788137.640000000596046
20150106,2418459.100000000093132,2503186.720000000204891,2404473.490000000223517,2455292.720000000204891,9781412.030000001192093
20150107,2456005.839999999850988,2537443.960000000428408,2429023.560000000521541,2518080.149999999906868,9940553.510000001639128
20150108,2499431.110000000335276,2589228.160000000149012,2544967.950000000186265,2549309.500000000000000,10182936.720000000670552
20150109,2494500.729999999981374,2601178.359999999869615,2521147.090000000316650,2487508.260000000242144,10104334.439999999478459
20150112,2481795.520000000018626,2610738.520000000484288,2492707.900000000372529,2488494.450000000186265,10073736.390000000596046
20150113,2487484.419999999925494,2584448.080000000074506,2505347.540000000037253,2474030.330000000074506,10051310.370000001043081
20150114,2472503.649999999906868,2587634.799999999813735,2511667.360000000335276,2465154.620000000111759,10036960.429999999701977
20150115,2467952.529999999795109,2581261.359999999869615,2539134.270000000018626,2458251.290000000037253,10046599.449999999254942
20150116,2480088.850000000093132,2613128.560000000055879,2570976.440000000409782,2499342.540000000037253,10163536.390000000596046
20150120,2488432.569999999832362,2637028.960000000428408,2567330.390000000596046,2500000.000000000000000,10192791.920000001788139
20150121,2510998.540000000037253,2600381.680000000167638,2657266.290000000037253,2484878.420000000391155,10253524.930000001564622
20150122,2572249.029999999795109,2613925.240000000223517,2767377.000000000000000,2499013.810000000055879,10452565.080000000074506
20150123,2552906.770000000018626,2585244.760000000242144,2722409.050000000279397,2484878.420000000391155,10345439.000000000000000
20150126,2542477.119999999646097,2613128.560000000055879,2712929.320000000298023,2493096.670000000391155,10361631.669999999925494
20150127,2512325.949999999720603,2597194.960000000428408,2674038.120000000577420,2463182.240000000223517,10246741.270000001415610
20150128,2648101.029999999795109,2545410.760000000242144,2636362.270000000018626,2425049.560000000055879,10254923.620000001043081
20150129,2802459.850000000093132,2535850.600000000093132,2658967.780000000260770,2451347.959999999962747,10448626.190000001341105
20150130,2756759.020000000018626,2489643.160000000149012,2582643.800000000279397,2424392.100000000093132,10253438.080000000074506
20150202,2773636.089999999850988,2521510.359999999869615,2607923.080000000540167,2461867.320000000298023,10364936.849999999627471
20150203,2794116.129999999888241,2550987.520000000484288,2620562.720000000204891,2458580.020000000484288,10424246.390000000596046
20150204,2791840.569999999832362,2554970.920000000391155,2623236.490000000223517,2454635.260000000242144,10424683.240000000223517
20150205,2818009.509999999776483,2628265.480000000447035,2645112.790000000037253,2458580.020000000484288,10549967.800000000745058
20150206,2806631.709999999962747,2642605.720000000204891,2615458.250000000000000,2503287.300000000279397,10567982.980000000447035
20150209,2798667.250000000000000,2634638.920000000391155,2588477.479999999981374,2511505.550000000279397,10533289.200000001117587
20150210,2807390.229999999981374,2720680.359999999869615,2648758.840000000316650,2521038.720000000204891,10697868.150000000372529
20150211,2805114.669999999925494,2728647.160000000149012,2670149.000000000000000,2614398.040000000037253,10818308.870000001043081
20150212,2808338.379999999888241,2778041.319999999832362,2669905.930000000167638,2628533.429999999701977,10884819.059999998658895
20150213,2839437.699999999720603,2759717.680000000167638,2660183.130000000353903,2588099.640000000130385,10847438.150000000372529
20150217,2843040.669999999925494,2754937.600000000093132,2667961.370000000577420,2564102.350000000093132,10830041.990000000223517
20150218,2866744.419999999925494,2746970.799999999813735,2668204.440000000409782,2557199.020000000484288,10839118.679999999701977
20150219,2915668.959999999962747,2741394.040000000037253,2674524.260000000242144,2534516.649999999906868,10866103.910000000149012
20150220,3002140.240000000223517,2753344.240000000223517,2737479.390000000596046,2535502.839999999850988,11028466.710000000894070
20150223,2934442.330000000074506,2739800.680000000167638,2829359.850000000558794,2583497.420000000391155,11087100.279999999329448
20150224,2927615.649999999906868,2735817.280000000260770,2805782.060000000521541,2642668.820000000298023,11111883.810000000521541
20150225,2901636.339999999850988,2761311.040000000037253,2772238.400000000372529,2630177.080000000074506,11065362.860000001266599
20150226,2877363.699999999720603,2755734.280000000260770,2762758.670000000391155,2684088.800000000279397,11079945.450000001117587
20150227,2860676.259999999776483,2734223.920000000391155,2762029.459999999962747,2731097.189999999944121,11088026.830000000074506
20150302,2916617.110000000335276,2770074.520000000484288,2780745.850000000558794,2748848.610000000335276,11216286.089999999850988
20150303,2950181.619999999646097,2753344.240000000223517,2743313.070000000298023,2735370.679999999701977,11182209.609999999403954
20150304,2927046.759999999776483,2759717.680000000167638,2766647.790000000037253,2729124.810000000055879,11182537.040000000968575
20150305,2929322.319999999832362,2746174.120000000111759,2790225.580000000540167,2735041.950000000186265,11200763.969999998807907
20150306,2903722.270000000018626,2706340.120000000111759,2743799.209999999962747,2707099.899999999906868,11060961.500000000000000
20150309,2934631.959999999962747,2711120.200000000186265,2792899.350000000558794,2744903.850000000093132,11183555.360000001266599
20150310,2890448.169999999925494,2691203.200000000186265,2733590.270000000018626,2719262.910000000149012,11034504.550000000745058
20150311,2866744.419999999925494,2679253.000000000465661,2739910.090000000316650,2712359.580000000074506,10998267.089999999850988
20150312,2883242.229999999981374,2708730.160000000149012,2792413.209999999962747,2769558.600000000093132,11153944.200000001117587
20150313,2874329.619999999646097,2708730.160000000149012,2801406.800000000279397,2752135.910000000149012,11136602.490000000223517
20150316,2914151.919999999925494,2743784.080000000074506,2880890.690000000409782,2852398.560000000055879,11391225.250000001862645
20150317,2930080.839999999850988,2722273.720000000204891,2858528.250000000000000,2835633.330000000074506,11346516.140000000596046
20150318,2953215.699999999720603,2739004.000000000465661,2915892.770000000018626,2865876.490000000223517,11473988.960000000894070
20150319,2922495.640000000130385,2720680.359999999869615,2935338.370000000577420,2871793.629999999888241,11450308.000000000000000
20150320,2929891.209999999962747,2728647.160000000149012,2895961.030000000260770,2900393.140000000130385,11454892.540000000968575
20150323,2897843.740000000223517,2792381.560000000055879,2893530.330000000540167,2890202.510000000242144,11473958.140000000596046
20150324,2875846.660000000149012,2750157.520000000484288,2871167.890000000596046,2892832.350000000093132,11390004.419999999925494
20150325,2810993.199999999720603,2732630.560000000055879,2832762.830000000540167,2823141.589999999850988,11199528.179999999701977
20150326,2809855.419999999925494,2721477.040000000037253,2825713.800000000279397,2775804.470000000204891,11132850.730000000447035
20150327,2822750.259999999776483,2750954.200000000186265,2868494.120000000577420,2803746.520000000484288,11245945.100000001490116
20150330,2895757.809999999590218,2788398.160000000149012,2941172.050000000279397,2826757.620000000111759,11452085.640000000596046
20150331,2846074.750000000000000,2771667.879999999888241,2875300.080000000540167,2783693.990000000223517,11276736.700000001117587
20150401,2818768.029999999795109,2735020.600000000093132,2854882.200000000186265,2769887.330000000074506,11178558.160000000149012
20150402,2830904.350000000093132,2739004.000000000465661,2852694.570000000298023,2826100.160000000149012,11248703.080000001937151
20150406,2862193.300000000279397,2746970.799999999813735,2860958.950000000186265,2893161.080000000074506,11363284.130000000819564
