訓練日期,20121121 - 20130226
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11538541.390000000596046
真實報酬,1538541.390000000596046

夏普值報酬,0.145154139000000
夏普值風險,0.047172299329269
夏普值,3.077105442471717

預期報酬,26890.622825815415126
風險,76573.197591255753650
趨勢值,0.351175393893779
找到最佳解世代,1457
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
GS[8](10),JNJ[12](14),MCD[15](5),NKE[19](7),VZ[26](25),WBA[27](4),
20121221,1812735.549999999813735,1681019.199999999953434,1754200.000000000000000,1832632.920000000158325,1695857.500000000000000,1849529.830000000307336,10625979.000000000000000
20121224,1800033.849999999860302,1675038.699999999953434,1736887.719999999972060,1841001.000000000000000,1694689.839999999850988,1857679.750000000000000,10605334.859999999403954
20121226,1794670.909999999683350,1678627.000000000000000,1726189.119999999878928,1790095.180000000167638,1691186.860000000102445,1867357.780000000027940,10548130.849999997764826
20121227,1787755.539999999804422,1676713.239999999990687,1725800.079999999841675,1804739.320000000065193,1692354.519999999785796,1860735.970000000204891,10548102.669999999925494
20121228,1771525.589999999850988,1662120.820000000065193,1703624.799999999813735,1778240.400000000139698,1669779.760000000009313,1861245.340000000083819,10446540.710000000894070
20121231,1800316.109999999869615,1676952.459999999962747,1715879.559999999823049,1799160.600000000093132,1684180.900000000139698,1885185.729999999981374,10561679.360000001266599
20130102,1858179.409999999683350,1694654.739999999990687,1753032.879999999888241,1807528.680000000167638,1723102.900000000139698,1938669.580000000307336,10775172.189999999478459
20130103,1848018.049999999813735,1692262.539999999804422,1762953.399999999906868,1826356.860000000335276,1714929.280000000027940,1924916.590000000083819,10769440.720000000670552
20130104,1898401.459999999729916,1711639.359999999869615,1747780.839999999850988,1843790.360000000335276,1724270.559999999823049,1893845.020000000018626,10819731.599999999627471
20130107,1894873.209999999729916,1708051.060000000055879,1768399.959999999729916,1846579.720000000204891,1739450.139999999897555,1937141.470000000204891,10894499.560000000521541
20130108,1877796.479999999981374,1708290.280000000027940,1768983.519999999785796,1827054.200000000186265,1677564.159999999916181,1944272.650000000139698,10803965.289999999105930
20130109,1895719.989999999757856,1715945.320000000065193,1766454.760000000009313,1829146.220000000204891,1673671.959999999962747,1958535.010000000242144,10839477.259999999776483
20130110,1938764.639999999897555,1726949.439999999944121,1777931.439999999944121,1832632.920000000158325,1696635.940000000176951,1964647.450000000186265,10937565.829999998211861
20130111,1935377.519999999785796,1730776.959999999962747,1784350.599999999860302,1851461.100000000093132,1685348.559999999823049,1991644.060000000288710,10978962.800000000745058
20130114,1921264.519999999785796,1735800.580000000074506,1780460.199999999953434,1854947.800000000279397,1657713.940000000176951,1988587.840000000083819,10938778.879999998956919
20130115,1913643.500000000000000,1731255.400000000139698,1780071.159999999916181,1870289.280000000260770,1633582.299999999813735,2001831.459999999962747,10930677.100000001490116
20130116,1991265.000000000000000,1736279.020000000018626,1772095.839999999850988,1873775.980000000214204,1615678.179999999934807,2006415.790000000037253,10995513.809999998658895
20130117,1990135.959999999729916,1743934.060000000055879,1784934.159999999916181,1864710.560000000055879,1639809.820000000065193,2004887.680000000167638,11028416.240000000223517
20130118,2038684.679999999701977,1751828.320000000065193,1794660.159999999916181,1858434.500000000000000,1655767.839999999850988,1997247.130000000121072,11096626.630000000819564
20130122,2059854.179999999701977,1738910.439999999944121,1808082.040000000037253,1864710.560000000055879,1671336.639999999897555,2011509.490000000223517,11154407.350000001490116
20130123,2054350.109999999869615,1742737.959999999962747,1818391.599999999860302,1851461.100000000093132,1665498.339999999850988,2013037.600000000325963,11145480.709999999031425
20130124,2045882.310000000055879,1748718.459999999962747,1815084.760000000009313,1877960.020000000018626,1657713.940000000176951,2008962.639999999897555,11154326.130000000819564
20130125,2038825.810000000055879,1768334.500000000000000,1823060.079999999841675,1937233.920000000158325,1660827.699999999953434,2020678.150000000139698,11248964.160000000149012
20130128,2034450.780000000027940,1761157.900000000139698,1835509.359999999869615,1900274.900000000139698,1664719.900000000139698,2042581.060000000288710,11238697.900000000372529
20130129,2076084.129999999655411,1780056.280000000027940,1846402.479999999981374,1880052.040000000270084,1693132.959999999962747,2040543.580000000307336,11316275.470000000670552
20130130,2076789.780000000027940,1772401.239999999990687,1841539.479999999981374,1869591.939999999944121,1697414.379999999888241,2030865.550000000046566,11288606.370000001043081
20130131,2086810.010000000009313,1768334.500000000000000,1853599.719999999972060,1884933.420000000158325,1697414.379999999888241,2035449.880000000121072,11326545.910000000149012
20130201,2115600.530000000260770,1774554.220000000204891,1866438.040000000037253,1872381.300000000279397,1734390.280000000027940,2053277.830000000307336,11416646.200000001117587
20130204,2082011.590000000083819,1772879.679999999934807,1840177.839999999850988,1870986.620000000111759,1732833.400000000139698,2037996.729999999981374,11336889.859999999403954
20130205,2123362.679999999701977,1786036.780000000027940,1846207.959999999729916,1879354.700000000186265,1734390.280000000027940,2105233.570000000298023,11474589.970000000670552
20130206,2132818.389999999664724,1803499.840000000083819,1849320.279999999795109,1888420.120000000111759,1741785.459999999962747,2110836.639999999664724,11526684.730000000447035
20130207,2120681.209999999962747,1795605.580000000074506,1840761.399999999906868,1906550.960000000195578,1730498.080000000074506,2104214.830000000074506,11498316.060000000521541
20130208,2139592.629999999888241,1805652.820000000065193,1845429.879999999888241,1903761.600000000093132,1726216.659999999916181,2108799.160000000149012,11529456.750000000000000
20130211,2148624.950000000186265,1803978.280000000027940,1851265.479999999981374,1925379.140000000130385,1725049.000000000000000,2112874.120000000111759,11567174.970000002533197
20130212,2175016.259999999776483,1813307.859999999869615,1849903.839999999850988,1921195.100000000093132,1729719.639999999897555,2136814.510000000707805,11625961.210000000894070
20130213,2180802.589999999850988,1809958.780000000027940,1828506.639999999897555,1902366.920000000158325,1732833.400000000139698,2112874.120000000111759,11567346.449999999254942
20130214,2200701.919999999925494,1813547.080000000074506,1819947.760000000009313,1904458.939999999944121,1725438.219999999972060,2132230.179999999701977,11596328.099999999627471
20130215,2187435.700000000186265,1821919.780000000027940,1826561.439999999944121,1916313.720000000204891,1728162.760000000009313,2096064.909999999916181,11576462.310000000521541
20130219,2239089.280000000260770,1841057.379999999888241,1825588.839999999850988,1899577.560000000055879,1732054.959999999962747,2124080.260000000707805,11661452.280000001192093
20130220,2190117.169999999925494,1833641.560000000055879,1826755.959999999729916,1883538.740000000223517,1748402.199999999953434,2118986.560000000521541,11601446.189999999478459
20130221,2129431.269999999552965,1838904.400000000139698,1831229.919999999925494,1901669.580000000074506,1756186.599999999860302,2120005.299999999813735,11577431.070000000298023
20130222,2174734.000000000000000,1824072.760000000009313,1852821.639999999897555,1899577.560000000055879,1767084.760000000009313,2129683.330000000074506,11647978.049999998882413
20130225,2083846.280000000027940,1807805.799999999813735,1870133.919999999925494,1884236.080000000074506,1779539.799999999813735,2070087.040000000037253,11495652.919999998062849
20130226,2088785.829999999841675,1812111.760000000009313,1871690.079999999841675,1892604.160000000149012,1795108.599999999860302,2078236.959999999962747,11538541.390000000596046
