訓練日期,20091230 - 20100405
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11107329.480000000447035
真實報酬,1107329.480000000447035

夏普值報酬,0.102032948000000
夏普值風險,0.034526793423029
夏普值,2.955181697584064

預期報酬,17676.803123151643376
風險,113948.552603314630687
趨勢值,0.155129685452779
找到最佳解世代,1995
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](1),MCD[15](6),PG[21](4),TRV[22](2),UNH[23](3),
Stock#,BA[2](1),MCD[15](6),PG[21](4),TRV[22](2),UNH[23](3),
張數,36225,31451,32478,40104,64829,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,17.750000000000000,30.909999999916181,4.760000000009313,13.520000000018626,25.349999999860302,
20091230,1990943.750000000000000,1977984.300000000046566,1993179.619999999878928,2015640.559999999823049,2010372.639999999897555,9988120.869999999180436
20091231,1960877.000000000000000,1963831.349999999860302,1969145.900000000139698,1999598.959999999962747,1976013.269999999785796,9869466.480000000447035
20100104,2035138.250000000000000,1974524.689999999944121,1985060.119999999878928,1997593.760000000009313,2044083.719999999972060,10036400.539999999105930
20100105,2101792.250000000000000,1959428.209999999729916,1985709.679999999934807,1950271.040000000037253,2040842.269999999785796,10038043.449999999254942
20100106,2165548.250000000000000,1932694.860000000102445,1976291.060000000055879,1922599.280000000027940,2060939.259999999776483,10058072.710000000894070
20100107,2253212.750000000000000,1946847.809999999823049,1965573.320000000065193,1950271.040000000037253,2140030.639999999664724,10255935.559999998658895
20100108,2231477.750000000000000,1944960.750000000000000,1962975.079999999841675,1947463.760000000009313,2119933.650000000372529,10206810.990000000223517
20100111,2205033.500000000000000,1960057.229999999981374,1955180.360000000102445,1946661.679999999934807,2134196.030000000260770,10201128.800000000745058
20100112,2189094.500000000000000,1970750.569999999832362,1977590.179999999934807,1959093.920000000158325,2077794.799999999580905,10174323.969999998807907
20100113,2215538.750000000000000,1968549.000000000000000,1998051.320000000065193,1965911.600000000093132,2109561.009999999776483,10257611.679999999701977
20100114,2230028.750000000000000,1970436.059999999823049,2000000.000000000000000,1976338.640000000130385,2160127.629999999888241,10336931.079999998211861
