訓練日期,20160808 - 20161107
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10504365.619999999180436
真實報酬,504365.619999999180436

夏普值報酬,0.041736562000000
夏普值風險,0.013117247891374
夏普值,3.181807826277878

預期報酬,7070.509343938495476
風險,64081.033358630120347
趨勢值,0.110337005715378
找到最佳解世代,1908
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](3),CVX[5](9),GS[8](1),JPM[13](4),PG[21](5),V[25](2),
Stock#,AAPL[0](3),CVX[5](9),GS[8](1),JPM[13](4),PG[21](5),V[25](2),
張數,15506,16582,10282,25138,19429,20796,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,81.119999999878928,9.179999999934807,56.619999999878928,16.600000000093132,46.379999999888241,74.560000000055879,
20160808,1680466.339999999850988,1678107.580000000074506,1674274.679999999934807,1661638.399999999906868,1666277.419999999925494,1662714.760000000009313,10023483.179999999701977
20160809,1687288.979999999981374,1680097.419999999925494,1680546.699999999953434,1655856.660000000149012,1670746.089999999850988,1665002.320000000065193,10039542.169999999925494
20160810,1674729.119999999878928,1660530.659999999916181,1667694.199999999953434,1641025.240000000223517,1676963.369999999878928,1657099.840000000083819,9978046.429999999701977
20160811,1673643.699999999953434,1681423.979999999981374,1684865.140000000130385,1645550.079999999841675,1685123.550000000046566,1666250.080000000074506,10036860.530000001192093
20160812,1677520.199999999953434,1694026.299999999813735,1678593.119999999878928,1642030.760000000009313,1691146.540000000037253,1664170.479999999981374,10047491.400000000372529
20160815,1697678.000000000000000,1704141.319999999832362,1702241.719999999972060,1652085.959999999962747,1690757.959999999729916,1682678.919999999925494,10129587.879999998956919
20160816,1696127.399999999906868,1701654.020000000018626,1703269.919999999925494,1651834.579999999841675,1682209.199999999953434,1680599.320000000065193,10115698.439999999478459
20160817,1693646.439999999944121,1695021.219999999972060,1703475.559999999823049,1656359.420000000158325,1689592.219999999739230,1681223.200000000186265,10119322.059999998658895
20160818,1691475.599999999860302,1717075.279999999795109,1707485.539999999804422,1657867.700000000186265,1698918.139999999897555,1669369.479999999981374,10142195.740000000223517
20160819,1695817.279999999795109,1696679.419999999925494,1709233.479999999748543,1655605.280000000027940,1696392.369999999878928,1673528.679999999934807,10127260.509999999776483
20160822,1682637.179999999934807,1690378.260000000009313,1709541.939999999711290,1654097.000000000000000,1687455.029999999795109,1685798.320000000065193,10109911.730000000447035
20160823,1687909.219999999739230,1686066.939999999944121,1707691.179999999934807,1653342.860000000102445,1698140.979999999981374,1680391.360000000102445,10113546.539999999105930
20160824,1675194.299999999813735,1694689.580000000074506,1699671.219999999972060,1657867.700000000186265,1696392.369999999878928,1669785.400000000139698,10093604.570000000298023
20160825,1668061.539999999804422,1689549.159999999916181,1705840.419999999925494,1660884.260000000009313,1707855.479999999981374,1670409.280000000027940,10102604.139999998733401
20160826,1658292.759999999776483,1680097.419999999925494,1706560.159999999916181,1664654.959999999962747,1701638.199999999953434,1675608.280000000027940,10086855.779999999329448
20160829,1656432.039999999804422,1692202.279999999795109,1715813.959999999962747,1683005.700000000186265,1715627.079999999841675,1681847.080000000074506,10144932.139999998733401
20160830,1643717.119999999878928,1686398.580000000074506,1741518.959999999962747,1696831.600000000093132,1700861.040000000037253,1688085.880000000121072,10157417.180000001564622
20160831,1645267.719999999739230,1667826.739999999990687,1742444.339999999850988,1696831.600000000093132,1696392.369999999878928,1682470.960000000195578,10131237.730000000447035
20160901,1655036.500000000000000,1661691.399999999906868,1732676.439999999711290,1689541.579999999841675,1715821.369999999878928,1690789.360000000102445,10145560.649999998509884
20160902,1670542.500000000000000,1673630.439999999944121,1739565.379999999888241,1696580.219999999972060,1713684.179999999934807,1705346.560000000055879,10199353.280000001192093
20160906,1670077.319999999832362,1698503.439999999944121,1741107.679999999934807,1695323.320000000065193,1722232.939999999944121,1716368.440000000176951,10243617.139999998733401
20160907,1680311.279999999795109,1705965.339999999850988,1744603.559999999823049,1688284.679999999934807,1708826.929999999934807,1731133.599999999860302,10259129.389999998733401
20160908,1636274.239999999757856,1726527.020000000018626,1765064.739999999757856,1690547.100000000093132,1705524.000000000000000,1725518.679999999934807,10249459.779999999329448
20160909,1599214.899999999906868,1679268.319999999832362,1733293.359999999869615,1675464.300000000279397,1675603.339999999850988,1691413.239999999990687,10054261.460000000894070
20160912,1635033.759999999776483,1695518.679999999934807,1758895.539999999804422,1685770.880000000121072,1714655.629999999888241,1725518.679999999934807,10215397.169999998062849
20160913,1673953.819999999832362,1648757.439999999944121,1717150.619999999878928,1672447.740000000223517,1691340.829999999841675,1703059.000000000000000,10106713.449999999254942
20160914,1733186.739999999757856,1632009.619999999878928,1708513.739999999757856,1669179.800000000279397,1690563.669999999925494,1694740.599999999860302,10128198.169999999925494
20160915,1792109.539999999804422,1649918.179999999934807,1728255.179999999934807,1675212.920000000158325,1710964.119999999878928,1705554.520000000251457,10262018.459999999031425
20160916,1782030.639999999897555,1622392.060000000055879,1706868.619999999878928,1654599.760000000009313,1710769.829999999841675,1706802.280000000027940,10183467.189999999478459
20160919,1761252.599999999860302,1625708.459999999962747,1709027.839999999850988,1663900.820000000065193,1716987.109999999869615,1715952.520000000251457,10192833.349999999627471
20160920,1761097.539999999804422,1620070.580000000074506,1711701.159999999916181,1670688.079999999841675,1721067.199999999953434,1715328.640000000130385,10199957.200000001117587
20160921,1760787.419999999925494,1652073.839999999850988,1717459.079999999841675,1680240.520000000251457,1705912.579999999841675,1730717.679999999934807,10247195.119999999180436
20160922,1777378.839999999850988,1657877.540000000037253,1727638.260000000009313,1694066.420000000158325,1729033.089999999850988,1733629.120000000111759,10319627.269999999552965
20160923,1747762.379999999888241,1645275.219999999972060,1697923.279999999795109,1690547.100000000093132,1705135.419999999925494,1716576.400000000139698,10203223.799999998882413
20160926,1750398.399999999906868,1637979.139999999897555,1660393.979999999748543,1653594.240000000223517,1706884.029999999795109,1701395.320000000065193,10110649.109999999403954
20160927,1753654.659999999916181,1641295.540000000037253,1674891.599999999627471,1668174.280000000027940,1716792.819999999832362,1708673.919999999925494,10163486.820000000298023
20160928,1766989.819999999832362,1693860.479999999981374,1680649.519999999785796,1676972.579999999841675,1738164.719999999739230,1725518.679999999934807,10282159.799999998882413
20160929,1739544.199999999953434,1679268.319999999832362,1634380.519999999785796,1650326.300000000279397,1714267.050000000046566,1703682.880000000121072,10121473.270000001415610
20160930,1753034.419999999925494,1706628.619999999878928,1658234.760000000009313,1673956.020000000251457,1743799.129999999888241,1719903.760000000009313,10255560.709999999031425
20161003,1744816.239999999757856,1698835.080000000074506,1656178.359999999869615,1671944.980000000214204,1722621.519999999785796,1723231.120000000111759,10217631.300000000745058
20161004,1752259.119999999878928,1679268.319999999832362,1668516.760000000009313,1674207.399999999906868,1716598.529999999795109,1720527.640000000130385,10211381.769999999552965
20161005,1753034.419999999925494,1695187.040000000037253,1710981.419999999925494,1701607.820000000065193,1726313.029999999795109,1733421.159999999916181,10320548.890000000596046
20161006,1766059.459999999962747,1694357.939999999944121,1718692.919999999925494,1706132.660000000149012,1733501.759999999776483,1733629.120000000111759,10352377.859999999403954
20161007,1768695.479999999981374,1695850.319999999832362,1746248.679999999934807,1712165.780000000027940,1748656.379999999888241,1723647.040000000037253,10395267.679999999701977
20161010,1799552.419999999925494,1724205.540000000037253,1758689.899999999906868,1725488.920000000158325,1730393.119999999878928,1728638.080000000074506,10466971.979999998584390
20161011,1803428.919999999925494,1708618.459999999962747,1738125.899999999906868,1717193.380000000121072,1720290.040000000037253,1706178.400000000139698,10393839.099999999627471
20161012,1819555.159999999916181,1693860.479999999981374,1740799.219999999972060,1712668.540000000037253,1720872.909999999683350,1710545.560000000055879,10398305.869999999180436
20161013,1813973.000000000000000,1671308.959999999962747,1721469.059999999823049,1702864.719999999972060,1714461.339999999850988,1702643.080000000074506,10326724.159999998286366
20161014,1824051.899999999906868,1676117.739999999990687,1753343.260000000009313,1697334.360000000102445,1718152.850000000093132,1714704.760000000009313,10383708.869999999180436
20161017,1822811.419999999925494,1680760.699999999953434,1737714.619999999878928,1688536.060000000055879,1706495.449999999953434,1708465.960000000195578,10344788.210000000894070
20161018,1821570.939999999944121,1687890.959999999962747,1775038.279999999795109,1701859.200000000186265,1699112.429999999934807,1696612.239999999990687,10382088.050000000745058
20161019,1816143.839999999850988,1695850.319999999832362,1794368.439999999711290,1718198.899999999906868,1662003.040000000037253,1722191.320000000065193,10408759.859999999403954
20161020,1815213.479999999981374,1689217.520000000018626,1794368.439999999711290,1715936.480000000214204,1650151.350000000093132,1715744.560000000055879,10380635.830000000074506
20161021,1808080.719999999739230,1679765.779999999795109,1796013.559999999823049,1721718.219999999972060,1638493.949999999953434,1712625.159999999916181,10356701.389999998733401
20161024,1824362.020000000018626,1669153.299999999813735,1800640.459999999962747,1731270.660000000149012,1634025.279999999795109,1729677.880000000121072,10389133.599999999627471
