訓練日期,20160119 - 20160420
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11461816.150000000372529
真實報酬,1461816.150000000372529

夏普值報酬,0.137481615000000
夏普值風險,0.041001637062150
夏普值,3.353076239165953

預期報酬,23005.159016815236100
風險,63936.026331607848988
趨勢值,0.359815276875320
找到最佳解世代,1937
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,10
DD[7](6),KO[14](2),MCD[15](15),MMM[16](3),MRK[17](24),PFE[20](28),PG[21](16),UNH[23](4),UTX[24](5),XOM[29](11),
Stock#,DD[7](6),KO[14](2),MCD[15](15),MMM[16](3),MRK[17](24),PFE[20](28),PG[21](16),UNH[23](4),UTX[24](5),XOM[29](11),
張數,16345,24096,8682,7210,19554,32456,13336,9151,11678,12889,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,12.900000000023283,16.000000000000000,7.239999999990687,45.099999999976717,8.439999999944121,30.640000000013970,66.719999999972060,70.229999999981374,12.860000000102445,71.380000000004657,
20160119,979241.849999999976717,1010120.320000000065193,1020142.239999999990687,997836.999999999883585,1003910.800000000046566,996105.280000000027940,1023338.000000000000000,1030289.809999999939464,995445.580000000074506,984790.980000000097789,10041221.859999999403954
20160120,961752.700000000069849,997108.480000000097789,1005209.199999999953434,987526.700000000069849,988463.139999999897555,995131.599999999976717,1011335.599999999976717,1050513.520000000018626,990657.600000000093132,943288.400000000139698,9930986.939999999478459
20160121,977607.350000000093132,997349.440000000060536,1023094.119999999995343,993294.699999999953434,995698.119999999995343,992535.119999999995343,1023204.640000000013970,1038708.729999999981374,999299.320000000065193,955146.279999999911524,9995937.820000000298023
20160122,1006047.650000000023283,1013493.760000000009313,1027956.040000000037253,1005984.300000000046566,1004106.339999999967404,996754.400000000023283,1031739.679999999934807,1046304.059999999939464,1008408.160000000032596,986982.109999999869615,10127776.499999998137355
20160125,981857.050000000046566,1015903.359999999869615,1034901.640000000013970,991924.799999999930151,995698.119999999995343,989938.640000000013970,1024938.319999999948777,1037610.609999999986030,991475.060000000172295,953599.600000000093132,10017847.199999999254942
20160126,988395.050000000046566,1013975.679999999934807,1045580.500000000000000,1043908.900000000023283,1006061.739999999990687,995456.160000000032596,1051076.879999999888241,1042918.189999999944121,1000233.560000000172295,988657.680000000051223,10176264.339999999850988
20160127,963877.550000000046566,1014216.640000000130385,1049400.580000000074506,1049460.600000000093132,984943.419999999925494,990587.760000000009313,1050943.520000000018626,1028002.059999999939464,1002102.040000000153668,970484.190000000060536,10104018.359999999403954
20160128,967146.550000000046566,1025782.719999999972060,1062510.399999999906868,1062222.299999999813735,962065.239999999990687,980201.839999999967404,1064546.239999999990687,1019308.609999999986030,1009575.960000000079162,992395.489999999990687,10145755.350000001490116
20160129,977607.350000000093132,1034216.320000000065193,1074665.199999999953434,1088755.100000000093132,990809.619999999995343,989614.079999999958090,1089484.560000000055879,1053899.389999999897555,1024056.680000000051223,1003480.029999999911524,10326588.330000000074506
20160201,991173.700000000069849,1036144.000000000000000,1081871.260000000009313,1072388.399999999906868,992373.939999999944121,979228.160000000032596,1081883.040000000037253,1060579.619999999878928,1022538.540000000153668,983373.190000000060536,10301553.849999999627471
20160202,1048217.750000000000000,1022650.239999999990687,1076141.140000000130385,1066187.799999999813735,985725.579999999841675,978254.479999999981374,1069880.639999999897555,1042186.109999999986030,997547.620000000111759,961461.890000000013970,10248253.250000000000000
