訓練日期,20091012 - 20100113
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11753633.830000000074506
真實報酬,1753633.830000000074506

夏普值報酬,0.166663383000000
夏普值風險,0.049689761750553
夏普值,3.354078931524478

預期報酬,29159.199880851963826
風險,105768.994974083252600
趨勢值,0.275687595291956
找到最佳解世代,1782
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
BA[2](23),CVX[5](13),MSFT[18](4),UNH[23](2),V[25](1),VZ[26](9),
Stock#,BA[2](23),CVX[5](13),MSFT[18](4),UNH[23](2),V[25](1),VZ[26](9),
張數,31631,22906,65231,67558,91374,61139,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,28.610000000102445,25.439999999944121,13.949999999953434,10.139999999897555,4.240000000223517,16.859999999869615,
20091012,1634086.070000000065193,1687510.459999999962747,1677755.269999999785796,1704498.479999999981374,1684027.060000000288710,1657495.149999999906868,10045376.490000000223517
20091013,1641677.510000000009313,1696672.859999999869615,1683626.059999999823049,1640993.959999999729916,1705956.820000000298023,1658717.929999999701977,10027649.140000000596046
20091014,1660972.419999999925494,1728512.199999999720603,1693410.709999999962747,1680177.599999999860302,1708698.040000000270084,1654438.199999999720603,10126213.169999999925494
20091015,1637249.169999999925494,1756686.579999999841675,1742333.959999999962747,1658559.040000000037253,1715094.220000000204891,1664220.439999999711290,10174147.410000000149012
20091016,1682481.500000000000000,1759435.300000000046566,1728635.449999999953434,1651803.239999999757856,1696819.420000000158325,1651992.639999999897555,10171171.550000000745058
20091019,1690705.560000000288710,1778905.399999999906868,1719503.109999999869615,1683555.500000000000000,1712353.000000000000000,1655660.979999999748543,10240687.550000000745058
20091020,1641361.200000000186265,1764474.619999999878928,1720155.419999999925494,1753815.820000000065193,1714180.480000000447035,1646490.129999999888241,10240481.670000001788139
20091021,1601506.140000000130385,1763100.260000000009313,1733853.929999999934807,1697067.099999999860302,1717835.440000000176951,1659329.319999999832362,10172696.189999999478459
20091022,1615423.780000000027940,1770430.180000000167638,1734506.239999999990687,1736926.320000000065193,1728800.320000000298023,1658717.929999999701977,10244808.769999999552965
20091023,1578099.200000000186265,1756457.520000000018626,1827786.569999999832362,1746384.439999999944121,1693164.460000000428408,1648935.689999999711290,10250831.880000000819564
20091026,1527489.600000000093132,1728283.139999999897555,1870839.030000000027940,1709903.119999999878928,1663011.040000000270084,1637319.280000000027940,10136849.210000000894070
20091027,1510408.860000000102445,1754395.979999999981374,1864968.239999999990687,1790297.139999999897555,1688595.760000000242144,1669111.559999999823049,10277781.540000000968575
20091028,1493644.430000000167638,1738361.780000000027940,1827786.569999999832362,1748411.179999999934807,1748902.600000000325963,1711908.859999999869615,10269019.419999998062849
20091029,1543937.720000000204891,1785548.139999999897555,1840832.769999999785796,1788270.399999999906868,1765349.920000000158325,1717411.369999999878928,10441354.319999998435378
20091030,1511990.409999999916181,1753250.680000000167638,1808869.580000000074506,1753140.239999999757856,1730627.800000000279397,1691121.599999999860302,10249004.310000000521541
20091102,1526856.980000000214204,1755541.280000000027940,1818654.229999999981374,1784892.500000000000000,1765349.920000000158325,1681339.359999999869615,10332638.269999999552965
20091103,1521479.710000000195578,1756915.639999999897555,1795823.380000000121072,1817995.919999999925494,1773573.580000000307336,1661774.879999999888241,10327567.109999999403954
20091104,1520530.780000000027940,1747295.119999999878928,1830395.809999999823049,1882851.599999999860302,1789107.160000000149012,1663609.049999999813735,10433793.519999999552965
20091105,1574303.480000000214204,1769284.879999999888241,1857140.519999999785796,1905821.320000000065193,1818346.840000000083819,1675225.459999999729916,10600126.500000000000000
20091106,1571456.690000000176951,1775927.619999999878928,1860402.069999999832362,1936898.000000000000000,1820174.320000000298023,1689898.819999999832362,10654761.519999999552965
20091109,1624280.460000000195578,1778905.399999999906868,1891060.639999999897555,1967974.679999999934807,1853982.700000000186265,1724748.049999999813735,10840955.929999999701977
20091110,1591700.530000000027940,1794481.479999999981374,1892365.260000000009313,1957165.399999999906868,1852155.220000000204891,1732696.119999999878928,10820568.009999999776483
