訓練日期,20130311 - 20130611
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11782390.980000000447035
真實報酬,1782390.980000000447035

夏普值報酬,0.169539098000000
夏普值風險,0.050451774232056
夏普值,3.360418946223676

預期報酬,30013.700367693370936
風險,78694.251591503911186
趨勢值,0.381396350568175
找到最佳解世代,1781
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AXP[1](7),BA[2](1),HD[9](13),INTC[11](9),MRK[17](8),MSFT[18](2),UNH[23](6),WBA[27](11),
Stock#,AXP[1](7),BA[2](1),HD[9](13),INTC[11](9),MRK[17](8),MSFT[18](2),UNH[23](6),WBA[27](11),
張數,19319,15388,17514,57924,29090,44642,23229,30757,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,60.699999999953434,32.760000000009313,25.819999999832362,0.080000000074506,2.699999999953434,24.000000000000000,47.510000000009313,35.520000000018626,
20130311,1265455.199999999953434,1276313.479999999981374,1249124.299999999813735,1256371.640000000130385,1270072.099999999860302,1244196.540000000037253,1259291.600000000093132,1269684.479999999981374,10090509.339999999850988
20130312,1261398.209999999962747,1295086.839999999850988,1239141.319999999832362,1253475.440000000176951,1310216.299999999813735,1245982.219999999972060,1273693.580000000074506,1262302.800000000046566,10141296.710000000894070
20130313,1261591.399999999906868,1304165.760000000009313,1239316.459999999962747,1254633.920000000158325,1297125.800000000046566,1246428.640000000130385,1265563.429999999934807,1315819.979999999981374,10184645.390000000596046
20130314,1263136.919999999925494,1302165.320000000065193,1230209.179999999701977,1254054.679999999934807,1287817.000000000000000,1256249.880000000121072,1271370.679999999934807,1313974.560000000055879,10178978.220000000670552
20130315,1276853.409999999916181,1330017.600000000093132,1209367.519999999785796,1238415.199999999953434,1282580.800000000046566,1251785.679999999934807,1271370.679999999934807,1309668.580000000074506,10170059.469999998807907
20130318,1270864.520000000018626,1310782.600000000093132,1214621.719999999739230,1231464.320000000065193,1269199.400000000139698,1254464.199999999953434,1277642.510000000009313,1305055.030000000027940,10134094.300000000745058
20130319,1258307.169999999925494,1315860.640000000130385,1204813.879999999888241,1224513.440000000176951,1271235.699999999953434,1258035.560000000055879,1281591.439999999944121,1376103.700000000186265,10190461.530000001192093
20130320,1275114.699999999953434,1313706.320000000065193,1206390.139999999664724,1226830.400000000139698,1283453.499999999767169,1264285.439999999944121,1274855.030000000027940,1415472.660000000149012,10260108.189999999478459
20130321,1263716.489999999990687,1297702.800000000046566,1207616.119999999878928,1218721.040000000037253,1273853.799999999813735,1254910.619999999878928,1279036.250000000000000,1409013.690000000176951,10204570.810000000521541
20130322,1279364.879999999888241,1305242.919999999925494,1218299.659999999916181,1235519.000000000000000,1277053.699999999953434,1261160.500000000000000,1265098.850000000093132,1429928.450000000186265,10271667.960000000894070
20130325,1277046.599999999860302,1305704.559999999823049,1216723.399999999906868,1225092.679999999934807,1270944.799999999813735,1257142.719999999972060,1274390.449999999953434,1420701.349999999860302,10247746.559999998658895
