訓練日期,20140106 - 20140408
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11037871.330000000074506
真實報酬,1037871.330000000074506

夏普值報酬,0.095087133000000
夏普值風險,0.034983792667906
夏普值,2.718033859354355

預期報酬,18574.414229007637914
風險,116473.035559739670134
趨勢值,0.159473942958074
找到最佳解世代,2802
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](1),DD[7](2),JNJ[12](9),MRK[17](3),
Stock#,CAT[3](1),DD[7](2),JNJ[12](9),MRK[17](3),
張數,27833,40199,27218,50271,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,39.940000000409782,24.189999999944121,26.700000000186265,23.169999999925494,
20140106,2467157.060000000521541,2495578.109999999869615,2513064.640000000130385,2500502.709999999962747,9976302.519999999552965
20140107,2475228.630000000819564,2467840.799999999813735,2566411.920000000391155,2519102.979999999981374,10028584.330000001937151
20140108,2481073.560000000521541,2470654.729999999981374,2562873.580000000074506,2503016.259999999776483,10017618.130000000819564
20140109,2496938.370000000111759,2438897.520000000018626,2578387.840000000316650,2489443.089999999850988,10003666.820000000298023
20140110,2519204.770000000484288,2444927.370000000111759,2578660.020000000018626,2507540.649999999906868,10050332.810000000521541
20140113,2501948.310000000521541,2398296.529999999795109,2572127.700000000186265,2670418.689999999944121,10142791.230000000447035
20140114,2520596.420000000391155,2441711.450000000186265,2578115.660000000149012,2664386.169999999925494,10204809.700000001117587
20140115,2572087.470000000204891,2464624.879999999888241,2580293.100000000093132,2640256.089999999850988,10257261.539999999105930
20140116,2560954.270000000484288,2466634.830000000074506,2575938.220000000204891,2639250.669999999925494,10242777.990000000223517
20140117,2545089.460000000428408,2465830.850000000093132,2587369.780000000260770,2611601.620000000111759,10209891.710000000894070
20140121,2521709.740000000223517,2629440.779999999795109,2559335.240000000223517,2605569.099999999627471,10316054.859999999403954
20140122,2494990.060000000521541,2614969.139999999664724,2567228.459999999962747,2581439.020000000018626,10258626.679999999701977
20140123,2462703.780000000726432,2560298.500000000000000,2524224.020000000018626,2594006.770000000018626,10141233.070000000298023
20140124,2398409.550000000279397,2485126.370000000111759,2466249.680000000167638,2613109.750000000000000,9962895.349999999627471
20140127,2540914.510000000707805,2467438.810000000055879,2448013.620000000111759,2640758.799999999813735,10097125.740000000223517
20140128,2573757.450000000186265,2465026.870000000111759,2452368.500000000000000,2657850.939999999944121,10149003.759999999776483
20140129,2522266.400000000372529,2560700.490000000223517,2419706.900000000372529,2624672.080000000074506,10127345.870000001043081
20140130,2594075.540000000502914,2594065.660000000149012,2436037.700000000186265,2690024.379999999888241,10314203.280000001192093
20140131,2613836.970000000204891,2605321.379999999888241,2408003.160000000149012,2662878.040000000037253,10290039.550000000745058
20140203,2572365.800000000279397,2558288.549999999813735,2362004.740000000223517,2618136.849999999627471,10110795.939999999478459
20140204,2574592.440000000409782,2573966.160000000149012,2357649.860000000335276,2690024.379999999888241,10196232.839999999850988
20140205,2559562.620000000111759,2567534.319999999832362,2375613.740000000223517,2691029.799999999813735,10193740.480000000447035
20140206,2611610.330000000540167,2609743.270000000018626,2415624.200000000186265,2703094.839999999850988,10340072.640000000596046
20140207,2640556.650000000372529,2610547.250000000000000,2450735.420000000391155,2753365.839999999850988,10455205.160000000149012
20140210,2630258.440000000409782,2624214.910000000149012,2478769.959999999962747,2759398.359999999869615,10492641.669999999925494
20140211,2643061.620000000111759,2681297.490000000223517,2530484.160000000149012,2800117.870000000111759,10654961.140000000596046
20140212,2676739.550000000279397,2654766.150000000372529,2515514.260000000242144,2764928.169999999925494,10611948.130000000819564
20140213,2675069.570000000298023,2650746.250000000000000,2519324.780000000260770,2769955.270000000018626,10615095.870000001043081
20140214,2687316.090000000316650,2674061.669999999925494,2524768.380000000353903,2787047.409999999683350,10673193.550000000745058
20140218,2687594.420000000391155,2678081.570000000298023,2508709.760000000242144,2799615.159999999683350,10674000.910000000149012
20140219,2677852.870000000111759,2658384.059999999590218,2494284.220000000204891,2766939.009999999776483,10597460.160000000149012
20140220,2697614.300000000279397,2698583.059999999590218,2514425.540000000037253,2805647.680000000167638,10716270.580000000074506
20140221,2713757.440000000409782,2688533.309999999590218,2491018.060000000055879,2816707.299999999813735,10710016.109999999403954
20140224,2708747.500000000000000,2687729.330000000074506,2479858.680000000167638,2824247.949999999720603,10700583.459999999031425
20140225,2683419.470000000204891,2703406.939999999944121,2479858.680000000167638,2810674.779999999795109,10677359.869999999180436
20140226,2705407.540000000502914,2737978.080000000074506,2479858.680000000167638,2828772.339999999850988,10752016.640000000596046
20140227,2691491.040000000502914,2776971.109999999869615,2486663.180000000167638,2848378.029999999795109,10803503.359999999403954
20140228,2699005.950000000186265,2788628.820000000298023,2507348.860000000335276,2864967.459999999962747,10859951.089999999850988
20140303,2680636.170000000391155,2772951.209999999962747,2492106.780000000260770,2836312.990000000223517,10782007.150000002235174
20140304,2700397.600000000093132,2831641.750000000000000,2540554.820000000298023,2868486.430000000167638,10941080.599999999627471
20140305,2682306.150000000372529,2857369.109999999869615,2520141.320000000298023,2859437.649999999906868,10919254.230000000447035
20140306,2716540.740000000223517,2849731.299999999813735,2528306.720000000204891,2878540.629999999888241,10973119.390000000596046
20140307,2701232.590000000316650,2834455.680000000167638,2540010.459999999962747,2889097.540000000037253,10964796.269999999552965
20140310,2692882.690000000409782,2852545.229999999515712,2543548.800000000279397,2881556.890000000130385,10970533.610000001266599
20140311,2695387.660000000614673,2819984.040000000037253,2544637.520000000018626,2849886.159999999683350,10909895.380000000819564
