訓練日期,20170329 - 20170629
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10896833.089999999850988
真實報酬,896833.089999999850988

夏普值報酬,0.080983309000000
夏普值風險,0.030754536239925
夏普值,2.633215092831388

預期報酬,15860.391270058200462
風險,59356.307530478930857
趨勢值,0.267206501380060
找到最佳解世代,2003
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
BA[2](9),JNJ[12](12),MCD[15](1),UNH[23](2),WMT[28](10),XOM[29](17),
Stock#,BA[2](9),JNJ[12](12),MCD[15](1),UNH[23](2),WMT[28](10),XOM[29](17),
張數,9397,13263,12874,10079,23701,20364,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,14.079999999841675,37.420000000158325,126.700000000186265,103.350000000093132,11.680000000167638,76.239999999990687,
20170329,1669203.189999999711290,1656851.380000000121072,1658812.860000000335276,1647415.110000000102445,1676620.420000000158325,1670331.520000000018626,9979238.480000000447035
20170330,1672492.139999999664724,1653403.000000000000000,1664992.380000000121072,1663037.560000000288710,1696766.270000000251457,1704543.040000000037253,10055238.390000000596046
20170331,1661967.500000000000000,1651944.070000000065193,1668725.840000000316650,1653160.139999999897555,1708379.760000000242144,1670127.880000000121072,10014309.190000001341105
20170403,1659994.129999999888241,1653800.890000000130385,1668725.840000000316650,1669084.960000000195578,1702454.510000000242144,1671349.719999999739230,10025414.050000000745058
20170404,1679257.979999999748543,1653668.260000000242144,1664606.160000000149012,1662835.979999999981374,1706720.690000000176951,1677458.920000000158325,10044551.990000002086163
20170405,1664034.839999999850988,1655259.820000000065193,1679025.040000000037253,1666867.580000000074506,1698188.330000000307336,1680717.159999999916181,10044096.769999999552965
20170406,1666759.969999999972060,1658575.570000000065193,1675677.800000000279397,1666565.210000000195578,1692974.110000000335276,1690491.880000000121072,10051048.540000000968575
20170407,1680667.529999999795109,1656851.380000000121072,1673231.740000000223517,1673418.930000000167638,1727814.580000000307336,1685400.880000000121072,10097389.040000000968575
20170410,1668545.399999999906868,1649158.840000000316650,1673489.219999999972060,1667976.270000000018626,1731606.740000000223517,1692935.559999999823049,10083716.030000001192093
20170411,1678036.369999999878928,1647567.280000000027940,1689195.500000000000000,1671503.920000000158325,1740376.110000000335276,1687030.000000000000000,10113713.179999999701977
20170412,1654355.929999999934807,1663217.620000000344589,1689967.940000000176951,1668782.590000000083819,1740613.120000000111759,1689677.320000000065193,10106618.519999999552965
20170413,1650315.219999999972060,1657779.790000000037253,1683530.940000000176951,1662735.190000000176951,1733739.830000000307336,1663611.399999999906868,10051716.370000001043081
