訓練日期,20131210 - 20140314
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11414469.780000001192093
真實報酬,1414469.780000001192093

夏普值報酬,0.132746978000000
夏普值風險,0.048329929163782
夏普值,2.746682651864476

預期報酬,25571.148722575137072
風險,142673.175405737012625
趨勢值,0.179228846977404
找到最佳解世代,1846
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CAT[3](1),DD[7](2),MRK[17](3),
Stock#,CAT[3](1),DD[7](2),MRK[17](3),
張數,38719,57372,67258,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,14.290000000037253,19.799999999813735,26.520000000018626,
20131210,3346110.270000000018626,3413653.799999999813735,3324589.459999999962747,10084354.530000001192093
20131211,3301970.609999999869615,3353986.919999999925494,3292305.620000000111759,9948264.149999998509884
20131212,3313199.119999999646097,3330464.399999999441206,3249933.080000000074506,9893597.599999999627471
20131213,3331784.239999999757856,3392426.160000000149012,3253968.560000000055879,9978179.960000000894070
20131216,3383280.509999999776483,3398737.080000000074506,3234463.740000000223517,10016482.330000000074506
20131217,3365469.770000000018626,3448077.000000000000000,3221684.719999999739230,10035232.489999998360872
20131218,3413868.520000000018626,3554788.919999999925494,3288942.719999999739230,10257601.160000000149012
20131219,3389475.550000000279397,3586917.240000000223517,3281544.339999999850988,10257938.130000000819564
20131220,3443294.960000000428408,3577164.000000000000000,3317191.080000000074506,10337651.040000000968575
20131223,3483175.529999999795109,3585196.080000000074506,3319881.399999999906868,10388254.009999999776483
20131224,3519958.580000000074506,3629372.519999999552965,3323244.299999999813735,10472576.399999998509884
20131226,3529251.140000000130385,3664943.160000000149012,3344094.279999999795109,10538289.580000000074506
20131227,3518409.820000000298023,3643715.519999999552965,3348802.339999999850988,10510928.679999999701977
20131230,3518409.820000000298023,3643715.519999999552965,3358891.040000000037253,10521017.379999998956919
20131231,3516086.680000000167638,3627651.359999999403954,3366289.419999999925494,10510028.459999999031425
20140102,3479690.820000000298023,3584048.639999999664724,3328624.939999999944121,10392365.400000000372529
20140103,3477754.869999999646097,3567984.479999999515712,3344766.859999999869615,10390507.209999999031425
20140106,3432066.450000000186265,3561673.559999999590218,3345439.439999999944121,10339180.449999999254942
20140107,3443294.960000000428408,3522086.879999999888241,3370324.899999999906868,10335707.740000000223517
20140108,3451425.950000000186265,3526102.919999999925494,3348802.339999999850988,10326332.210000000894070
20140109,3473495.779999999795109,3480779.040000000037253,3330642.680000000167638,10284918.500000000000000
20140110,3504470.980000000447035,3489384.839999999850988,3354855.560000000055879,10348712.380000000819564
20140113,3480465.200000000186265,3422833.319999999832362,3572771.479999999981374,10476071.000000000000000
20140114,3506406.930000000167638,3484795.080000000074506,3564700.520000000018626,10555903.529999999329448
20140115,3578037.080000000074506,3517497.120000000111759,3532416.680000000167638,10627951.880000000819564
20140116,3562549.480000000447035,3520365.719999999739230,3531071.520000000018626,10613987.720000000670552
20140117,3540479.649999999906868,3519218.279999999795109,3494079.620000000111759,10553778.550000000745058
20140121,3507955.689999999944121,3752722.319999999832362,3486008.659999999683350,10746687.669999999925494
20140122,3470785.450000000186265,3732068.399999999441206,3453724.820000000298023,10656579.669999999925494
20140123,3425871.410000000149012,3654042.479999999515712,3470539.320000000298023,10550454.210000000894070
20140124,3336430.520000000018626,3546756.839999999850988,3496097.359999999869615,10379285.719999998807907
20140127,3534671.800000000279397,3521513.160000000149012,3533089.260000000242144,10589275.220000000670552
20140128,3580360.220000000204891,3518070.839999999850988,3555956.979999999981374,10654389.040000000968575
20140129,3508730.070000000298023,3654616.200000000186265,3511566.700000000186265,10674913.970000000670552
20140130,3608625.090000000316650,3702234.959999999962747,3599002.100000000093132,10909863.150000000372529
20140131,3636115.580000000074506,3718299.120000000111759,3562682.779999999795109,10917098.480000000447035
20140203,3578424.270000000018626,3651173.879999999888241,3502823.159999999683350,10732422.310000000521541
20140204,3581521.790000000037253,3673548.959999999962747,3599002.100000000093132,10854073.849999999627471
20140205,3560613.529999999795109,3664369.439999999478459,3600347.260000000242144,10825331.229999998584390
20140206,3633018.060000000055879,3724610.040000000037253,3616489.180000000167638,10974118.279999999329448
20140207,3673285.820000000298023,3725757.479999999515712,3683747.180000000167638,11082791.480000000447035
20140210,3658959.790000000037253,3745263.959999999962747,3691818.140000000130385,11096042.890000000596046
20140211,3676770.529999999795109,3826732.200000000186265,3746297.120000000111759,11249800.850000001490116
20140212,3723620.520000000018626,3788866.680000000167638,3699216.520000000018626,11211704.720000000670552
20140213,3721297.379999999888241,3783129.479999999515712,3705942.320000000298023,11210370.179999999701977
20140214,3738333.739999999757856,3816405.239999999757856,3728810.040000000037253,11283550.019999999552965
20140218,3738720.930000000167638,3822142.439999999944121,3745624.540000000037253,11306488.910000000149012
20140219,3725169.279999999795109,3794030.159999999683350,3701906.839999999850988,11221107.279999999329448
20140220,3752659.770000000018626,3851402.159999999683350,3753695.500000000000000,11357758.429999999701977
20140221,3775116.790000000037253,3837059.159999999683350,3768492.260000000242144,11380669.209999999031425
20140224,3768147.369999999646097,3835911.719999999739230,3778580.959999999962747,11382641.050000000745058
20140225,3732913.080000000074506,3858286.799999999813735,3760421.299999999813735,11351622.179999999701977
20140226,3763501.090000000316650,3907626.719999999739230,3784634.180000000167638,11455762.990000000223517
20140227,3744141.590000000316650,3963277.559999999590218,3810864.799999999813735,11518284.949999999254942
20140228,3754595.720000000204891,3979915.439999999944121,3833059.939999999944121,11567572.099999999627471
20140303,3729041.180000000167638,3957540.359999999869615,3794722.880000000353903,11481305.419999999925494
20140304,3756531.669999999925494,4041303.479999999515712,3837768.000000000000000,11635604.149999998509884
20140305,3731364.320000000298023,4078021.559999999590218,3825661.560000000055879,11635048.439999999478459
20140306,3778988.689999999944121,4067120.879999999888241,3851219.600000000093132,11697330.169999999925494
20140307,3757693.239999999757856,4045319.520000000018626,3865343.779999999795109,11668357.539999999105930
20140310,3746077.540000000037253,4071136.919999999459833,3855255.080000000074506,11672470.539999999105930
20140311,3749562.250000000000000,4024665.600000000093132,3812882.540000000037253,11587111.390000000596046
20140312,3748787.869999999646097,4005732.839999999385327,3820953.500000000000000,11575475.209999999031425
20140313,3701937.879999999888241,3982210.319999999832362,3752350.339999999850988,11436499.539999999105930
20140314,3693419.700000000186265,3974751.959999999962747,3746297.120000000111759,11414469.780000001192093
