訓練日期,20140501 - 20140801
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10954199.639999998733401
真實報酬,954199.639999998733401

夏普值報酬,0.086719964000000
夏普值風險,0.033936895853167
夏普值,2.555329879762888

預期報酬,18492.592928201564064
風險,67531.310190015690750
趨勢值,0.273837318958690
找到最佳解世代,2143
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),DIS[6](4),INTC[11](7),MCD[15](25),VZ[26](6),
Stock#,AAPL[0](1),DIS[6](4),INTC[11](7),MCD[15](25),VZ[26](6),
張數,23724,25207,74934,19727,42799,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,66.800000000046566,76.619999999878928,11.539999999804422,76.739999999990687,2.730000000214204,
20140501,2004744.800000000046566,2005545.540000000037253,1982015.839999999850988,1991714.659999999916181,2020971.510000000242144,10004992.349999999627471
20140502,2008303.400000000139698,2024450.790000000037253,1979018.479999999748543,2000986.350000000093132,2016691.610000000102445,10029450.629999998956919
20140505,2036772.199999999953434,2047389.159999999916181,1961034.319999999832362,1995265.520000000018626,2028247.340000000316650,10068708.539999999105930
20140506,2014708.880000000121072,2042599.829999999841675,1963282.339999999850988,1991517.390000000130385,2031671.260000000242144,10043779.699999999254942
20140507,2007591.680000000167638,2023946.650000000139698,1976021.119999999878928,2011441.659999999916181,2058634.630000000353903,10077635.740000000223517
20140508,1992882.800000000046566,2056967.819999999832362,1973773.099999999860302,2011244.390000000130385,2075326.240000000223517,10110194.349999999627471
20140509,1984579.400000000139698,2065790.270000000018626,1970775.739999999757856,2030576.850000000093132,2074898.250000000000000,10126620.509999999776483
20140512,2009252.360000000102445,2077637.559999999823049,1976021.119999999878928,2029195.959999999962747,2061202.570000000065193,10153309.570000000298023
20140513,2012336.479999999981374,2069067.179999999934807,1982015.839999999850988,2042413.050000000046566,2047934.880000000353903,10153767.429999999701977
20140514,2012810.960000000195578,2039827.059999999823049,1973023.759999999776483,2032549.550000000046566,2054782.720000000204891,10112994.049999998882413
20140515,1995729.680000000167638,2020417.669999999925494,1949044.879999999888241,2022094.239999999990687,2052642.770000000251457,10039929.240000000223517
20140516,2025147.439999999944121,2026467.349999999860302,1934807.419999999925494,2034719.520000000018626,2100149.660000000149012,10121291.390000000596046
20140519,2049108.680000000167638,2043103.969999999739230,1951292.899999999674037,2014006.170000000158325,2103573.580000000074506,10161085.300000000745058
20140520,2049583.160000000149012,2044112.250000000000000,1951292.899999999674037,2002959.050000000046566,2082174.080000000074506,10130121.439999999478459
20140521,2055039.680000000167638,2071839.949999999720603,1963282.339999999850988,2023277.860000000102445,2104429.560000000521541,10217869.390000000596046
