訓練日期,20120516 - 20120816
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11529043.540000000968575
真實報酬,1529043.540000000968575

夏普值報酬,0.144204354000000
夏普值風險,0.042467512818594
夏普值,3.395639264677190

預期報酬,24606.954819516351563
風險,89394.208341531528276
趨勢值,0.275263412205690
找到最佳解世代,2021
找到最佳解實驗#,2
找到最佳解次數,46

stock[index](rank)
投資組合檔數,5
AAPL[0](4),HD[9](8),MRK[17](3),PFE[20](11),WMT[28](1),
Stock#,AAPL[0](4),HD[9](8),MRK[17](3),PFE[20](11),WMT[28](1),
張數,25310,41093,52994,89686,33698,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,3.800000000046566,3.689999999944121,6.439999999944121,2.199999999953434,23.699999999953434,
20120516,1974436.900000000139698,2004109.300000000046566,2025967.059999999823049,2030493.239999999990687,1994608.319999999832362,10029614.820000000298023
20120517,1916730.100000000093132,1932196.550000000046566,2015368.260000000009313,2023318.359999999869615,2078516.339999999850988,9966129.609999999403954
20120518,1917742.500000000000000,1933429.339999999850988,2004239.520000000018626,2024215.219999999972060,2103789.839999999850988,9983416.419999998062849
20120521,2029359.600000000325963,1956441.419999999925494,1992580.840000000083819,2021524.639999999897555,2124345.620000000111759,10124252.120000001043081
20120522,2013920.499999999767169,1983151.869999999878928,1985161.679999999934807,2006278.020000000018626,2147597.240000000223517,10136109.310000000521541
20120523,2063021.900000000139698,1983151.869999999878928,1985161.679999999934807,2006278.020000000018626,2147597.240000000223517,10185210.710000000894070
20120524,2044039.400000000139698,2042736.719999999972060,1992580.840000000083819,1985650.239999999990687,2192752.559999999590218,10257759.759999999776483
20120525,2033156.100000000093132,2031641.609999999869615,1989931.139999999897555,1984753.379999999888241,2200840.080000000074506,10240322.309999998658895
20120529,2069096.300000000046566,2045613.229999999981374,1992050.900000000139698,1989237.679999999934807,2213308.339999999850988,10309306.449999999254942
20120530,2094153.199999999953434,2042736.719999999972060,1981982.039999999804422,1976681.639999999897555,2205220.820000000298023,10300774.419999999925494
20120531,2088838.100000000093132,2027532.310000000055879,1991520.959999999962747,1961435.020000000018626,2218026.059999999590218,10287352.449999999254942
20120601,2028347.199999999953434,1970823.969999999972060,1970323.359999999869615,1940807.239999999990687,2208927.599999999627471,10119229.369999999180436
20120604,2040242.900000000139698,2003698.369999999878928,1985161.679999999934807,1938116.659999999916181,2223754.719999999739230,10190974.330000000074506
20120605,2034927.800000000279397,2010273.250000000000000,1987281.439999999944121,1937219.800000000046566,2207242.700000000186265,10176944.990000000223517
20120606,2066312.199999999953434,2079309.489999999990687,2008479.039999999804422,1965022.459999999962747,2221732.839999999850988,10340856.029999999329448
20120607,2067071.500000000000000,2105609.010000000242144,2031266.459999999962747,1967713.040000000037253,2219710.959999999962747,10391370.970000000670552
20120608,2098202.799999999813735,2151222.240000000223517,2038155.679999999934807,1985650.239999999990687,2298901.259999999776483,10572132.219999998807907
20120611,2065299.799999999813735,2110129.240000000223517,2038685.619999999878928,1982062.800000000046566,2275649.639999999664724,10471827.099999999627471
20120612,2083269.900000000139698,2146702.010000000242144,2058823.340000000083819,1990134.540000000037253,2282052.259999999776483,10560982.050000000745058
20120613,2068843.199999999953434,2094513.899999999906868,2034976.039999999804422,1990134.540000000037253,2260148.559999999590218,10448616.239999998360872
20120614,2066565.300000000279397,2143414.569999999832362,2055643.699999999953434,2023318.359999999869615,2279019.439999999478459,10567961.369999999180436
20120615,2075930.000000000000000,2131497.599999999627471,2063592.799999999813735,2027802.659999999916181,2283063.200000000186265,10581886.259999999776483
20120618,2117944.600000000558794,2149989.450000000186265,2058823.340000000083819,2028699.520000000018626,2295531.459999999962747,10650988.370000001043081
20120619,2124019.000000000000000,2176699.899999999906868,2078961.059999999823049,2036771.260000000009313,2285085.080000000074506,10701536.300000000745058
20120620,2117944.600000000558794,2170946.879999999888241,2077901.179999999934807,2033183.820000000065193,2309010.660000000149012,10708987.140000000596046
20120621,2088585.000000000000000,2106430.869999999646097,2090619.739999999990687,2026905.800000000046566,2281378.299999999813735,10593919.709999999031425
20120622,2104783.400000000372529,2137661.550000000279397,2129305.359999999869615,2038564.979999999981374,2267899.099999999627471,10678214.390000000596046
20120625,2063781.200000000186265,2117115.050000000279397,2108107.759999999776483,2015246.619999999878928,2297553.339999999850988,10601803.969999998807907
20120626,2068337.000000000000000,2131908.530000000260770,2123476.020000000018626,2012556.040000000037253,2311032.540000000037253,10647310.130000000819564
20120627,2077195.499999999767169,2118347.839999999850988,2147853.259999999776483,2027802.659999999916181,2311369.520000000484288,10682568.780000001192093
20120628,2057453.700000000186265,2124100.859999999869615,2155802.359999999869615,2020627.780000000027940,2301597.099999999627471,10659581.800000000745058
20120629,2111617.100000000558794,2177521.760000000242144,2212505.939999999944121,2062780.199999999953434,2349448.259999999776483,10913873.259999999776483
20120702,2142495.299999999813735,2178343.619999999646097,2217805.339999999850988,2062780.199999999953434,2336980.000000000000000,10938404.459999999031425
20120703,2167299.099999999627471,2122457.139999999664724,2215685.580000000074506,2051121.020000000018626,2384157.200000000186265,10940720.039999999105930
20120705,2205264.099999999627471,2141359.919999999925494,2206146.660000000149012,2033183.820000000065193,2395277.540000000037253,10981232.039999999105930
20120706,2190584.299999999813735,2143003.639999999664724,2199787.379999999888241,2021524.639999999897555,2404712.979999999515712,10959612.939999997615814
20120709,2219690.799999999813735,2141770.849999999627471,2232643.660000000149012,2031390.099999999860302,2418192.179999999701977,11043687.589999999850988
20120710,2199189.700000000186265,2145880.149999999906868,2192368.219999999739230,2012556.040000000037253,2429986.479999999515712,10979980.589999999850988
20120711,2185522.299999999813735,2123279.000000000000000,2183889.180000000167638,2003587.439999999944121,2435041.179999999701977,10931319.099999999627471
20120712,2165527.400000000372529,2118347.839999999850988,2273978.979999999981374,2033183.820000000065193,2436726.080000000074506,11027764.120000001043081
20120713,2187294.000000000000000,2140538.060000000055879,2303655.620000000111759,2045739.859999999869615,2466043.339999999850988,11143270.880000000819564
20120716,2194380.799999999813735,2114238.540000000037253,2297296.339999999850988,2074439.379999999888241,2459303.740000000223517,11139658.799999998882413
20120717,2194633.899999999441206,2084240.649999999906868,2341811.299999999813735,2118385.520000000484288,2463347.500000000000000,11202418.869999999180436
20120718,2192102.900000000372529,2092048.319999999832362,2328562.799999999813735,2122869.820000000298023,2454923.000000000000000,11190506.839999999850988
20120719,2221209.400000000372529,2094102.969999999972060,2328562.799999999813735,2134529.000000000000000,2410441.639999999664724,11188845.809999998658895
20120720,2185016.099999999627471,2083418.790000000037253,2300475.979999999981374,2125560.399999999441206,2434704.200000000186265,11129175.469999998807907
20120723,2183244.400000000372529,2094102.969999999972060,2293056.820000000298023,2116591.799999999813735,2421225.000000000000000,11108220.990000000223517
20120724,2172867.299999999813735,2102732.500000000000000,2262320.299999999813735,2096860.879999999888241,2430997.419999999925494,11065778.400000000372529
20120725,2078967.199999999953434,2098623.200000000186265,2258610.719999999739230,2092376.579999999841675,2428975.540000000037253,10957553.239999998360872
20120726,2078714.099999999860302,2174234.319999999832362,2296236.459999999962747,2106726.339999999850988,2482555.360000000335276,11138466.579999998211861
20120727,2115666.700000000186265,2207108.720000000204891,2390035.839999999850988,2137219.580000000074506,2511198.660000000149012,11361229.500000000000000
20120730,2151353.799999999813735,2188205.939999999944121,2357179.559999999590218,2126457.259999999776483,2526699.740000000223517,11349896.299999998882413
20120731,2208301.299999999813735,2144236.429999999701977,2340751.419999999925494,2156053.639999999664724,2508165.839999999850988,11357508.629999998956919
20120801,2194127.700000000186265,2123689.929999999701977,2346580.759999999776483,2147085.040000000037253,2480870.459999999962747,11292353.890000000596046
20120802,2197671.099999999627471,2111772.959999999962747,2326972.979999999981374,2145291.320000000298023,2495360.599999999627471,11277068.959999999031425
20120803,2226271.399999999441206,2148756.659999999683350,2339691.540000000037253,2177578.280000000260770,2512209.599999999627471,11404507.479999998584390
20120806,2251075.200000000186265,2136839.689999999944121,2357709.500000000000000,2175784.560000000521541,2503111.139999999664724,11424520.089999999850988
20120807,2245000.799999999813735,2153276.889999999664724,2331742.439999999944121,2129147.839999999850988,2493338.719999999739230,11352506.689999997615814
20120808,2241204.299999999813735,2169303.159999999683350,2334922.080000000074506,2137219.580000000074506,2504122.080000000074506,11386771.199999999254942
20120809,2244494.600000000558794,2184096.639999999664724,2346580.759999999776483,2140807.020000000484288,2488621.000000000000000,11404600.019999999552965
20120810,2247784.900000000372529,2180398.270000000018626,2361949.020000000018626,2147085.040000000037253,2482892.339999999850988,11420109.570000000298023
20120813,2277903.799999999813735,2170535.950000000186265,2353999.919999999925494,2127354.120000000111759,2473456.900000000372529,11403250.689999999478459
20120814,2283978.200000000186265,2248201.720000000204891,2353469.979999999981374,2150672.480000000447035,2494012.679999999701977,11530335.060000000521541
20120815,2280941.000000000000000,2260118.689999999944121,2334922.080000000074506,2156053.639999999664724,2508839.799999999813735,11540875.210000000894070
20120816,2300935.900000000372529,2313950.520000000018626,2328562.799999999813735,2154259.919999999925494,2431334.400000000372529,11529043.540000000968575
