訓練日期,20140624 - 20140924
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11026014.359999999403954
真實報酬,1026014.359999999403954

夏普值報酬,0.093901436000000
夏普值風險,0.029094229282387
夏普值,3.227493503560319

預期報酬,16722.860455773225112
風險,97914.903986111137783
趨勢值,0.170789734504007
找到最佳解世代,3683
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](1),DIS[6](2),GS[8](9),INTC[11](4),MSFT[18](3),NKE[19](5),PG[21](6),
Stock#,AAPL[0](1),DIS[6](2),GS[8](9),INTC[11](4),MSFT[18](3),NKE[19](5),PG[21](6),
張數,15727,17261,8391,47256,34021,37863,17964,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,87.590000000083819,50.639999999897555,87.159999999916181,22.119999999878928,29.209999999962747,0.010000000009313,73.719999999972060,
20140624,1419921.150000000139698,1427190.120000000111759,1411705.089999999850988,1441330.119999999878928,1420405.959999999962747,1419483.880000000121072,1419409.360000000102445,9959448.679999999701977
20140625,1421179.310000000055879,1448248.540000000037253,1412963.739999999990687,1459287.399999999906868,1429931.840000000083819,1447881.130000000121072,1424978.199999999953434,10044473.160000000149012
20140626,1429671.890000000130385,1457742.089999999850988,1409859.069999999832362,1454561.800000000046566,1419385.329999999841675,1455075.100000000093132,1412403.400000000139698,10038701.679999999701977
20140627,1446657.050000000046566,1472413.939999999944121,1399538.139999999897555,1461650.199999999953434,1437416.459999999962747,1470598.930000000167638,1419589.000000000000000,10107866.720000000670552
20140630,1461597.700000000186265,1480008.779999999795109,1405076.199999999953434,1460232.519999999785796,1418704.910000000149012,1468327.150000000139698,1411864.479999999981374,10105814.740000000223517
20140701,1470876.630000000121072,1492609.309999999823049,1399789.869999999878928,1464013.000000000000000,1424488.479999999981374,1476657.010000000009313,1424259.639999999897555,10152696.939999999478459
20140702,1470247.550000000046566,1492091.479999999748543,1400461.149999999906868,1464013.000000000000000,1425509.109999999869615,1472870.709999999962747,1429289.560000000055879,10154485.560000000521541
20140703,1478897.400000000139698,1498995.879999999888241,1422026.020000000018626,1471573.959999999962747,1422107.009999999776483,1485365.500000000000000,1436834.439999999944121,10215803.209999999031425
20140707,1509407.780000000027940,1494680.629999999888241,1407929.139999999897555,1466375.800000000046566,1428571.000000000000000,1489151.800000000046566,1440606.879999999888241,10236726.030000001192093
20140708,1499657.040000000037253,1482080.099999999860302,1383846.969999999972060,1455034.359999999869615,1421426.590000000083819,1470598.930000000167638,1447253.560000000055879,10159900.549999998882413
20140709,1500286.120000000111759,1505555.059999999823049,1381833.129999999888241,1459759.959999999962747,1417684.280000000027940,1489909.060000000055879,1467193.600000000093132,10222224.209999999031425
20140710,1494781.670000000158325,1499341.099999999860302,1371344.379999999888241,1477244.679999999934807,1418364.699999999953434,1467191.260000000009313,1466115.760000000009313,10194386.550000000745058
20140711,1497612.530000000027940,1499858.929999999934807,1382923.959999999962747,1476772.119999999878928,1431973.100000000093132,1463404.959999999962747,1458031.959999999962747,10210580.560000002384186
20140714,1516956.740000000223517,1497615.000000000000000,1401384.159999999916181,1488113.559999999823049,1433674.149999999906868,1475899.750000000000000,1460906.199999999953434,10274552.559999998658895
20140715,1499185.229999999981374,1487085.790000000037253,1419592.629999999888241,1498509.879999999888241,1444220.660000000149012,1477414.270000000018626,1459828.360000000102445,10285839.820000000298023
20140716,1490692.650000000139698,1473276.989999999757856,1430500.929999999934807,1637442.519999999785796,1499674.889999999897555,1456210.989999999990687,1454079.879999999888241,10441881.849999997764826
20140717,1464114.020000000251457,1467753.469999999972060,1427731.899999999906868,1592549.320000000065193,1514984.340000000083819,1449017.020000000018626,1444379.320000000065193,10360532.390000000596046
20140718,1485188.200000000186265,1481217.050000000046566,1438891.929999999934807,1592549.320000000065193,1520427.699999999953434,1467569.889999999897555,1447073.919999999925494,10432921.009999999776483
20140721,1477481.969999999972060,1480008.779999999795109,1440989.679999999934807,1609561.479999999981374,1525530.850000000093132,1454317.839999999850988,1442223.639999999897555,10430117.240000000223517
20140722,1489749.030000000027940,1488121.449999999720603,1468679.979999999981374,1644058.359999999869615,1525190.639999999897555,1458482.770000000018626,1438990.119999999878928,10513275.349999997764826
20140723,1528594.719999999972060,1485187.080000000074506,1483783.779999999795109,1630354.119999999878928,1526551.479999999981374,1464919.479999999981374,1437014.079999999841675,10556407.740000000223517
20140724,1526078.400000000139698,1498305.439999999944121,1479084.819999999832362,1618540.119999999878928,1510561.609999999869615,1488015.909999999916181,1441864.360000000102445,10562453.660000000149012
20140725,1536143.680000000167638,1488466.669999999925494,1471868.560000000055879,1618540.119999999878928,1513963.709999999962747,1471356.189999999944121,1429289.560000000055879,10529631.490000000223517
20140728,1557375.130000000121072,1504346.790000000037253,1476483.609999999869615,1617594.999999999767169,1495932.579999999841675,1484229.610000000102445,1423900.360000000102445,10559866.079999998211861
20140729,1547309.850000000093132,1487948.839999999850988,1473043.299999999813735,1615704.759999999776483,1493210.899999999906868,1478550.159999999916181,1412942.320000000065193,10508713.130000000819564
20140730,1543692.640000000130385,1505382.449999999720603,1474889.319999999832362,1623265.719999999972060,1482664.389999999897555,1507326.040000000037253,1404139.959999999962747,10541363.519999999552965
20140731,1503588.790000000037253,1482425.319999999832362,1450639.329999999841675,1601527.959999999962747,1468375.569999999832362,1460375.919999999925494,1389050.199999999953434,10355986.089999997988343
20140801,1511924.100000000093132,1473794.819999999832362,1428654.909999999916181,1594439.560000000055879,1458169.270000000018626,1453560.580000000074506,1430906.320000000065193,10351452.560000000521541
20140804,1503431.520000000251457,1505900.279999999795109,1440737.949999999953434,1609088.919999999692664,1475519.979999999981374,1460754.550000000046566,1423181.800000000046566,10418618.000000001862645
20140805,1496039.830000000074506,1497442.389999999897555,1421690.379999999888241,1550964.039999999804422,1465653.889999999897555,1456210.989999999990687,1426594.959999999962747,10314599.480000000447035
20140806,1493523.510000000009313,1494680.629999999888241,1424375.500000000000000,1552381.719999999972060,1454086.750000000000000,1460375.919999999925494,1456774.479999999981374,10336201.509999999776483
20140807,1485974.550000000046566,1476038.750000000000000,1419005.259999999776483,1544348.199999999953434,1470757.039999999804422,1445230.719999999972060,1439708.679999999934807,10281066.199999999254942
20140808,1490063.570000000065193,1499168.489999999757856,1445520.819999999832362,1540567.719999999972060,1469736.410000000149012,1458861.400000000139698,1454259.520000000018626,10358180.929999997839332
20140811,1509722.320000000065193,1510388.139999999897555,1447199.020000000018626,1560415.239999999990687,1469736.410000000149012,1458861.400000000139698,1463780.439999999944121,10420105.970000000670552
20140812,1509407.780000000027940,1505382.449999999720603,1446108.189999999944121,1565613.399999999906868,1480623.130000000121072,1452803.319999999832362,1462702.600000000093132,10422643.869999999180436
20140813,1529381.070000000065193,1512114.239999999757856,1446443.829999999841675,1611451.719999999972060,1499674.889999999897555,1462647.700000000186265,1463780.439999999944121,10525496.889999998733401
20140814,1533470.090000000083819,1529547.849999999860302,1449464.589999999850988,1603890.759999999776483,1506138.880000000121072,1463404.959999999962747,1472223.520000000018626,10558143.649999998509884
20140815,1541019.050000000046566,1541112.719999999972060,1442500.060000000055879,1614759.639999999897555,1523829.800000000046566,1460375.919999999925494,1469169.639999999897555,10592769.830000000074506
20140818,1559576.909999999916181,1553022.809999999823049,1464736.209999999962747,1626101.079999999608845,1534716.520000000018626,1487258.650000000139698,1481025.879999999888241,10706441.059999998658895
20140819,1581122.900000000139698,1555094.129999999888241,1459785.520000000018626,1622793.160000000149012,1542201.139999999897555,1486501.389999999897555,1485516.879999999888241,10733018.120000001043081
20140820,1581751.979999999981374,1550778.879999999888241,1460372.889999999897555,1630354.119999999878928,1529273.160000000149012,1494073.989999999990687,1487672.560000000055879,10734280.580000000074506
20140821,1581909.250000000000000,1560099.819999999832362,1469770.810000000055879,1661070.519999999785796,1538458.829999999841675,1494452.619999999878928,1496115.639999999897555,10801880.490000000223517
20140822,1593547.229999999981374,1561998.529999999795109,1472455.929999999934807,1651146.759999999776483,1536077.359999999869615,1501267.959999999962747,1498091.679999999934807,10814588.449999999254942
20140825,1597007.170000000158325,1560099.819999999832362,1492594.329999999841675,1645003.479999999981374,1536757.780000000027940,1514898.639999999897555,1500786.280000000027940,10847150.500000000000000
20140826,1586784.620000000111759,1553885.859999999869615,1492846.060000000055879,1644530.919999999692664,1531314.419999999925494,1504675.630000000121072,1497912.039999999804422,10811952.549999998882413
