訓練日期,20171102 - 20180206
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12168199.730000000447035
真實報酬,2168199.730000000447035

夏普值報酬,0.208119973000000
夏普值風險,0.068507191106861
夏普值,3.037928860276363

預期報酬,40661.231107137144136
風險,173955.804112889163662
趨勢值,0.233744607226499
找到最佳解世代,2028
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](4),NKE[19](1),WMT[28](5),
Stock#,BA[2](4),NKE[19](1),WMT[28](5),
張數,12894,60529,37904,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,234.000000000000000,0.970000000204891,55.240000000223517,
20171102,3386585.219999999739230,3336359.450000000186265,3365930.439999999944121,10088876.109999999403954
20171103,3375238.500000000000000,3372071.560000000055879,3399285.960000000428408,10146597.020000001415610
20171106,3405152.580000000074506,3392046.130000000353903,3362140.040000000502914,10159339.750000001862645
20171107,3431714.219999999739230,3338175.320000000298023,3371616.040000000502914,10141506.580000000074506
20171108,3424493.580000000074506,3375098.010000000242144,3421270.280000000260770,10220862.870000001043081
20171109,3387487.799999999813735,3397493.740000000223517,3422786.439999999944121,10207768.980000000447035
20171110,3363633.900000000372529,3395072.580000000540167,3446286.920000000391155,10204994.400000000372529
20171113,3383877.479999999981374,3384177.359999999869615,3448940.200000000186265,10216996.039999999105930
20171114,3375367.439999999944121,3388414.390000000130385,3452730.600000000558794,10216513.429999999701977
20171115,3389550.840000000316650,3427758.240000000223517,3404971.560000000055879,10222281.640000000596046
20171116,3400381.799999999813735,3464075.640000000130385,3776051.720000000204891,10640510.160000000149012
20171117,3381814.439999999944121,3582712.479999999981374,3694558.120000000111759,10659086.039999999105930
20171120,3412373.219999999739230,3586344.220000000204891,3694937.160000000149012,10693655.599999999627471
20171121,3442803.060000000055879,3594818.280000000260770,3658549.320000000298023,10696171.660000000149012
20171122,3419078.099999999627471,3575449.000000000000000,3654379.879999999888241,10648907.980000000447035
20171124,3428490.719999999739230,3590581.250000000000000,3662339.720000000204891,10681412.689999999478459
20171127,3424622.520000000018626,3609345.240000000223517,3662339.720000000204891,10696308.480000000447035
20171128,3455697.060000000055879,3606318.790000000037253,3668025.320000000298023,10730042.169999999925494
20171129,3472588.200000000186265,3653531.410000000149012,3697969.480000000447035,10824090.089999999850988
20171130,3569293.200000000186265,3657163.150000000372529,3685461.160000000149012,10911918.510000001639128
20171201,3499407.719999999739230,3624477.490000000223517,3690009.640000000130385,10813895.849999999627471
20171204,3584379.180000000167638,3637793.870000000111759,3677122.280000000260770,10899296.330000001937151
20171205,3553046.760000000242144,3657163.150000000372529,3708203.560000000055879,10918414.470000000670552
20171206,3588247.379999999888241,3614792.850000000093132,3687356.360000000335276,10890397.589999999850988
20171207,3635955.180000000167638,3668058.370000000111759,3668404.360000000335276,10972418.910000000149012
20171208,3686628.599999999627471,3710428.669999999925494,3659686.439999999944121,11056744.709999999031425
20171211,3651299.040000000502914,3747351.359999999869615,3674089.960000000428408,11072741.360000001266599
20171212,3738720.359999999869615,3763088.900000000372529,3665372.040000000502914,11167182.300000000745058
20171213,3763218.959999999497086,3892015.669999999925494,3705550.280000000260770,11360785.910000000149012
20171214,3789522.719999999739230,3905937.340000000316650,3681670.760000000242144,11377131.820000000298023
20171215,3790296.359999999869615,3921674.880000000353903,3680912.680000000167638,11392884.919999999925494
20171218,3818663.159999999683350,3922885.460000000428408,3710856.840000000316650,11452406.460000000894070
20171219,3832975.500000000000000,3888383.929999999701977,3744970.439999999944121,11466330.869999999180436
20171220,3841356.599999999627471,3849040.080000000540167,3743075.240000000223517,11433472.919999999925494
20171221,3804350.819999999832362,3920464.299999999813735,3716921.480000000447035,11441737.599999999627471
20171222,3805253.400000000372529,3830881.380000000353903,3722607.080000000074506,11358742.860000001266599
20171226,3808605.840000000316650,3852671.820000000298023,3758615.879999999888241,11419894.539999999105930
20171227,3811958.280000000260770,3810301.520000000484288,3762406.280000000260770,11384667.080000001937151
20171228,3821370.900000000372529,3810301.520000000484288,3767712.840000000316650,11399386.260000001639128
20171229,3802803.540000000502914,3786089.919999999925494,3743075.240000000223517,11331969.700000001117587
20180102,3827688.959999999497086,3842987.180000000167638,3737010.600000000558794,11407687.740000000223517
20180103,3840067.200000000186265,3842381.890000000130385,3769608.040000000502914,11452058.130000000819564
20180104,3825496.979999999981374,3839960.729999999981374,3773019.400000000372529,11438478.109999999403954
20180105,3982416.959999999497086,3872646.390000000130385,3795382.760000000242144,11650447.109999999403954
20180108,3999308.099999999627471,3907147.919999999925494,3851480.680000000167638,11757937.699999999254942
20180109,4106070.419999999925494,3879304.580000000540167,3805237.800000000279397,11790613.800000000745058
20180110,4129666.439999999944121,3887173.350000000093132,3777946.920000000391155,11794787.710000000894070
20180111,4231013.280000000260770,3891410.380000000353903,3791213.320000000298023,11913637.980000000447035
20180112,4335325.739999999292195,3914411.400000000372529,3823431.720000000204891,12073169.859999999403954
20180116,4321787.040000000037253,3838750.150000000372529,3816609.000000000000000,11977147.190000001341105
20180117,4526156.939999999478459,3862356.460000000428408,3892796.040000000502914,12281310.440000001341105
20180118,4386257.040000000037253,3880515.160000000149012,3953442.439999999944121,12220215.640000000596046
20180119,4354924.620000000111759,4068155.060000000055879,3964434.600000000558794,12387515.280000001192093
20180122,4358406.000000000000000,4018521.280000000260770,3997032.040000000502914,12373960.320000000298023
20180123,4327331.459999999962747,4063918.030000000260770,4014088.840000000316650,12405339.330000000074506
20180124,4315726.860000000335276,4115972.970000000204891,4009919.400000000372529,12441620.230000000447035
20180125,4424294.339999999850988,4098419.560000000055879,4040621.640000000130385,12563336.540000000968575
20180126,4425712.680000000633299,4118394.130000000353903,4108469.800000000279397,12652577.610000001266599
20180129,4394767.080000000074506,4090550.790000000037253,4152438.439999999944121,12637757.310000000521541
20180130,4354666.739999999292195,4075418.540000000037253,4083453.160000000149012,12513539.439999999478459
20180131,4569480.780000000260770,4129289.350000000093132,4040621.640000000130385,12739392.770000001415610
20180201,4602618.360000000335276,4094787.820000000763685,3999685.320000000298023,12697092.500000001862645
20180202,4499079.540000000037253,4068760.350000000093132,3960265.160000000149012,12528106.050000000745058
20180205,4240812.719999999739230,3897463.280000000260770,3793866.600000000558794,11932143.600000001490116
20180206,4395927.540000000037253,3947702.350000000093132,3824568.840000000316650,12168199.730000000447035
