訓練日期,20101209 - 20110314
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11188545.160000000149012
真實報酬,1188545.160000000149012

夏普值報酬,0.110154516000000
夏普值風險,0.038324873459664
夏普值,2.874230390243393

預期報酬,20876.781168526125839
風險,71012.940586361757596
趨勢值,0.293985589051013
找到最佳解世代,2178
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,5
CVX[5](1),KO[14](21),MMM[16](5),PFE[20](2),UNH[23](11),
Stock#,CVX[5](1),KO[14](21),MMM[16](5),PFE[20](2),UNH[23](11),
張數,23218,62111,23618,119617,54288,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,1.479999999981374,25.799999999813735,27.759999999776483,3.760000000242144,30.079999999841675,
20101209,2011841.180000000167638,2013664.419999999925494,1986537.739999999757856,2004784.680000000400469,1989685.279999999795109,10006513.300000000745058
20101210,2020664.020000000018626,2008074.429999999701977,1991497.519999999552965,2035885.100000000093132,1990771.040000000037253,10046892.109999999403954
20101213,2051776.140000000130385,2013664.419999999925494,2014643.159999999683350,2056219.990000000456348,2003257.279999999795109,10139560.990000000223517
20101214,2052008.319999999832362,1984472.249999999767169,2027396.879999999888241,2046650.630000000121072,1981542.079999999841675,10092070.159999998286366
20101215,2043417.660000000149012,2010558.869999999646097,2026688.339999999850988,2043062.120000000111759,1924539.679999999934807,10048266.669999999925494
20101216,2067796.560000000055879,2029192.169999999925494,2040622.959999999962747,2059808.500000000000000,1933225.759999999776483,10130645.949999999254942
20101217,2054562.299999999813735,2040372.149999999906868,2039914.419999999925494,2037081.270000000484288,1902824.479999999748543,10074754.619999999180436
20101220,2061759.879999999888241,2028571.059999999590218,2062823.879999999888241,2053827.650000000372529,1909881.919999999925494,10116864.390000000596046
20101221,2071743.620000000111759,2033539.939999999944121,2043693.299999999813735,2078947.220000000204891,1918025.119999999646097,10145949.199999999254942
20101222,2087764.040000000037253,2037266.599999999627471,2048180.719999999739230,2100478.280000000260770,1945712.000000000000000,10219401.640000000596046
20101223,2105409.720000000204891,2036645.489999999757856,2042276.219999999739230,2106459.130000000353903,1941911.840000000083819,10232702.400000000372529
20101227,2092407.640000000130385,2020496.629999999888241,2055029.939999999944121,2092105.090000000083819,1929425.599999999860302,10189464.900000000372529
20101228,2117250.899999999906868,2029813.279999999795109,2048653.079999999608845,2104066.790000000037253,1939197.439999999711290,10238981.490000000223517
20101229,2121430.140000000130385,2032918.829999999608845,2049125.439999999944121,2105262.960000000428408,1949512.159999999683350,10258249.530000001192093
20101230,2126770.279999999795109,2034161.049999999813735,2043929.479999999981374,2092105.090000000083819,1951140.799999999813735,10248106.699999999254942
