訓練日期,20100818 - 20101117
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10794251.950000001117587
真實報酬,794251.950000001117587

夏普值報酬,0.070725195000000
夏普值風險,0.029202124491644
夏普值,2.421919508638419

預期報酬,14345.404603854169181
風險,77230.764345024392242
趨勢值,0.185747282517713
找到最佳解世代,1810
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,3
KO[14](1),MCD[15](5),WMT[28](6),
Stock#,KO[14](1),MCD[15](5),WMT[28](6),
張數,118793,45524,65333,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,1.419999999925494,65.720000000204891,43.339999999850988,
20100818,3316701.979999999981374,3334698.720000000204891,3322879.719999999739230,9974281.419999999925494
20100819,3283439.939999999944121,3321952.000000000000000,3270613.319999999832362,9876006.259999999776483
20100820,3284627.869999999646097,3326959.640000000130385,3281066.599999999627471,9892655.109999999403954
20100823,3302446.819999999832362,3338795.880000000353903,3341172.959999999962747,9982416.660000000149012
20100824,3306010.609999999869615,3310571.000000000000000,3351626.239999999757856,9968208.849999999627471
20100825,3290567.520000000018626,3331967.280000000260770,3367959.489999999757856,9990495.290000000968575
20100826,3276312.359999999869615,3330601.560000000055879,3330066.349999999627471,9936981.269999999552965
20100827,3335708.859999999869615,3368386.479999999981374,3332026.339999999850988,10036122.679999999701977
20100830,3300070.959999999962747,3311481.479999999981374,3302626.489999999757856,9914179.929999999701977
20100831,3319077.839999999850988,3326049.160000000149012,3275839.959999999962747,9920967.960000000894070
20100901,3404608.799999999813735,3393424.680000000633299,3345092.939999999944121,10143127.419999999925494
20100902,3408172.589999999850988,3415276.200000000186265,3381679.419999999925494,10205129.210000000894070
20100903,3418863.959999999962747,3418462.880000000353903,3399972.659999999683350,10237300.500000000000000
20100907,3423615.680000000167638,3450784.919999999925494,3388212.719999999739230,10262614.320000000298023
20100908,3435494.979999999981374,3463531.640000000130385,3386252.729999999515712,10285280.349999999627471
20100909,3462817.369999999646097,3385685.600000000558794,3391479.369999999646097,10239983.339999999850988
20100910,3475884.600000000093132,3414820.960000000428408,3395399.349999999627471,10286105.910000000149012
20100913,3447374.279999999795109,3394790.399999999906868,3411079.270000000018626,10253244.949999999254942
20100914,3421239.819999999832362,3366110.280000000260770,3440479.119999999646097,10227830.219999998807907
20100915,3410548.450000000186265,3401163.759999999776483,3453545.719999999739230,10265258.929999999701977
20100916,3416488.100000000093132,3405260.919999999925494,3472492.289999999571592,10294242.309999998658895
20100917,3418863.959999999962747,3383409.399999999906868,3463345.669999999925494,10265620.029999999329448
20100920,3443810.489999999757856,3419373.360000000335276,3497972.159999999683350,10361157.009999999776483
20100921,3452126.000000000000000,3437582.960000000428408,3499932.149999999906868,10389642.110000001266599
20100922,3459253.580000000074506,3420283.839999999850988,3516265.399999999906868,10395803.820000000298023
20100923,3437870.839999999850988,3397977.080000000074506,3505158.789999999571592,10341007.709999999031425
20100924,3481824.250000000000000,3418918.120000000111759,3533251.979999999515712,10433995.349999999627471
20100927,3480636.319999999832362,3403439.960000000428408,3494052.179999999701977,10378129.460000000894070
20100928,3510334.569999999832362,3397521.839999999850988,3516265.399999999906868,10424122.810000000521541
20100929,3490139.759999999776483,3389327.520000000484288,3485558.890000000130385,10365027.169999999925494
20100930,3475884.600000000093132,3392058.960000000428408,3496665.500000000000000,10364610.060000000521541
20101001,3511522.500000000000000,3410723.800000000279397,3486212.219999999739230,10408459.519999999552965
20101004,3497267.339999999850988,3412089.520000000484288,3499932.149999999906868,10409290.009999999776483
20101005,3543596.609999999869615,3451695.399999999906868,3528025.339999999850988,10523318.349999999627471
