訓練日期,20150812 - 20151111
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11237514.560000000521541
真實報酬,1237514.560000000521541

夏普值報酬,0.115051456000000
夏普值風險,0.075586454436643
夏普值,1.522117380124471

預期報酬,22579.813399241989828
風險,475489.477348748303484
趨勢值,0.047487514392839
找到最佳解世代,1846
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
INTC[11](1),NKE[19](2),
Stock#,INTC[11](1),NKE[19](2),
張數,172592,87366,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,9.759999999776483,43.820000000298023,
20150812,5084570.080000000074506,4938843.800000000745058,10023413.880000000819564
20150813,4982740.799999999813735,4962432.620000000111759,9945173.419999999925494
20150814,5008629.599999999627471,4995631.700000000186265,10004261.300000000745058
20150817,5018985.119999999180436,5022715.160000000149012,10041700.279999999329448
20150818,4989644.479999999515712,5015725.879999999888241,10005370.359999999403954
20150819,4894718.879999999888241,5021841.500000000000000,9916560.379999998956919
20150820,4751467.519999999552965,4905644.719999999739230,9657112.239999998360872
20150821,4584053.279999999329448,4668882.860000000335276,9252936.140000000596046
20150824,4530549.759999999776483,4537833.860000000335276,9068383.620000001043081
20150825,4464964.799999999813735,4522981.640000000596046,8987946.440000001341105
20150826,4711771.360000000335276,4751006.900000000372529,9462778.260000001639128
20150827,4784260.000000000000000,4919623.280000000260770,9703883.280000001192093
20150828,4905074.400000000372529,4914381.320000000298023,9819455.720000000670552
20150831,4925785.439999999478459,4882055.900000000372529,9807841.339999999850988
20150901,4801519.200000000186265,4745764.940000000409782,9547284.140000000596046
20150902,4936140.959999999962747,4835751.920000000856817,9771892.880000000819564
20150903,5018985.119999999180436,4842741.200000000186265,9861726.320000000298023
20150904,4922333.599999999627471,4792068.920000000856817,9714402.519999999552965
20150908,5091473.759999999776483,4882055.900000000372529,9973529.660000000149012
20150909,5046599.839999999850988,4799058.200000000186265,9845658.039999999105930
20150910,5051777.599999999627471,4821773.360000000335276,9873550.960000000894070
20150911,5086296.000000000000000,4884676.879999999888241,9970972.879999998956919
20150914,5072488.639999999664724,4888171.520000000484288,9960660.160000000149012
20150915,5131169.919999999925494,4972916.540000000037253,10104086.460000000894070
20150916,5138073.599999999627471,5048924.959999999962747,10186998.559999998658895
20150917,5127718.080000000074506,5035820.060000000521541,10163538.140000000596046
20150918,5008629.599999999627471,5026209.800000000745058,10034839.400000000372529
20150921,5032792.479999999515712,5091734.300000000745058,10124526.780000001192093
20150922,4948222.400000000372529,5066398.160000000149012,10014620.560000000521541
20150923,4960303.839999999850988,5042809.339999999850988,10003113.179999999701977
20150924,4915429.919999999925494,5014852.219999999739230,9930282.140000000596046
20150925,4972385.279999999329448,5460418.820000000298023,10432804.099999999627471
20150928,4963755.679999999701977,5335485.440000000409782,10299241.120000001043081
20150929,5046599.839999999850988,5228025.260000000707805,10274625.100000001490116
20150930,5201932.639999999664724,5372179.160000000149012,10574111.800000000745058
20151001,5177769.759999999776483,5409746.540000000037253,10587516.300000000745058
20151002,5265791.679999999701977,5470029.080000000074506,10735820.759999999776483
20151005,5386606.080000000074506,5428967.060000000521541,10815573.140000000596046
20151006,5478079.839999999850988,5381789.420000000856817,10859869.260000001639128
20151007,5578183.200000000186265,5333738.120000000111759,10911921.320000000298023
20151008,5612701.600000000558794,5456924.180000000633299,11069625.780000001192093
20151009,5547116.639999999664724,5457797.839999999850988,11004914.480000000447035
20151012,5559198.080000000074506,5523322.339999999850988,11082520.419999999925494
20151013,5529857.439999999478459,5496238.879999999888241,11026096.320000000298023
20151014,5661027.359999999403954,5497112.540000000037253,11158139.899999998509884
20151015,5652397.759999999776483,5626414.220000000670552,11278811.980000000447035
20151016,5702449.439999999478459,5699801.660000000149012,11402251.099999999627471
20151019,5797375.040000000037253,5819493.080000000074506,11616868.120000001043081
20151020,5771486.239999999292195,5782799.360000000335276,11554285.599999999627471
20151021,5759404.799999998882413,5787167.660000000149012,11546572.459999999031425
20151022,5937174.559999999590218,5784546.679999999701977,11721721.239999998360872
20151023,6023470.559999999590218,5702422.639999999664724,11725893.199999999254942
20151026,5969967.040000000037253,5739116.360000000335276,11709083.400000000372529
20151027,5949256.000000000000000,5714653.879999999888241,11663909.879999998956919
20151028,5990678.080000000074506,5735621.720000000670552,11726299.800000000745058
20151029,5873315.519999999552965,5727758.780000000260770,11601074.300000000745058
20151030,5843974.879999999888241,5724264.139999999664724,11568239.019999999552965
20151102,5887122.879999999888241,5731253.419999999925494,11618376.300000000745058
20151103,5921641.280000000260770,5739990.020000000484288,11661631.300000000745058
20151104,5894026.559999999590218,5694559.700000001117587,11588586.260000001639128
20151105,5868137.759999999776483,5760084.200000001117587,11628221.960000000894070
20151106,5840523.040000000037253,5756589.560000000521541,11597112.600000001490116
20151109,5755952.959999999962747,5699801.660000000149012,11455754.620000001043081
20151110,5731790.080000000074506,5678833.820000000298023,11410623.900000000372529
20151111,5671382.879999999888241,5566131.680000000633299,11237514.560000000521541
