訓練日期,20120120 - 20120423
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11276551.210000000894070
真實報酬,1276551.210000000894070

夏普值報酬,0.118955121000000
夏普值風險,0.041426187983990
夏普值,2.871495708124858

預期報酬,23793.252854000966181
風險,103019.457053988517146
趨勢值,0.230958825977231
找到最佳解世代,1708
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,7
AAPL[0](1),HD[9](4),INTC[11](5),KO[14](2),NKE[19](6),UNH[23](10),WBA[27](19),
Stock#,AAPL[0](1),HD[9](4),INTC[11](5),KO[14](2),NKE[19](6),UNH[23](10),WBA[27](19),
張數,23377,31459,55738,42353,56242,27304,42643,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,2.530000000027940,17.810000000055879,6.060000000055879,4.310000000055879,24.200000000186265,25.719999999972060,30.500000000000000,
20120120,1403557.610000000102445,1400257.899999999906868,1470374.500000000000000,1442123.959999999962747,1430820.680000000167638,1427205.800000000046566,1427718.139999999897555,10002061.590000001713634
20120123,1427402.150000000139698,1411897.730000000214204,1488768.040000000037253,1451441.620000000111759,1428008.580000000307336,1431574.439999999944121,1443922.479999999981374,10083018.040000000968575
20120124,1404025.150000000139698,1414414.450000000186265,1499358.260000000009313,1437888.660000000149012,1437007.300000000279397,1401540.040000000037253,1461406.110000000102445,10055642.969999998807907
20120125,1491688.900000000139698,1423852.149999999906868,1499358.260000000009313,1449323.969999999972060,1451067.800000000279397,1408093.000000000000000,1479316.169999999925494,10202703.250000000000000
20120126,1484909.570000000065193,1414099.860000000102445,1490997.560000000055879,1440429.840000000083819,1438694.560000000055879,1374782.120000000111759,1463538.260000000009313,10107454.770000001415610
20120127,1493792.830000000074506,1411583.139999999897555,1489882.800000000046566,1428147.469999999972060,1435882.460000000195578,1393075.800000000046566,1459700.389999999897555,10112067.890000000596046
20120130,1512961.969999999972060,1408437.240000000223517,1490440.179999999934807,1428571.000000000000000,1453879.900000000372529,1394441.000000000000000,1434114.590000000083819,10122848.879999998956919
