訓練日期,20100927 - 20101228
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11502599.529999999329448
真實報酬,1502599.529999999329448

夏普值報酬,0.141559953000000
夏普值風險,0.041760466638243
夏普值,3.389807739130115

預期報酬,24396.654794106667396
風險,89863.377545629176893
趨勢值,0.271486065407668
找到最佳解世代,2293
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
CAT[3](14),DIS[6](5),INTC[11](11),KO[14](1),NKE[19](6),WBA[27](8),XOM[29](2),
Stock#,CAT[3](14),DIS[6](5),INTC[11](11),KO[14](1),NKE[19](6),WBA[27](8),XOM[29](2),
張數,17917,42542,73561,48740,71823,47054,23134,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,48.589999999850988,10.640000000130385,16.379999999888241,1.600000000093132,11.530000000027940,11.560000000055879,46.500000000000000,
20100927,1425166.770000000018626,1416233.820000000065193,1415330.019999999785796,1428083.600000000093132,1420670.470000000204891,1428100.460000000195578,1427645.640000000130385,9961233.780000001192093
20100928,1427495.979999999981374,1413255.880000000121072,1435191.489999999990687,1440268.600000000093132,1447963.209999999962747,1590907.300000000046566,1435742.540000000037253,10190828.000000000000000
20100929,1433229.419999999692664,1404322.060000000055879,1415330.019999999785796,1431982.800000000046566,1435035.070000000065193,1582437.580000000074506,1424869.560000000055879,10127209.509999999776483
20100930,1409758.149999999906868,1408150.840000000083819,1412387.579999999841675,1426134.000000000232831,1439344.449999999953434,1576320.560000000055879,1429496.359999999869615,10101594.939999999478459
20101001,1401516.329999999841675,1418360.920000000391155,1421214.899999999906868,1440756.000000000000000,1440780.909999999916181,1584790.280000000027940,1446846.859999999869615,10154269.199999999254942
20101004,1384495.179999999701977,1409852.520000000251457,1388112.449999999953434,1434907.200000000186265,1434316.839999999850988,1557969.500000000000000,1438749.959999999962747,10048406.650000002235174
20101005,1422658.389999999897555,1439206.500000000000000,1408709.529999999795109,1453915.800000000046566,1460173.119999999878928,1598906.479999999981374,1463503.339999999850988,10247076.160000000149012
20101006,1412983.209999999729916,1427294.739999999990687,1415330.019999999785796,1456352.800000000046566,1456581.970000000204891,1601259.180000000167638,1474144.979999999981374,10243949.900000000372529
20101007,1410833.169999999692664,1442609.859999999869615,1427099.779999999795109,1448554.400000000139698,1454427.280000000027940,1593730.540000000037253,1477152.400000000139698,10254410.429999999701977
20101008,1440037.879999999888241,1468135.060000000055879,1435927.099999999860302,1448067.000000000232831,1473101.260000000242144,1598906.479999999981374,1489413.419999999925494,10353591.200000001117587
20101011,1433050.250000000000000,1470687.580000000074506,1438869.539999999804422,1451478.800000000046566,1472383.030000000027940,1588084.060000000055879,1493346.199999999953434,10347902.459999999031425
20101012,1421583.369999999878928,1466858.800000000046566,1454317.349999999860302,1452453.600000000093132,1470228.339999999850988,1601729.719999999972060,1496816.300000000046566,10363990.480000000447035
20101013,1438604.520000000018626,1485151.859999999869615,1415330.019999999785796,1460739.400000000139698,1473101.260000000242144,1637490.760000000009313,1504681.860000000102445,10415102.679999999701977
20101014,1431796.059999999823049,1482599.340000000083819,1421214.899999999906868,1460252.000000000232831,1468073.650000000139698,1622904.020000000251457,1510696.699999999953434,10397539.669999999925494
20101015,1428929.339999999850988,1483875.600000000325963,1421214.899999999906868,1460739.400000000139698,1472383.030000000027940,1627138.879999999888241,1508151.959999999962747,10402436.109999999403954
20101018,1437708.669999999692664,1478345.140000000130385,1411651.969999999972060,1462201.600000000093132,1466637.190000000176951,1619139.699999999953434,1533368.020000000018626,10409055.289999999105930
20101019,1407428.939999999711290,1456648.720000000204891,1413123.189999999944121,1470487.400000000139698,1449399.669999999925494,1582437.580000000074506,1506532.580000000074506,10286061.080000000074506
20101020,1439142.029999999795109,1472814.679999999934807,1444754.419999999925494,1490470.800000000046566,1458736.659999999916181,1601259.180000000167638,1527121.840000000083819,10434302.609999999403954
20101021,1413520.719999999972060,1475367.200000000186265,1453581.739999999990687,1498269.199999999953434,1474537.720000000204891,1604552.960000000195578,1534293.379999999888241,10454125.920000001788139
20101022,1403487.199999999720603,1487704.380000000121072,1459466.619999999878928,1501681.000000000000000,1470946.570000000065193,1603141.340000000083819,1534756.060000000055879,10461186.170000001788139
20101025,1416387.439999999711290,1508549.960000000195578,1461673.449999999953434,1487059.000000000232831,1473101.260000000242144,1620551.320000000065193,1531517.300000000046566,10498842.730000000447035
20101026,1409220.639999999897555,1529820.960000000195578,1474178.819999999832362,1492420.400000000139698,1468791.879999999888241,1606435.120000000111759,1539151.520000000018626,10520022.339999999850988
20101027,1401516.329999999841675,1528119.280000000260770,1485212.969999999972060,1491445.600000000093132,1455145.510000000242144,1597494.860000000102445,1519256.280000000027940,10478193.829999998211861
20101028,1392916.169999999692664,1553219.060000000055879,1505810.049999999813735,1491933.000000000000000,1456581.970000000204891,1606435.120000000111759,1531979.979999999981374,10538878.350000001490116
20101029,1408324.789999999804422,1537053.100000000325963,1474914.429999999934807,1494370.000000000000000,1462327.810000000055879,1594201.080000000074506,1538226.159999999916181,10509420.370000001043081
20101101,1420329.179999999701977,1532798.900000000139698,1513166.149999999906868,1504118.000000000000000,1455863.739999999990687,1602200.260000000009313,1548867.800000000046566,10577347.030000001192093
20101102,1428929.339999999850988,1536202.260000000009313,1496247.119999999878928,1507529.800000000046566,1468073.650000000139698,1622904.020000000251457,1569457.060000000055879,10629346.250000000000000
20101103,1431258.549999999813735,1543859.820000000065193,1506545.659999999916181,1509966.800000000046566,1469510.110000000102445,1655371.280000000027940,1572464.479999999981374,10688979.700000001117587
20101104,1490384.649999999906868,1575340.900000000139698,1542590.549999999813735,1522151.800000000046566,1497521.080000000074506,1691602.860000000102445,1605083.419999999925494,10924678.259999999776483
20101105,1496834.770000000018626,1582573.040000000270084,1562452.019999999785796,1525076.199999999953434,1510449.220000000204891,1653489.120000000111759,1619426.500000000000000,10950303.870000001043081
20101108,1489309.629999999888241,1576617.160000000149012,1561716.409999999916181,1522151.800000000046566,1501112.229999999981374,1651136.420000000158325,1626829.379999999888241,10928876.030000001192093
20101109,1467630.059999999823049,1568108.760000000009313,1556567.139999999897555,1526538.400000000139698,1493929.930000000167638,1658194.520000000251457,1634000.919999999925494,10904972.730000000447035
20101110,1477484.409999999683350,1573639.220000000204891,1547739.819999999832362,1524588.800000000046566,1506139.839999999850988,1652077.500000000000000,1645567.919999999925494,10927240.509999999776483
20101111,1477126.069999999832362,1528544.700000000186265,1560245.189999999944121,1530437.600000000093132,1502548.690000000176951,1656782.900000000139698,1661761.719999999972060,10917449.870000001043081
20101112,1452042.270000000018626,1605971.140000000130385,1583784.709999999962747,1533362.000000000232831,1483874.709999999962747,1638902.379999999888241,1642329.159999999916181,10940269.370000001043081
20101115,1466017.529999999795109,1584700.140000000130385,1566865.679999999934807,1534336.800000000046566,1468791.879999999888241,1623845.099999999860302,1630530.820000000065193,10875090.949999999254942
20101116,1440037.879999999888241,1570661.280000000260770,1549946.649999999906868,1512891.199999999953434,1445808.520000000018626,1600318.099999999860302,1594904.459999999962747,10714571.089999999850988
20101117,1454371.479999999981374,1583423.880000000121072,1550682.259999999776483,1523614.000000000232831,1461609.580000000074506,1600318.099999999860302,1596523.840000000083819,10770546.140000000596046
20101118,1489130.459999999729916,1598739.000000000000000,1546268.599999999860302,1555782.400000000139698,1481001.790000000037253,1619610.240000000223517,1626598.040000000037253,10917133.530000001192093
20101119,1504539.079999999841675,1574490.060000000055879,1555095.919999999925494,1567480.000000000000000,1540614.879999999888241,1635608.599999999860302,1631918.860000000102445,11009750.399999998509884
20101122,1505076.589999999850988,1571937.540000000270084,1563187.629999999888241,1566505.200000000186265,1542769.570000000065193,1641725.620000000111759,1623821.959999999962747,11015027.109999999403954
20101123,1480530.299999999813735,1536627.679999999934807,1551417.869999999878928,1550421.000000000000000,1531277.890000000130385,1598906.479999999981374,1595829.820000000065193,10845014.040000000968575
20101124,1517439.319999999832362,1568534.179999999934807,1573486.169999999925494,1574791.000000000232831,1553543.020000000018626,1614434.300000000046566,1616650.419999999925494,11018881.410000000149012
20101126,1507405.799999999813735,1561302.040000000270084,1569808.119999999878928,1562606.000000000232831,1543487.799999999813735,1584790.280000000027940,1601613.320000000065193,10931016.359999999403954
20101129,1499163.979999999981374,1549390.280000000260770,1569072.509999999776483,1545059.600000000093132,1529123.199999999953434,1637490.760000000009313,1606702.800000000046566,10936006.130000000819564
20101130,1515826.789999999804422,1553219.060000000055879,1556567.139999999897555,1539698.200000000186265,1546360.720000000204891,1639843.460000000195578,1609247.540000000037253,10960765.910000000149012
20101201,1566890.239999999990687,1579169.679999999934807,1580106.659999999916181,1576740.600000000093132,1573653.459999999962747,1678427.740000000223517,1650194.719999999972060,11205186.099999999627471
20101202,1587853.129999999888241,1588528.920000000391155,1596290.079999999841675,1581614.600000000325963,1577244.610000000102445,1699131.500000000000000,1653664.820000000065193,11284330.660000000149012
20101203,1601470.049999999813735,1599164.420000000391155,1595554.469999999972060,1571866.600000000093132,1571498.770000000018626,1734422.000000000000000,1646955.959999999962747,11320935.269999999552965
20101206,1598244.989999999990687,1597888.160000000149012,1596290.079999999841675,1559681.600000000093132,1575089.919999999925494,1710424.460000000195578,1649732.040000000037253,11287354.250000000000000
20101207,1618849.539999999804422,1588103.500000000000000,1587462.759999999776483,1563093.400000000139698,1565752.930000000167638,1704307.439999999944121,1653202.139999999897555,11280774.710000000894070
20101208,1605770.129999999888241,1572788.380000000121072,1605117.399999999906868,1569429.600000000325963,1567907.619999999878928,1716070.939999999944121,1662224.399999999906868,11299311.470000000670552
20101209,1606665.979999999981374,1563003.720000000204891,1604381.789999999804422,1580152.400000000139698,1570780.540000000037253,1711365.540000000037253,1665694.500000000000000,11302047.470000000670552
20101210,1611503.569999999832362,1559600.359999999869615,1611737.889999999897555,1575765.800000000046566,1576526.379999999888241,1714188.780000000027940,1669858.620000000111759,11319184.399999998509884
20101213,1641783.299999999813735,1579595.100000000325963,1581577.879999999888241,1580152.400000000139698,1602382.659999999916181,1714659.320000000065193,1674022.739999999990687,11374176.400000000372529
20101214,1650025.119999999878928,1584274.720000000204891,1579371.049999999813735,1557244.600000000093132,1603100.890000000130385,1729246.060000000055879,1669858.620000000111759,11373124.060000002384186
