訓練日期,20170530 - 20170829
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10786658.149999998509884
真實報酬,786658.149999998509884

夏普值報酬,0.069965815000000
夏普值風險,0.023754519419452
夏普值,2.945368574483020

預期報酬,12659.923678001379812
風險,42063.026411032587930
趨勢值,0.300975102321236
找到最佳解世代,3106
找到最佳解實驗#,2
找到最佳解次數,39

stock[index](rank)
投資組合檔數,5
JPM[13](5),MCD[15](4),PG[21](8),UNH[23](1),V[25](6),
Stock#,JPM[13](5),MCD[15](4),PG[21](8),UNH[23](1),V[25](6),
張數,23430,13345,22922,11267,21126,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,15.199999999953434,118.299999999813735,55.500000000000000,107.500000000000000,1.580000000074506,
20170530,1965792.200000000186265,2000934.149999999906868,2003438.300000000046566,1989747.030000000027940,2001056.300000000046566,9960967.980000000447035
20170531,1924789.700000000186265,2013745.349999999627471,2019254.479999999981374,1973860.560000000055879,2011830.560000000055879,9943480.650000000372529
20170601,1946111.000000000000000,2033762.849999999627471,2020171.359999999869615,2023435.360000000102445,2015421.980000000214204,10038902.549999998882413
20170602,1936270.399999999906868,2051778.599999999860302,2030715.479999999981374,2021294.629999999888241,2031266.480000000214204,10071325.589999999850988
20170605,1939784.900000000139698,2039100.849999999627471,2034153.779999999795109,2021069.290000000037253,2039716.880000000121072,10073825.699999999254942
20170606,1943767.999999999767169,2018282.649999999674037,2035529.099999999860302,2037406.439999999944121,2023661.120000000111759,10058647.309999998658895
20170607,1966026.499999999767169,2027757.599999999860302,2034841.439999999944121,2064334.570000000065193,2029998.920000000158325,10122959.029999999329448
20170608,1990393.699999999953434,2020951.649999999906868,2013753.199999999953434,2047208.729999999981374,2029998.920000000158325,10102306.199999999254942
20170609,2037487.999999999767169,2021618.899999999674037,2020859.020000000018626,2044617.320000000065193,1997676.140000000130385,10122259.380000000819564
20170612,2037956.600000000093132,1981450.449999999720603,2022692.779999999795109,2019717.250000000000000,1975282.580000000074506,10037099.660000000149012
20170613,2044751.299999999813735,1999466.199999999720603,2018566.820000000065193,2039997.850000000093132,2008661.660000000149012,10111443.830000000074506
20170614,2040533.900000000139698,2010942.899999999906868,2027277.179999999934807,2054757.620000000111759,2013731.899999999906868,10147243.500000000000000
20170615,2028350.299999999813735,2017481.949999999720603,2048823.859999999869615,2032448.959999999962747,1989437.000000000000000,10116542.070000000298023
20170616,2019212.600000000093132,2028424.849999999860302,2055242.020000000018626,2046532.709999999962747,1989437.000000000000000,10138849.179999999701977
20170619,2063495.299999999813735,2043771.599999999627471,2059826.419999999925494,2062193.840000000083819,2002535.120000000111759,10231822.279999999329448
20170620,2050608.799999999813735,2056182.449999999720603,2054554.359999999869615,2065010.590000000083819,1993873.459999999962747,10220229.660000000149012
20170621,2041236.800000000046566,2051645.149999999674037,2049282.300000000046566,2083601.139999999897555,1997253.620000000111759,10223019.009999999776483
20170622,2038893.799999999813735,2065924.300000000046566,2040801.159999999916181,2101403.000000000000000,1984789.280000000027940,10231811.539999999105930
20170623,2035145.000000000000000,2063789.099999999627471,2049740.739999999990687,2087319.250000000000000,2019224.660000000149012,10255218.750000000000000
20170626,2044048.399999999906868,2054714.500000000000000,2048365.419999999925494,2085854.540000000037253,2011619.300000000046566,10244602.160000000149012
20170627,2063026.699999999953434,2051511.699999999720603,2031173.919999999925494,2079995.699999999953434,2004858.980000000214204,10230567.000000000000000
20170628,2104497.799999999813735,2059251.800000000046566,2025672.640000000130385,2092389.399999999906868,2032956.560000000055879,10314768.200000001117587
20170629,2135659.700000000186265,2043638.149999999674037,1994040.279999999795109,2087544.590000000083819,1994718.500000000000000,10255601.219999998807907
20170630,2141517.200000000186265,2044038.499999999767169,1997707.800000000046566,2089234.639999999897555,1981197.860000000102445,10253696.000000000000000
20170703,2173147.700000000186265,2035230.799999999813735,2011231.779999999795109,2103093.050000000279397,1972113.679999999934807,10294817.009999999776483
20170705,2194937.600000000558794,2042837.449999999720603,2009627.239999999990687,2121120.250000000000000,1986056.840000000083819,10354579.380000000819564
20170706,2187908.599999999627471,2043104.349999999860302,2002750.640000000130385,2106360.479999999981374,1970001.080000000074506,10310125.150000000372529
20170707,2198920.700000000186265,2085541.449999999953434,2009168.800000000046566,2117852.820000000298023,1984155.500000000000000,10395639.269999999552965
20170710,2183456.899999999441206,2075532.699999999953434,1996332.479999999981374,2106473.149999999906868,2008872.920000000158325,10370668.150000000372529
20170711,2175022.099999999627471,2067392.249999999767169,1988997.439999999944121,2095206.149999999906868,2015633.239999999990687,10342251.179999999701977
20170712,2167524.500000000000000,2089678.399999999906868,1993352.619999999878928,2103543.729999999981374,2031900.260000000242144,10385999.509999999776483
20170713,2181348.200000000186265,2069127.099999999627471,1987392.900000000139698,2089910.659999999916181,2026830.020000000018626,10354608.880000000819564
20170714,2161432.700000000186265,2072329.899999999906868,1996561.699999999953434,2105909.800000000279397,2047744.760000000242144,10383978.859999999403954
20170717,2141282.900000000372529,2072062.999999999767169,2006876.599999999860302,2099712.949999999720603,2045632.160000000149012,10365567.609999999403954
20170718,2133785.299999999813735,2054714.500000000000000,2031861.580000000074506,2105346.449999999720603,2061476.660000000149012,10387184.490000000223517
20170719,2136831.200000000186265,2053780.349999999627471,2025214.199999999953434,2131711.229999999981374,2075631.080000000074506,10423168.060000000521541
20170720,2136831.200000000186265,2058050.750000000000000,2030944.699999999953434,2157738.000000000000000,2072673.440000000176951,10456238.089999999850988
20170721,2129567.900000000372529,2054180.699999999720603,2031173.919999999925494,2160892.760000000242144,2104151.180000000167638,10479966.459999999031425
20170724,2138705.599999999627471,2026556.549999999813735,2021317.460000000195578,2150865.129999999888241,2120418.200000000186265,10457862.939999999478459
20170725,2174319.200000000186265,2122907.449999999720603,2043322.580000000074506,2145344.300000000279397,2112390.319999999832362,10598283.850000001490116
20170726,2153935.100000000558794,2088744.249999999767169,2046990.099999999860302,2149287.750000000000000,2130558.680000000167638,10569515.879999998956919
20170727,2145031.700000000186265,2094616.049999999580905,2078622.460000000195578,2128781.810000000055879,2103517.399999999906868,10550569.419999999925494
20170728,2138705.599999999627471,2079936.549999999813735,2067849.119999999878928,2153794.550000000279397,2094644.480000000214204,10534930.300000000745058
20170731,2150889.200000000186265,2070461.599999999627471,2081831.539999999804422,2161230.770000000018626,2103306.140000000130385,10567719.250000000000000
20170801,2179708.099999999627471,2055782.099999999627471,2088249.699999999953434,2165962.909999999683350,2130981.200000000186265,10620684.009999997913837
20170802,2181582.500000000000000,2089811.849999999860302,2086874.380000000121072,2174638.500000000000000,2139642.859999999869615,10672550.089999999850988
20170803,2167290.200000000186265,2064856.699999999720603,2082748.419999999925494,2194581.090000000316650,2125065.919999999925494,10634542.330000000074506
20170804,2194469.000000000000000,2052846.199999999720603,2078393.239999999990687,2195820.459999999962747,2131403.720000000204891,10652932.619999999180436
20170807,2202903.799999999813735,2068192.949999999720603,2096043.179999999934807,2194693.760000000242144,2144079.319999999832362,10705913.009999999776483
20170808,2194937.600000000558794,2067525.699999999720603,2099252.259999999776483,2196045.800000000279397,2139642.859999999869615,10697404.220000000670552
20170809,2191423.099999999627471,2067525.699999999720603,2107045.740000000223517,2195257.110000000335276,2133093.800000000279397,10694345.449999999254942
20170810,2160026.899999999441206,2090212.199999999953434,2102919.779999999795109,2169793.689999999944121,2101827.319999999832362,10624779.889999998733401
