訓練日期,20141009 - 20150112
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12077994.109999999403954
真實報酬,2077994.109999999403954

夏普值報酬,0.199099411000000
夏普值風險,0.064295325231125
夏普值,3.096638990226568

預期報酬,34900.155026423941308
風險,178599.204761741013499
趨勢值,0.195410472700493
找到最佳解世代,2107
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
UNH[23](2),WBA[27](1),
Stock#,UNH[23](2),WBA[27](1),
張數,57723,81353,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,33.739999999292195,44.620000000111759,
20141009,4903025.359999999403954,5007321.769999999552965,9910347.129999998956919
20141010,4929000.709999999031425,5124470.089999999850988,10053470.799999998882413
20141013,4845879.589999999850988,4937358.189999999478459,9783237.779999999329448
20141014,4780652.599999998696148,4937358.189999999478459,9718010.789999999105930
20141015,4742555.419999998994172,4958509.970000000670552,9701065.390000000596046
20141016,4929000.709999999031425,4912952.290000000037253,9841953.000000000000000
20141017,5090047.879999999888241,4903189.930000000633299,9993237.810000000521541
20141020,5110828.159999999217689,4897495.220000000670552,10008323.379999998956919
20141021,5249940.589999999850988,5007321.769999999552965,10257262.359999999403954
20141022,5181827.449999999254942,5003254.120000000111759,10185081.570000000298023
20141023,5233200.919999998994172,5049625.330000000074506,10282826.250000000000000
20141024,5289769.459999999031425,5096810.070000000298023,10386579.529999999329448
20141027,5318053.729999998584390,5134232.450000000186265,10452286.179999999701977
20141028,5347492.459999999031425,5182230.720000000670552,10529723.179999999701977
20141029,5365963.819999999366701,5111453.610000000335276,10477417.429999999701977
20141030,5419068.979999998584390,5122029.500000000000000,10541098.479999998584390
20141031,5484295.969999999739230,5224534.280000000260770,10708830.250000000000000
20141103,5475637.519999999552965,5286362.560000000521541,10762000.080000000074506
20141104,5482564.279999999329448,5307514.339999999850988,10790078.619999999180436
20141105,5529897.139999998733401,5341682.599999999627471,10871579.739999998360872
20141106,5553563.569999999366701,5422222.070000000298023,10975785.640000000596046
20141107,5403483.769999999552965,5444187.379999999888241,10847671.149999998509884
20141110,5469287.989999999292195,5514150.959999999962747,10983438.949999999254942
20141111,5523547.609999999403954,5491372.120000000111759,11014919.730000000447035
20141112,5522970.379999999888241,5486490.939999999478459,11009461.320000000298023
20141113,5535669.439999999478459,5447441.500000000000000,10983110.939999999478459
20141114,5490068.269999999552965,5445000.910000001080334,10935069.179999999701977
20141117,5568571.549999998882413,5414086.769999999552965,10982658.319999998435378
20141118,5667855.109999999403954,5536929.800000000745058,11204784.910000000149012
20141119,5591083.519999999552965,5514964.490000000223517,11106048.009999999776483
20141120,5590506.289999999105930,5478355.640000000596046,11068861.929999999701977
20141121,5582425.069999999366701,5498693.890000000596046,11081118.960000000894070
20141124,5593392.439999999478459,5510083.310000000521541,11103475.750000000000000
20141125,5651115.439999999478459,5516591.550000000745058,11167706.990000000223517
20141126,5663237.269999999552965,5570284.530000000260770,11233521.800000000745058
20141128,5693253.229999998584390,5581673.950000000186265,11274927.179999999701977
20141201,5718074.119999999180436,5513337.429999999701977,11231411.549999998882413
20141202,5762520.829999999143183,5430357.370000000111759,11192878.199999999254942
20141203,5818512.139999998733401,5481609.759999999776483,11300121.899999998509884
20141204,5753285.149999999441206,5523913.320000000298023,11277198.469999998807907
20141205,5791382.329999999143183,5580860.419999999925494,11372242.750000000000000
20141208,5767715.899999999441206,5510083.310000000521541,11277799.210000000894070
20141209,5831211.199999999254942,5580046.890000000596046,11411258.089999999850988
20141210,5719805.809999999590218,5544251.570000000298023,11264057.379999998956919
20141211,5756748.529999999329448,5939627.150000000372529,11696375.679999999701977
20141212,5700757.219999999739230,6060843.120000000111759,11761600.339999999850988
20141215,5672472.949999999254942,5974608.939999999478459,11647081.889999998733401
20141216,5532783.289999999105930,5889188.290000000037253,11421971.579999998211861
20141217,5722691.959999999031425,5856647.089999999850988,11579339.049999998882413
20141218,5901633.259999998845160,6051080.759999999776483,11952714.019999999552965
20141219,5916064.009999998845160,5957524.810000000521541,11873588.820000000298023
20141222,5947811.659999999217689,6042131.929999999701977,11989943.589999999850988
20141223,5936844.289999999105930,6224362.650000000372529,12161206.939999999478459
20141224,5927031.379999999888241,6237379.129999999888241,12164410.509999999776483
20141226,5919527.389999998733401,6220295.000000000000000,12139822.389999998733401
20141229,5906828.329999999143183,6247141.490000000223517,12153969.820000000298023
20141230,5936844.289999999105930,6186940.269999999552965,12123784.559999998658895
20141231,5835251.809999999590218,6199143.220000000670552,12034395.030000001192093
20150102,5817357.679999999701977,6182872.620000000111759,12000230.300000000745058
20150105,5721537.500000000000000,6060843.120000000111759,11782380.620000001043081
20150106,5709992.899999999441206,6076300.189999999478459,11786293.089999999850988
20150107,5768293.129999999888241,6231684.419999999925494,11999977.550000000745058
20150108,6043631.839999999850988,6308969.769999999552965,12352601.609999999403954
20150109,5987063.299999998882413,6156026.129999999888241,12143089.429999999701977
20150112,5919527.389999998733401,6158466.720000000670552,12077994.109999999403954
