訓練日期,20150302 - 20150602
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10677469.240000000223517
真實報酬,677469.240000000223517

夏普值報酬,0.059046924000000
夏普值風險,0.023541101417662
夏普值,2.508248146609622

預期報酬,10912.105095393157171
風險,91034.298362559129600
趨勢值,0.119868063923928
找到最佳解世代,3017
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](1),GS[8](3),NKE[19](2),
Stock#,DIS[6](1),GS[8](3),NKE[19](2),
張數,32026,17563,68643,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,66.919999999925494,51.229999999981374,28.919999999925494,
20150302,3391300.060000000055879,3368459.000000000000000,3389620.260000000242144,10149380.320000000298023
20150303,3406032.019999999552965,3359326.240000000223517,3362849.490000000223517,10128208.750000000000000
20150304,3381051.739999999757856,3331225.439999999944121,3347061.599999999627471,10059339.779999999329448
20150305,3363757.700000000186265,3338426.270000000018626,3379323.809999999590218,10081508.780000001192093
20150306,3325006.239999999757856,3282751.560000000055879,3326468.700000000186265,9934227.500000000000000
20150309,3371123.680000000167638,3300665.820000000298023,3344315.879999999888241,10016106.379999998956919
20150310,3301627.260000000242144,3208986.959999999962747,3312740.099999999627471,9823355.320000000298023
20150311,3295222.060000000055879,3234804.570000000298023,3272240.729999999981374,9802268.360000001266599
20150312,3432293.339999999850988,3336143.079999999608845,3330587.280000000260770,10099024.699999999254942
20150313,3408914.359999999869615,3325429.649999999906868,3288715.049999999813735,10023060.059999998658895
20150316,3438698.540000000037253,3370390.930000000167638,3309994.379999999888241,10119084.850000001490116
20150317,3425567.879999999888241,3347032.139999999664724,3313426.530000000260770,10086027.550000000745058
20150318,3457914.139999999664724,3377767.389999999664724,3347061.599999999627471,10182744.129999998956919
20150319,3438698.540000000037253,3336494.339999999850988,3374518.799999999813735,10149712.679999999701977
