訓練日期,20141003 - 20150106
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12074829.079999998211861
真實報酬,2074829.079999998211861

夏普值報酬,0.198782908000000
夏普值風險,0.066038796044699
夏普值,3.010092853077629

預期報酬,38199.143882987220422
風險,172465.355711242591497
趨勢值,0.221488795389978
找到最佳解世代,2194
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
UNH[23](2),WBA[27](1),
Stock#,UNH[23](2),WBA[27](1),
張數,58892,83668,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,69.199999999254942,0.320000000298023,
20141003,5065959.039999999105930,5084504.680000000633299,10150463.719999998807907
20141006,5011189.479999999515712,5074464.520000000484288,10085654.000000000000000
20141007,4958186.679999998770654,5006693.440000000409782,9964880.119999999180436
20141008,5101294.239999999292195,5142235.600000000558794,10243529.839999999850988
20141009,5002355.679999998770654,5149765.719999999739230,10152121.399999998509884
20141010,5028857.079999999143183,5270247.640000000596046,10299104.719999998807907
20141013,4944052.599999999627471,5077811.240000000223517,10021863.839999999850988
20141014,4877504.639999998733401,5077811.240000000223517,9955315.879999998956919
20141015,4838635.919999998994172,5099564.920000000856817,9938200.839999999850988
20141016,5028857.079999999143183,5052710.840000000782311,10081567.919999999925494
20141017,5193165.759999999776483,5042670.680000000633299,10235836.440000001341105
20141020,5214366.879999999888241,5036813.920000000856817,10251180.800000000745058
20141021,5356296.599999999627471,5149765.719999999739230,10506062.320000000298023
20141022,5286804.039999999105930,5145582.320000000298023,10432386.359999999403954
20141023,5339217.919999998994172,5193273.080000000074506,10532491.000000000000000
20141024,5396932.079999999143183,5241800.520000000484288,10638732.599999999627471
20141027,5425789.159999999217689,5280287.799999999813735,10706076.959999999031425
20141028,5455824.079999999143183,5329651.920000000856817,10785476.000000000000000
20141029,5474669.519999998621643,5256860.759999999776483,10731530.279999997466803
20141030,5528850.159999999217689,5267737.600000000558794,10796587.759999999776483
20141031,5595398.119999999180436,5373159.280000000260770,10968557.399999998509884
20141103,5586564.319999999366701,5436746.960000000894070,11023311.280000001192093
20141104,5593631.359999999403954,5458500.639999999664724,11052132.000000000000000
20141105,5641922.799999998882413,5493641.200000000186265,11135564.000000000000000
20141106,5666068.519999998621643,5576472.520000000484288,11242541.039999999105930
20141107,5512949.319999999366701,5599062.880000000819564,11112012.199999999254942
20141110,5580086.199999999254942,5671017.360000000335276,11251103.559999998658895
20141111,5635444.679999998770654,5647590.320000000298023,11283035.000000000000000
20141112,5634855.759999999776483,5642570.240000000223517,11277426.000000000000000
20141113,5647812.000000000000000,5602409.599999999627471,11250221.599999999627471
20141114,5601287.319999999366701,5599899.560000000521541,11201186.879999998956919
20141117,5681380.439999999478459,5568105.719999999739230,11249486.160000000149012
20141118,5782674.679999998770654,5694444.400000000372529,11477119.079999998211861
20141119,5704348.319999999366701,5671854.040000000968575,11376202.359999999403954
20141120,5703759.399999998509884,5634203.440000000409782,11337962.839999999850988
20141121,5695514.519999998621643,5655120.440000000409782,11350634.959999999031425
20141124,5706704.000000000000000,5666833.960000000894070,11373537.960000000894070
20141125,5765596.000000000000000,5673527.400000000372529,11439123.400000000372529
20141126,5777963.319999999366701,5728748.280000000260770,11506711.599999999627471
20141128,5808587.159999999217689,5740461.799999999813735,11549048.959999999031425
20141201,5833910.719999999739230,5670180.679999999701977,11504091.399999998509884
20141202,5879257.559999999590218,5584839.320000000298023,11464096.879999998956919
20141203,5936382.799999998882413,5637550.160000000149012,11573932.959999999031425
20141204,5869834.839999998919666,5681057.520000000484288,11550892.359999999403954
20141205,5908703.559999999590218,5739625.120000000111759,11648328.679999999701977
20141208,5884557.839999998919666,5666833.960000000894070,11551391.800000000745058
20141209,5949339.039999999105930,5738788.440000000409782,11688127.480000000447035
20141210,5835677.479999999515712,5701974.520000000484288,11537652.000000000000000
20141211,5873368.359999999403954,6108601.000000000931323,11981969.359999999403954
20141212,5816243.119999999180436,6233266.320000000298023,12049509.439999999478459
20141215,5787386.039999999105930,6144578.240000000223517,11931964.279999999329448
20141216,5644867.399999998509884,6056726.840000000782311,11701594.239999998360872
20141217,5838622.079999999143183,6023259.639999999664724,11861881.719999998807907
20141218,6021187.279999999329448,6223226.160000000149012,12244413.439999999478459
20141219,6035910.279999999329448,6127007.960000000894070,12162918.240000000223517
20141222,6068300.879999999888241,6214022.679999999701977,12282323.559999998658895
20141223,6057111.399999998509884,6401439.000000000931323,12458550.399999998509884
20141224,6047099.759999999776483,6414825.880000000819564,12461925.640000000596046
20141226,6039443.799999998882413,6397255.599999999627471,12436699.399999998509884
20141229,6026487.559999999590218,6424866.040000000968575,12451353.600000001490116
20141230,6057111.399999998509884,6362951.719999999739230,12420063.119999997317791
20141231,5953461.479999999515712,6375501.920000000856817,12328963.400000000372529
20150102,5935204.959999999031425,6358768.320000000298023,12293973.279999999329448
20150105,5837444.239999999292195,6233266.320000000298023,12070710.559999998658895
20150106,5825665.839999998919666,6249163.240000000223517,12074829.079999998211861
