訓練日期,20110307 - 20110607
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10865930.719999998807907
真實報酬,865930.719999998807907

夏普值報酬,0.077893072000000
夏普值風險,0.037003653554206
夏普值,2.105010303533839

預期報酬,19144.830711685259303
風險,140767.408197306795046
趨勢值,0.136003290512040
找到最佳解世代,1914
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AXP[1](1),PFE[20](2),
Stock#,AXP[1](1),PFE[20](2),
張數,114364,254323,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,5.919999999925494,9.820000000298023,
20110307,4998856.360000000335276,4987283.850000000558794,9986140.210000000894070
20110308,5173833.280000000260770,5005086.459999999962747,10178919.740000000223517
20110309,5152104.119999999180436,5000000.000000000000000,10152104.119999999180436
20110310,5034309.200000000186265,4923703.100000000558794,9958012.300000000745058
20110311,5064043.839999999850988,4951678.629999999888241,10015722.469999998807907
20110314,5021729.159999999217689,5038148.450000000186265,10059877.609999999403954
20110315,4990850.879999999888241,5025432.300000000745058,10016283.179999999701977
20110316,4844464.959999999962747,4908443.720000000670552,9752908.679999999701977
20110317,4965690.799999999813735,5055951.059999999590218,10021641.859999999403954
20110318,5051463.799999999813735,5132247.959999999962747,10183711.759999999776483
20110321,5068618.400000000372529,5081383.360000000335276,10150001.760000001639128
20110322,5117794.919999999925494,5071210.440000000409782,10189005.359999999403954
20110323,5148673.200000000186265,5066123.980000000447035,10214797.179999999701977
20110324,5213860.680000000633299,5162766.720000000670552,10376627.400000002235174
20110325,5213860.680000000633299,5175482.870000001043081,10389343.550000000745058
20110328,5228728.000000000000000,5155137.030000000260770,10383865.030000001192093
20110329,5220722.519999999552965,5183112.559999999590218,10403835.079999998211861
20110330,5250457.159999999217689,5172939.640000000596046,10423396.800000000745058
20110331,5169258.720000000670552,5165309.950000000186265,10334568.670000001788139
20110401,5187556.959999999962747,5183112.559999999590218,10370669.519999999552965
20110404,5194418.799999999813735,5223804.240000000223517,10418223.039999999105930
20110405,5194418.799999999813735,5200915.169999999925494,10395333.969999998807907
20110406,5292771.839999999850988,5160223.490000000223517,10452995.330000000074506
20110407,5279048.159999999217689,5170396.410000000149012,10449444.570000000298023
20110408,5292771.839999999850988,5203458.400000000372529,10496230.240000000223517
20110411,5304208.240000000223517,5256866.230000000447035,10561074.470000000670552
20110412,5263037.200000000186265,5203458.400000000372529,10466495.600000001490116
20110413,5272186.320000000298023,5203458.400000000372529,10475644.720000000670552
20110414,5247026.240000000223517,5211088.089999999850988,10458114.330000000074506
20110415,5289340.919999999925494,5221261.010000000707805,10510601.929999999701977
20110418,5267611.759999999776483,5188199.019999999552965,10455810.779999999329448
20110419,5333942.879999999888241,5221261.010000000707805,10555203.890000000596046
20110420,5375113.919999999925494,5185655.790000000037253,10560769.710000000894070
20110421,5387693.959999999962747,5033061.990000000223517,10420755.949999999254942
20110425,5380832.119999999180436,5122075.040000000037253,10502907.160000000149012
20110426,5386550.320000000298023,5134791.190000000409782,10521341.510000001639128
20110427,5446019.599999999627471,5246693.309999999590218,10692712.910000000149012
20110428,5548947.200000000186265,5297557.910000000149012,10846505.109999999403954
20110429,5612991.040000000037253,5333163.129999999888241,10946154.169999999925494
20110502,5678178.519999999552965,5345879.280000000260770,11024057.800000000745058
20110503,5706769.519999999552965,5198371.940000000409782,10905141.460000000894070
20110504,5683896.720000000670552,5249236.540000000037253,10933133.260000001639128
20110505,5663311.200000000186265,5185655.790000000037253,10848966.990000000223517
20110506,5741078.720000000670552,5226347.470000000670552,10967426.190000001341105
20110509,5739935.080000000074506,5239063.620000001043081,10978998.700000001117587
20110510,5737647.799999999813735,5305187.600000000558794,11042835.400000000372529
20110511,5698764.040000000037253,5241606.850000000558794,10940370.890000000596046
20110512,5665598.479999999515712,5312817.290000000037253,10978415.769999999552965
20110513,5659880.280000000260770,5320446.980000000447035,10980327.260000001639128
20110516,5726211.400000000372529,5335706.360000000335276,11061917.760000001639128
20110517,5805122.559999999590218,5376398.040000000037253,11181520.599999999627471
20110518,5839431.759999999776483,5386570.959999999962747,11226002.719999998807907
20110519,5926348.400000000372529,5348422.510000000707805,11274770.910000000149012
20110520,5854299.080000000074506,5261952.690000000409782,11116251.769999999552965
20110523,5846293.599999999627471,5236520.390000000596046,11082813.990000000223517
20110524,5782249.759999999776483,5218717.780000000260770,11000967.539999999105930
20110525,5765095.159999999217689,5284841.760000000707805,11049936.919999999925494
20110526,5795973.439999999478459,5315360.519999999552965,11111333.959999999031425
20110527,5847437.240000000223517,5322990.209999999962747,11170427.449999999254942
20110531,5901188.320000000298023,5455238.169999999925494,11356426.490000000223517
20110601,5707913.159999999217689,5353508.970000000670552,11061422.129999998956919
20110602,5728498.680000000633299,5340792.820000000298023,11069291.500000000000000
20110603,5635863.839999999850988,5300101.140000000596046,10935964.980000000447035
20110606,5578681.839999999850988,5274668.839999999850988,10853350.679999999701977
20110607,5591261.879999999888241,5274668.839999999850988,10865930.719999998807907
