訓練日期,20170926 - 20171227
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11522051.079999998211861
真實報酬,1522051.079999998211861

夏普值報酬,0.143505108000000
夏普值風險,0.042192310585532
夏普值,3.401214723926704

預期報酬,23930.253520418526023
風險,41894.751669564124313
趨勢值,0.571199316543592
找到最佳解世代,1896
找到最佳解實驗#,3
找到最佳解次數,11

stock[index](rank)
投資組合檔數,9
AAPL[0](8),CAT[3](2),CSCO[4](17),DIS[6](20),HD[9](13),MCD[15](4),TRV[22](11),V[25](10),WMT[28](1),
Stock#,AAPL[0](8),CAT[3](2),CSCO[4](17),DIS[6](20),HD[9](13),MCD[15](4),TRV[22](11),V[25](10),WMT[28](1),
張數,7380,8937,32951,11159,6897,7110,9057,10785,14038,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,52.000000000000000,63.160000000149012,3.280000000027940,9.370000000111759,4.300000000046566,102.400000000139698,88.810000000055879,40.300000000046566,3.299999999813735,
20170926,1130225.199999999953434,1112809.030000000260770,1112429.040000000037253,1100621.540000000037253,1112214.520000000018626,1090420.900000000139698,1110205.300000000046566,1110248.199999999953434,1114480.119999999878928,9993654.849999999627471
20170927,1138269.399999999906868,1112898.400000000139698,1103202.760000000009313,1107428.530000000027940,1109869.540000000037253,1095397.900000000139698,1110386.440000000176951,1120493.949999999953434,1113076.319999999832362,10011024.240000000223517
20170928,1131258.399999999906868,1119243.670000000158325,1098919.130000000121072,1094149.320000000065193,1119801.220000000204891,1119856.300000000279397,1112288.409999999916181,1127935.600000000093132,1108303.399999999906868,10031756.450000001117587
20170929,1137457.600000000093132,1114596.430000000167638,1108145.410000000149012,1099952.000000000000000,1128077.620000000111759,1114097.200000000186265,1109752.449999999953434,1127935.600000000093132,1096932.619999999878928,10036947.929999999701977
20171002,1135169.800000000046566,1114685.800000000046566,1112099.530000000027940,1114347.110000000102445,1131250.240000000223517,1116088.000000000232831,1116998.050000000046566,1137210.699999999953434,1101284.399999999906868,10079134.630000000819564
20171003,1140114.399999999906868,1121746.030000000260770,1115394.630000000121072,1124724.980000000214204,1139181.790000000037253,1115377.000000000232831,1120439.710000000195578,1138828.450000000186265,1112093.659999999683350,10127901.650000002235174
20171004,1132734.399999999906868,1132738.540000000037253,1101884.719999999972060,1122046.820000000065193,1140009.429999999934807,1117865.500000000232831,1122251.110000000102445,1135808.650000000139698,1110268.719999999972060,10115608.890000000596046
20171005,1146830.199999999953434,1129699.960000000195578,1106827.370000000111759,1117136.860000000102445,1145733.940000000176951,1129170.400000000139698,1127141.890000000130385,1145838.699999999953434,1114760.879999999655411,10163141.199999999254942
20171006,1146166.000000000000000,1134436.570000000298023,1112099.530000000027940,1116690.500000000000000,1143871.750000000000000,1134858.400000000139698,1132847.800000000046566,1151123.350000000093132,1109005.299999999813735,10181100.199999999254942
20171009,1150151.199999999953434,1133989.720000000204891,1112429.040000000037253,1111111.000000000000000,1142906.170000000158325,1138555.600000000093132,1131760.960000000195578,1154143.150000000139698,1130483.439999999944121,10205531.279999999329448
20171010,1150594.000000000000000,1145697.190000000176951,1105509.329999999841675,1111222.590000000083819,1139112.820000000065193,1141826.200000000186265,1140727.390000000130385,1157378.650000000139698,1181020.239999999757856,10273089.410000002011657
20171011,1155391.000000000000000,1149361.360000000102445,1106827.370000000111759,1099728.820000000065193,1139733.550000000046566,1160098.900000000139698,1137738.580000000074506,1169565.699999999953434,1203481.039999999804422,10321927.320000000298023
20171012,1151332.000000000000000,1161783.790000000270084,1095953.540000000037253,1081651.240000000223517,1135181.530000000027940,1165502.500000000000000,1140817.960000000195578,1166006.650000000139698,1208675.099999999627471,10306905.310000000521541
20171013,1158638.199999999953434,1168218.430000000167638,1102873.250000000000000,1086672.790000000037253,1134353.890000000130385,1175883.100000000093132,1147339.000000000000000,1171938.399999999906868,1215974.859999999869615,10361892.919999999925494
20171016,1179966.399999999906868,1175010.550000000046566,1105179.820000000065193,1095042.040000000037253,1132629.640000000130385,1173323.500000000000000,1166811.550000000046566,1168055.800000000046566,1203621.419999999692664,10399641.720000000670552
20171017,1184320.600000000093132,1166699.140000000130385,1107156.880000000121072,1097608.610000000102445,1126629.250000000000000,1176096.400000000139698,1165271.860000000102445,1159859.200000000186265,1206990.539999999804422,10390633.480000000447035
