訓練日期,20100107 - 20100412
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11001603.040000000968575
真實報酬,1001603.040000000968575

夏普值報酬,0.091460304000000
夏普值風險,0.030484215878033
夏普值,3.000251158367733

預期報酬,19400.734008861374605
風險,112074.753458917170065
趨勢值,0.173105301685745
找到最佳解世代,2184
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),TRV[22](2),
Stock#,MCD[15](1),TRV[22](2),
張數,81366,104297,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,59.299999999813735,1.820000000298023,
20100107,5036614.699999999254942,5071964.930000000633299,10108579.629999998956919
20100108,5031732.740000000223517,5064664.140000000596046,10096396.880000000819564
20100111,5070788.419999999925494,5062578.200000000186265,10133366.620000001043081
20100112,5098452.859999999403954,5094910.270000000484288,10193363.129999998956919
20100113,5092757.240000000223517,5112640.760000000707805,10205398.000000000000000
20100114,5097639.199999999254942,5139757.980000000447035,10237397.179999999701977
20100115,5067533.780000000260770,5088652.450000000186265,10156186.230000000447035
20100119,5165172.979999999515712,5155402.530000000260770,10320575.509999999776483
20100120,5126930.959999999962747,5103254.030000000260770,10230184.990000000223517
20100121,5142390.500000000000000,5105339.970000000670552,10247730.470000000670552
20100122,5157850.040000000037253,5038589.890000000596046,10196439.929999999701977
20100125,5133440.240000000223517,5099082.150000000372529,10232522.390000000596046
20100126,5192023.759999999776483,5238840.129999999888241,10430863.890000000596046
20100127,5185514.479999999515712,5308719.120000000111759,10494233.599999999627471
20100128,5112285.080000000074506,5243012.010000000707805,10355297.089999999850988
20100129,5079738.679999999701977,5284730.810000000521541,10364469.490000000223517
20100201,5198533.040000000037253,5286816.750000000000000,10485349.789999999105930
20100202,5209924.280000000260770,5328535.550000000745058,10538459.830000001937151
20100203,5305936.159999999217689,5274301.110000000335276,10580237.269999999552965
20100204,5212365.259999999776483,5186691.629999999888241,10399056.890000000596046
20100205,5156222.719999999739230,5244054.980000000447035,10400277.699999999254942
20100208,5119608.019999999552965,5115769.669999999925494,10235377.689999999478459
20100209,5172495.919999999925494,5170004.110000000335276,10342500.030000001192093
20100210,5146458.799999999813735,5182519.750000000000000,10328978.550000000745058
20100211,5190396.439999999478459,5235711.220000000670552,10426107.660000000149012
20100212,5174123.240000000223517,5261785.470000000670552,10435908.710000000894070
20100216,5208296.959999999962747,5382769.990000000223517,10591066.949999999254942
20100217,5228638.459999999962747,5397371.570000000298023,10626010.030000001192093
20100218,5246538.980000000447035,5500625.600000000558794,10747164.580000001937151
20100219,5267694.139999999664724,5515227.180000000633299,10782921.320000000298023
20100222,5270135.119999999180436,5531914.700000000186265,10802049.820000000298023
20100223,5278271.719999999739230,5460992.740000000223517,10739264.460000000894070
20100224,5310004.459999999962747,5505840.450000000186265,10815844.910000000149012
20100225,5238402.379999999888241,5501668.570000000298023,10740070.949999999254942
20100226,5195278.400000000372529,5484981.050000000745058,10680259.450000001117587
20100301,5205855.979999999515712,5536086.580000000074506,10741942.559999998658895
20100302,5213178.919999998994172,5557988.950000000186265,10771167.869999999180436
20100303,5177377.879999999888241,5540258.459999999962747,10717636.339999999850988
20100304,5161104.679999999701977,5585106.169999999925494,10746210.849999999627471
20100305,5180632.519999999552965,5625782.000000000000000,10806414.519999999552965
20100308,5298613.219999999739230,5611180.419999999925494,10909793.640000000596046
20100309,5296985.899999999441206,5587192.110000000335276,10884178.009999999776483
20100310,5283967.339999999850988,5516270.150000000372529,10800237.490000000223517
20100311,5305936.159999999217689,5592406.959999999962747,10898343.119999999180436
20100312,5331973.280000000260770,5544430.339999999850988,10876403.620000001043081
20100315,5364519.680000000633299,5499582.629999999888241,10864102.310000000521541
20100316,5375910.919999998994172,5512098.270000000484288,10888009.189999999478459
20100317,5401134.379999999888241,5526699.850000000558794,10927834.230000000447035
20100318,5425544.180000000633299,5567375.680000000633299,10992919.860000001266599
20100319,5413339.280000000260770,5575719.440000000409782,10989058.720000000670552
20100322,5452394.959999999962747,5568418.650000000372529,11020813.609999999403954
20100323,5480059.399999999441206,5621610.120000000111759,11101669.519999999552965
20100324,5435308.099999999627471,5638297.640000000596046,11073605.740000000223517
20100325,5443444.700000000186265,5640383.580000000074506,11083828.280000001192093
20100326,5472736.459999999962747,5668543.770000000484288,11141280.230000000447035
20100329,5457276.919999998994172,5711305.540000000037253,11168582.459999999031425
20100330,5471109.139999999664724,5624739.030000000260770,11095848.169999999925494
20100331,5428798.819999999366701,5625782.000000000000000,11054580.820000000298023
20100401,5498773.580000000074506,5623696.060000000521541,11122469.640000000596046
20100405,5535388.280000000260770,5562160.830000000074506,11097549.109999999403954
20100406,5517487.759999999776483,5484981.050000000745058,11002468.810000000521541
20100407,5508537.500000000000000,5475594.320000000298023,10984131.820000000298023
20100408,5594785.459999999962747,5450563.040000000037253,11045348.500000000000000
20100409,5588276.180000000633299,5465164.620000000111759,11053440.800000000745058
20100412,5576071.280000000260770,5425531.760000000707805,11001603.040000000968575
