訓練日期,20161202 - 20170308
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11703006.820000002160668
真實報酬,1703006.820000002160668

夏普值報酬,0.161600682000000
夏普值風險,0.045807581689014
夏普值,3.527815179091997

預期報酬,27046.363102119266841
風險,99239.216089622015716
趨勢值,0.272537049040109
找到最佳解世代,1903
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](2),AXP[1](3),BA[2](9),DIS[6](8),V[25](1),
Stock#,AAPL[0](2),AXP[1](3),BA[2](9),DIS[6](8),V[25](1),
張數,18266,27574,13124,20214,26514,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,55.660000000149012,57.780000000027940,33.640000000130385,26.840000000083819,48.979999999748543,
20161202,2007489.060000000288710,1981525.419999999925494,1998162.640000000130385,1991105.840000000083819,2007689.059999999823049,9985972.020000001415610
20161205,1993058.920000000158325,1986213.000000000000000,1996981.479999999981374,2020618.280000000027940,2049846.319999999832362,10046718.000000000000000
20161206,2008402.360000000102445,1993933.720000000204891,1998031.400000000139698,2034768.080000000074506,2044543.519999999785796,10079679.080000000074506
20161207,2028129.640000000130385,2048530.240000000223517,2022967.000000000000000,2061652.699999999953434,2102874.319999999366701,10264153.900000000372529
20161208,2048039.580000000307336,2065626.119999999878928,2039372.000000000000000,2089750.159999999916181,2102078.899999999441206,10344866.759999999776483
20161209,2081466.360000000102445,2061765.760000000009313,2053808.400000000139698,2119666.879999999888241,2098366.939999999478459,10415074.339999999850988
20161212,2069593.460000000195578,2028952.699999999953434,2062601.479999999981374,2103495.679999999701977,2081397.979999999748543,10346041.300000000745058
20161213,2104116.200000000186265,2036121.940000000176951,2056039.479999999981374,2099250.740000000223517,2099957.780000000260770,10395486.140000000596046
20161214,2104116.200000000186265,2042463.959999999729916,2027297.920000000158325,2103293.540000000037253,2098101.799999999813735,10375273.419999999925494
20161215,2115623.779999999795109,2066453.339999999850988,2018111.120000000344589,2110166.299999999813735,2107911.979999999515712,10418266.519999999552965
20161216,2118363.680000000167638,2068107.780000000027940,2027691.640000000130385,2100463.580000000074506,2077420.879999999655411,10392047.559999998658895
20161219,2130601.900000000372529,2055699.479999999981374,2049739.960000000195578,2128561.040000000037253,2070792.379999999655411,10435394.759999999776483
20161220,2136264.360000000335276,2069762.220000000204891,2052496.000000000000000,2131795.280000000260770,2077686.019999999785796,10468003.879999998956919
20161221,2138273.620000000111759,2076931.459999999729916,2066801.159999999916181,2133816.679999999701977,2071852.939999999711290,10487675.859999999403954
20161222,2124208.800000000279397,2056526.699999999953434,2066538.680000000167638,2130986.719999999739230,2065489.579999999841675,10443750.479999998584390
20161223,2128409.979999999981374,2067280.560000000055879,2071132.080000000074506,2125528.940000000409782,2072118.079999999841675,10464469.640000000596046
20161227,2141926.820000000298023,2067556.300000000046566,2066801.159999999916181,2125933.219999999739230,2077420.879999999655411,10479638.379999998956919
20161228,2132793.820000000298023,2050736.160000000149012,2048690.040000000037253,2108347.040000000037253,2076095.179999999701977,10416662.240000000223517
20161229,2132245.840000000316650,2038327.860000000102445,2043309.200000000186265,2113602.679999999701977,2076890.599999999627471,10404376.179999999701977
20161230,2115623.779999999795109,2042739.699999999953434,2043177.960000000195578,2106729.919999999925494,2068671.259999999543652,10376942.619999999180436
20170103,2121651.560000000055879,2077758.679999999934807,2060107.920000000158325,2144327.959999999962747,2107911.979999999515712,10511758.100000001490116
20170104,2119276.979999999981374,2102851.020000000484288,2081762.520000000251457,2171819.000000000000000,2125146.080000000074506,10600855.599999999627471
20170105,2130053.919999999925494,2076931.459999999729916,2082943.680000000167638,2170606.160000000149012,2150069.240000000223517,10610604.460000000894070
20170106,2153799.720000000204891,2081067.560000000055879,2088062.040000000037253,2202948.560000000521541,2179764.919999999925494,10705642.800000000745058
20170109,2173527.000000000000000,2091821.419999999925494,2077825.320000000065193,2190415.879999999888241,2167568.479999999515712,10701158.100000001490116
20170110,2175718.919999999925494,2113604.879999999888241,2087668.320000000065193,2190820.160000000149012,2155902.319999999366701,10723714.600000001490116
20170111,2187409.160000000149012,2120774.120000000111759,2091999.240000000223517,2212247.000000000000000,2168894.179999999701977,10781323.699999999254942
20170112,2178276.160000000149012,2119946.899999999441206,2077431.600000000093132,2173638.259999999776483,2157493.160000000149012,10706786.080000000074506
20170113,2174440.300000000279397,2112777.660000000149012,2084518.560000000288710,2184351.679999999701977,2152190.359999999403954,10708278.560000000521541
20170117,2191975.660000000149012,2112226.179999999701977,2069294.719999999972060,2182532.419999999925494,2154576.620000000111759,10710605.600000001490116
20170118,2191793.000000000000000,2136767.040000000037253,2077825.320000000065193,2186373.080000000074506,2163326.240000000223517,10756084.680000001564622
20170119,2187957.140000000130385,2114707.839999999850988,2086749.640000000130385,2168584.759999999776483,2167038.200000000186265,10725037.580000001937151
20170120,2191975.660000000149012,2101196.580000000074506,2093705.360000000102445,2176266.080000000074506,2169954.740000000223517,10733098.419999999925494
20170123,2193436.939999999944121,2094854.560000000055879,2071525.800000000279397,2165350.520000000484288,2178174.080000000074506,10703341.900000000372529
20170124,2191427.680000000167638,2135112.600000000558794,2107091.840000000316650,2181117.440000000409782,2206809.200000000186265,10821558.760000001639128
20170125,2226315.740000000223517,2120222.639999999664724,2196466.280000000260770,2183947.400000000372529,2224573.580000000074506,10951525.640000000596046
20170126,2227411.700000000186265,2121325.600000000558794,2219564.520000000018626,2184351.679999999701977,2207074.339999999850988,10959727.839999999850988
20170127,2227594.360000000335276,2119119.679999999701977,2200928.439999999944121,2209417.040000000037253,2221126.759999999776483,10978186.279999999329448
20170130,2221749.240000000223517,2130976.500000000000000,2172974.319999999832362,2242568.000000000000000,2219270.780000000260770,10987538.839999999850988
20170131,2216634.760000000242144,2106159.899999999441206,2144757.719999999739230,2236705.940000000409782,2193021.919999999925494,10897280.240000000223517
20170201,2351803.160000000149012,2116638.020000000484288,2151975.919999999925494,2249845.040000000037253,2185863.139999999664724,11056125.280000001192093
20170202,2347784.640000000130385,2109744.520000000484288,2129533.879999999888241,2235897.379999999888241,2182151.179999999701977,11005111.599999999627471
20170203,2357830.940000000409782,2151932.740000000223517,2131371.240000000223517,2229631.040000000037253,2282374.099999999627471,11153140.060000000521541
20170206,2379932.799999999813735,2145866.459999999962747,2152107.160000000149012,2214874.820000000298023,2275745.599999999627471,11168526.839999999850988
20170207,2402582.640000000130385,2143109.059999999590218,2185179.640000000130385,2203352.839999999850988,2274419.899999999441206,11208644.079999998211861
20170208,2411898.299999999813735,2145314.979999999515712,2149876.080000000074506,2203352.839999999850988,2256125.240000000223517,11166567.439999999478459
20170209,2418839.379999999888241,2155793.100000000558794,2156044.360000000335276,2213257.700000000186265,2269117.099999999627471,11213051.640000000596046
20170210,2413359.580000000074506,2164065.299999999813735,2181636.160000000149012,2208608.480000000447035,2277601.580000000074506,11245271.099999999627471
20170213,2434730.799999999813735,2175922.120000000111759,2205259.360000000335276,2216491.940000000409782,2291919.139999999664724,11324323.359999999403954
20170214,2466330.980000000447035,2189709.120000000111759,2211427.640000000130385,2230237.459999999962747,2302789.879999999888241,11400495.079999998211861
20170215,2475281.319999999832362,2194948.179999999701977,2221926.840000000316650,2227205.360000000335276,2321084.540000000037253,11440446.239999998360872
20170216,2472358.760000000242144,2192466.520000000484288,2241744.080000000074506,2237918.780000000260770,2317637.719999999739230,11462125.859999999403954
20170217,2479117.180000000167638,2197981.320000000298023,2266679.680000000167638,2224779.679999999701977,2318963.419999999925494,11487521.279999999329448
20170221,2497017.859999999869615,2205150.559999999590218,2304083.080000000074506,2223768.980000000447035,2331159.859999999403954,11561180.339999999850988
20170222,2504506.920000000391155,2202117.419999999925494,2301458.280000000260770,2225992.520000000484288,2327978.179999999701977,11562053.320000000298023
20170223,2493912.640000000130385,2207356.479999999515712,2321144.280000000260770,2218109.060000000521541,2338053.500000000000000,11578575.960000000894070
20170224,2496287.220000000204891,2199360.020000000484288,2328756.200000000186265,2230035.320000000298023,2344682.000000000000000,11599120.760000001639128
20170227,2501219.040000000502914,2210665.360000000335276,2354872.960000000428408,2228216.060000000521541,2333280.979999999515712,11628254.400000002235174
20170228,2502315.000000000465661,2207632.219999999739230,2365372.160000000149012,2225386.100000000558794,2331690.139999999664724,11632395.620000001043081
20170301,2553459.799999999813735,2258919.860000000335276,2413668.479999999981374,2244589.400000000372529,2359529.839999999850988,11830167.380000000819564
20170302,2538299.020000000484288,2208735.179999999701977,2401594.400000000372529,2235493.100000000558794,2347333.399999999441206,11731455.100000001490116
20170303,2553277.140000000130385,2202668.899999999441206,2390963.960000000428408,2248632.200000000186265,2354227.040000000037253,11749769.239999998360872
20170306,2545240.100000000093132,2192190.780000000260770,2374558.960000000428408,2237110.219999999739230,2358204.139999999664724,11707304.200000002980232
20170307,2548527.980000000447035,2194396.700000000186265,2388864.120000000111759,2240950.879999999888241,2361385.819999999366701,11734125.500000000000000
20170308,2539029.660000000149012,2179506.740000000223517,2385189.400000000372529,2240546.600000000558794,2358734.419999999925494,11703006.820000002160668
