訓練日期,20100630 - 20100930
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11694937.830000001937151
真實報酬,1694937.830000001937151

夏普值報酬,0.160793783000000
夏普值風險,0.048573694772585
夏普值,3.310305789024578

預期報酬,27978.608259328462736
風險,113500.945476020890055
趨勢值,0.246505508319659
找到最佳解世代,1392
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](4),VZ[26](2),
Stock#,MCD[15](4),VZ[26](2),
張數,75233,186846,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,14.820000000298023,1.040000000037253,
20100630,4955612.530000000260770,4895366.240000000223517,9850978.769999999552965
20100701,5018808.250000000000000,4914050.839999999850988,9932859.089999999850988
20100702,4975925.440000000409782,5009342.299999999813735,9985267.740000000223517
20100706,4973668.450000000186265,4971973.099999999627471,9945641.550000000745058
20100707,5063948.050000000745058,4955156.959999999962747,10019105.010000001639128
20100708,5192596.480000000447035,5003736.919999999925494,10196333.400000000372529
20100709,5207643.080000000074506,4979446.939999999478459,10187090.019999999552965
20100712,5261810.839999999850988,4949551.580000000074506,10211362.419999999925494
20100713,5329520.540000000968575,5024289.980000000447035,10353810.520000001415610
20100714,5334034.520000000484288,5014947.679999999701977,10348982.199999999254942
20100715,5366384.709999999962747,5007473.839999999850988,10373858.550000000745058
20100716,5261810.839999999850988,4986920.780000000260770,10248731.620000001043081
20100719,5259553.849999999627471,4992526.160000000149012,10252080.009999999776483
20100720,5331777.530000000260770,4983183.860000000335276,10314961.390000000596046
20100721,5274600.450000000186265,4955156.959999999962747,10229757.410000000149012
20100722,5371651.020000000484288,5044843.040000000037253,10416494.060000000521541
20100723,5258801.520000000484288,5235425.959999999962747,10494227.480000000447035
20100726,5331777.530000000260770,5284005.919999999925494,10615783.449999999254942
20100727,5296418.020000000484288,5341928.179999999701977,10638346.199999999254942
20100728,5249021.230000000447035,5401718.900000000372529,10650740.130000000819564
20100729,5219680.360000000335276,5396113.519999999552965,10615793.879999998956919
20100730,5246011.910000000149012,5429745.799999999813735,10675757.710000000894070
20100802,5285133.070000000298023,5523168.799999999813735,10808301.870000001043081
20100803,5300179.670000000856817,5519431.879999999888241,10819611.550000000745058
20100804,5318235.589999999850988,5493273.439999999478459,10811509.029999999329448
20100805,5300179.670000000856817,5521300.339999999850988,10821480.010000001639128
20100806,5397230.240000000223517,5521300.339999999850988,10918530.580000000074506
20100809,5486005.180000000633299,5579222.599999999627471,11065227.780000001192093
20100810,5479986.540000000968575,5609117.959999999962747,11089104.500000000000000
20100811,5384440.629999999888241,5523168.799999999813735,10907609.429999999701977
20100812,5421304.800000000745058,5665171.759999999776483,11086476.560000000521541
20100813,5408515.190000000409782,5610986.419999999925494,11019501.609999999403954
20100816,5400991.890000000596046,5597907.200000000186265,10998899.089999999850988
20100817,5508575.080000000074506,5637144.860000000335276,11145719.940000001341105
20100818,5510832.070000000298023,5633407.939999999478459,11144240.009999999776483
20100819,5489766.830000000074506,5534379.560000000521541,11024146.390000000596046
20100820,5498042.459999999962747,5487668.060000000521541,10985710.519999999552965
20100823,5517603.040000000968575,5495141.900000000372529,11012744.940000001341105
20100824,5470958.580000000074506,5506352.660000000149012,10977311.240000000223517
20100825,5506318.089999999850988,5541853.400000000372529,11048171.490000000223517
20100826,5504061.099999999627471,5511958.040000000037253,11016019.140000000596046
20100827,5566504.490000000223517,5575485.679999999701977,11141990.169999999925494
20100830,5472463.240000000223517,5500747.280000000260770,10973210.519999999552965
20100831,5496537.800000000745058,5517563.419999999925494,11014101.220000000670552
20100901,5607882.640000000596046,5653961.000000000000000,11261843.640000000596046
20100902,5643994.480000000447035,5625934.099999999627471,11269928.580000000074506
20100903,5649260.790000000968575,5642750.240000000223517,11292011.030000001192093
20100907,5702676.219999999739230,5646487.160000000149012,11349163.379999998956919
20100908,5723741.459999999962747,5691330.200000000186265,11415071.660000000149012
20100909,5595093.030000000260770,5762331.679999999701977,11357424.710000000894070
20100910,5643242.150000000372529,5758594.759999999776483,11401836.910000000149012
20100913,5610139.629999999888241,5773542.439999999478459,11383682.070000000298023
20100914,5562742.839999999850988,5775410.900000000372529,11338153.740000000223517
20100915,5620672.250000000000000,5827727.780000000260770,11448400.030000001192093
20100916,5627443.219999999739230,5870702.360000000335276,11498145.580000000074506
20100917,5591331.379999999888241,5919282.320000000298023,11510613.699999999254942
20100920,5650765.450000000186265,5995889.180000000633299,11646654.630000000819564
20100921,5680858.650000000372529,6038863.759999999776483,11719722.410000000149012
20100922,5652270.110000000335276,6051942.980000000447035,11704213.089999999850988
20100923,5615405.940000000409782,6010836.860000000335276,11626242.800000000745058
20100924,5650013.120000000111759,6098654.480000000447035,11748667.600000001490116
20100927,5624433.900000000372529,6139760.599999999627471,11764194.500000000000000
20100928,5614653.610000000335276,6113602.160000000149012,11728255.769999999552965
20100929,5601111.670000000856817,6102391.399999999441206,11703503.070000000298023
20100930,5605625.650000000372529,6089312.180000000633299,11694937.830000001937151
