訓練日期,20170814 - 20171113
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11067278.480000002309680
真實報酬,1067278.480000002309680

夏普值報酬,0.098027848000000
夏普值風險,0.031047269732773
夏普值,3.157374185998830

預期報酬,16827.543575721989328
風險,48829.912357649700425
趨勢值,0.344615477752046
找到最佳解世代,2346
找到最佳解實驗#,3
找到最佳解次數,34

stock[index](rank)
投資組合檔數,7
BA[2](4),CAT[3](1),CVX[5](12),MSFT[18](7),PG[21](26),UNH[23](16),V[25](2),
Stock#,BA[2](4),CAT[3](1),CVX[5](12),MSFT[18](7),PG[21](26),UNH[23](16),V[25](2),
張數,6082,12659,13078,19704,15640,7401,14272,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,30.840000000083819,2.850000000093132,61.060000000055879,31.000000000000000,13.399999999906868,29.979999999981374,86.520000000018626,
20170814,1442377.140000000130385,1439457.739999999990687,1421770.439999999944121,1450048.360000000102445,1433419.399999999906868,1433677.689999999944121,1453975.160000000149012,10074728.929999999701977
20170815,1454662.780000000027940,1438698.200000000186265,1419939.520000000018626,1442757.879999999888241,1442021.399999999906868,1439524.479999999981374,1464821.879999999888241,10102429.140000000596046
20170816,1445053.220000000204891,1444647.930000000167638,1397314.580000000074506,1451230.600000000093132,1445774.999999999767169,1434121.750000000000000,1474669.559999999823049,10092815.640000000596046
20170817,1432889.220000000204891,1432242.110000000102445,1385282.820000000065193,1426600.600000000093132,1439988.199999999720603,1426202.679999999934807,1458114.040000000037253,10001322.669999998062849
20170818,1433983.980000000214204,1442116.130000000121072,1392606.500000000000000,1428373.959999999962747,1446244.199999999953434,1412288.800000000046566,1463109.239999999990687,10018725.810000000521541
20170821,1433436.600000000093132,1438065.250000000000000,1383451.900000000139698,1421674.600000000093132,1452343.799999999813735,1421244.010000000009313,1473242.360000000102445,10023461.519999999552965
20170822,1458190.340000000083819,1466168.229999999981374,1391037.140000000130385,1441575.639999999897555,1451249.000000000000000,1441670.770000000018626,1485373.559999999823049,10135267.680000001564622
20170823,1448094.220000000204891,1452623.100000000093132,1394306.640000000130385,1432905.879999999888241,1445774.999999999767169,1437600.219999999972060,1472671.480000000214204,10083979.540000000968575
20170824,1452047.520000000251457,1453002.870000000111759,1405161.380000000121072,1432314.760000000009313,1443116.199999999953434,1441374.729999999981374,1473242.360000000102445,10100262.820000000298023
20170825,1434713.820000000065193,1460218.500000000000000,1415493.000000000000000,1434876.279999999795109,1446869.800000000046566,1438488.340000000083819,1475097.719999999972060,10105760.460000000894070
20170828,1442559.600000000093132,1456673.979999999981374,1409346.340000000083819,1435073.320000000065193,1446244.199999999953434,1443891.070000000065193,1481234.679999999934807,10115026.189999999478459
20170829,1462691.020000000251457,1468573.440000000176951,1410654.140000000130385,1439408.199999999953434,1443898.199999999720603,1456028.709999999962747,1481091.959999999962747,10162348.670000001788139
20170830,1462508.560000000055879,1488068.300000000046566,1408954.000000000000000,1458324.040000000037253,1436860.199999999953434,1449737.859999999869615,1480521.080000000074506,10184977.040000000968575
20170831,1457642.959999999962747,1487308.760000000009313,1407515.420000000158325,1473299.079999999841675,1443116.199999999953434,1472088.880000000121072,1477523.959999999962747,10218498.260000001639128
20170901,1461717.900000000139698,1497309.370000000111759,1422424.340000000083819,1456944.760000000009313,1447182.599999999860302,1478379.729999999981374,1482947.320000000065193,10246909.019999999552965
20170905,1441464.840000000083819,1497562.550000000046566,1431317.380000000121072,1450442.439999999944121,1450154.199999999953434,1475123.290000000037253,1470245.239999999990687,10216312.940000001341105
20170906,1426989.680000000167638,1480852.670000000158325,1462050.680000000167638,1446304.600000000093132,1450154.199999999953434,1468240.359999999869615,1472671.480000000214204,10207266.670000001788139
20170907,1437268.260000000009313,1490853.280000000027940,1462181.459999999962747,1464826.360000000102445,1454064.199999999953434,1466686.149999999906868,1492366.840000000083819,10268249.550000000745058
20170908,1452290.800000000046566,1491486.229999999981374,1448841.900000000139698,1457732.920000000158325,1452031.000000000000000,1463577.729999999981374,1490511.480000000214204,10256475.060000000521541
20170911,1463299.220000000204891,1504778.180000000167638,1471597.620000000111759,1473102.040000000037253,1470016.999999999767169,1477121.560000000055879,1515059.320000000065193,10374977.940000001341105
20170912,1463238.400000000139698,1530982.310000000055879,1471205.280000000027940,1471525.720000000204891,1462509.800000000046566,1461505.449999999953434,1515915.639999999897555,10376885.600000001490116
20170913,1471449.100000000093132,1514399.020000000018626,1493307.100000000093132,1481968.839999999850988,1463135.399999999906868,1467870.310000000055879,1510492.280000000027940,10402625.050000000745058
20170914,1491519.699999999953434,1525159.170000000158325,1496838.160000000149012,1473299.079999999841675,1463135.399999999906868,1463429.709999999962747,1514060.280000000027940,10427444.499999998137355
20170915,1514448.840000000083819,1536425.680000000167638,1499192.199999999953434,1483939.239999999990687,1458756.199999999953434,1466760.159999999916181,1502928.119999999878928,10462453.439999999478459
20170918,1539263.400000000139698,1567566.820000000065193,1506515.880000000121072,1480983.639999999897555,1456879.399999999906868,1466834.169999999925494,1496220.280000000027940,10514266.589999999850988
20170919,1535492.560000000055879,1579086.510000000009313,1521555.580000000074506,1486500.760000000009313,1472832.199999999953434,1440634.630000000121072,1504498.040000000037253,10540603.280000001192093
20170920,1553738.560000000055879,1580479.000000000000000,1521947.920000000158325,1476648.760000000009313,1476429.399999999906868,1448775.729999999981374,1504498.040000000037253,10562520.410000000149012
20170921,1557266.120000000111759,1579719.460000000195578,1523255.719999999972060,1462264.839999999850988,1448903.000000000000000,1444779.189999999944121,1503070.840000000083819,10519262.169999999925494
20170922,1559759.739999999990687,1575162.220000000204891,1533979.680000000167638,1466205.639999999897555,1442646.999999999767169,1428645.010000000009313,1506638.840000000083819,10513041.130000000819564
20170925,1546805.080000000074506,1573769.729999999981374,1543134.280000000027940,1443546.040000000037253,1450154.199999999953434,1419171.729999999981374,1470387.959999999962747,10446972.019999999552965
