訓練日期,20120906 - 20121210
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11101198.280000001192093
真實報酬,1101198.280000001192093

夏普值報酬,0.101419828000000
夏普值風險,0.030223787033449
夏普值,3.355629388460040

預期報酬,17772.303538568314252
風險,121607.118314765175455
趨勢值,0.146145256830829
找到最佳解世代,2673
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](13),HD[9](2),V[25](1),
Stock#,BA[2](13),HD[9](2),V[25](1),
張數,46347,58955,104493,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,56.759999999776483,17.300000000279397,6.300000000279397,
20120906,3375045.299999999348074,3398773.050000000279397,3383489.640000000596046,10157308.990000000223517
20120907,3378289.589999999850988,3375780.600000000093132,3388714.290000000037253,10142785.480000000447035
20120910,3294401.519999999552965,3378138.800000000279397,3361546.110000000335276,10034087.429999999701977
20120911,3303207.449999999720603,3343944.900000000372529,3434691.209999999962747,10081844.559999998658895
20120912,3288839.879999999422580,3363400.050000000279397,3486937.709999999962747,10139178.640000000596046
20120913,3317575.019999999552965,3437093.800000000279397,3525600.120000000577420,10280269.940000001341105
20120914,3303670.919999999925494,3505481.600000000558794,3506791.380000000353903,10315944.900000000372529
20120917,3240639.000000000000000,3473056.350000000093132,3497387.010000000242144,10211083.359999999403954
20120918,3265202.909999999683350,3470108.600000000093132,3492162.360000000335276,10227474.870000001043081
20120919,3239712.060000000055879,3506071.150000000372529,3521420.400000000372529,10267204.610000001266599
20120920,3237394.709999999497086,3494869.700000000186265,3516195.750000000000000,10248461.160000000149012
20120921,3242956.349999999627471,3503123.400000000372529,3526645.050000000279397,10272725.800000000745058
20120924,3245737.169999999925494,3501354.750000000465661,3494252.220000000204891,10241345.140000000596046
20120925,3215611.619999999646097,3520809.900000000372529,3515150.820000000298023,10251573.339999999850988
20120926,3255933.509999999776483,3488384.650000000372529,3461859.390000000596046,10206178.550000000745058
20120927,3248981.459999999497086,3530242.700000000651926,3498431.939999999944121,10277657.099999999627471
20120928,3225807.959999999497086,3559130.649999999906868,3507836.310000000521541,10292775.919999999925494
20121001,3244810.229999999981374,3570921.650000000372529,3571577.040000000037253,10387309.920000001788139
20121002,3222563.669999999925494,3556772.450000000186265,3552768.300000000279397,10332105.419999999925494
20121003,3237858.179999999701977,3641667.650000000372529,3618598.890000000596046,10498125.720000000670552
20121004,3241565.939999999478459,3639899.000000000465661,3648901.860000000335276,10530367.800000000745058
20121005,3285595.589999999850988,3725973.300000000279397,3664575.810000000521541,10676145.700000001117587
20121008,3270764.549999999348074,3648152.700000000651926,3623823.540000000037253,10542741.789999999105930
20121009,3274008.839999999850988,3593324.550000000279397,3572621.970000000204891,10439956.360000001266599
20121010,3260104.739999999757856,3521989.000000000465661,3589340.850000000558794,10371435.589999999850988
20121011,3282814.769999999552965,3478951.850000000093132,3632182.979999999981374,10393950.599999999627471
20121012,3330088.709999999497086,3511377.100000000558794,3634272.840000000316650,10475739.650000000372529
20121015,3348627.509999999776483,3575638.050000000279397,3654126.510000000242144,10578393.070000000298023
20121016,3405634.319999999832362,3588018.600000000093132,3687564.270000000018626,10681218.189999999478459
20121017,3412586.369999999646097,3619264.750000000465661,3724136.820000000298023,10755988.940000001341105
20121018,3441784.979999999981374,3643436.300000000279397,3706373.010000000242144,10791595.290000000968575
20121019,3430198.229999999981374,3648742.250000000465661,3656216.370000000577420,10735157.850000001490116
20121022,3415830.659999999683350,3657585.500000000000000,3631138.050000000279397,10704555.210000000894070
20121023,3375045.299999999348074,3640488.550000000279397,3569487.179999999701977,10585022.029999999329448
20121024,3369947.129999999422580,3612779.700000000186265,3565307.459999999962747,10548035.289999999105930
20121025,3315721.140000000130385,3565615.700000000186265,3593520.570000000298023,10474858.410000000149012
20121026,3295791.929999999701977,3539675.500000000000000,3613374.240000000223517,10448842.669999999925494
20121031,3264739.439999999478459,3618675.200000000651926,3624868.470000000204891,10508284.110000001266599
20121101,3280960.890000000130385,3670555.600000000093132,3758619.510000000242144,10710137.000000000000000
20121102,3246664.109999999869615,3656406.400000000372529,3746080.350000000558794,10649151.859999999403954
20121105,3263349.029999999795109,3677630.200000000651926,3696968.640000000596046,10637948.870000001043081
20121106,3337967.699999999720603,3691779.399999999906868,3758619.510000000242144,10788367.609999999403954
20121107,3249444.929999999701977,3654637.750000000465661,3724136.820000000298023,10628220.500000000000000
20121108,3289766.819999999832362,3588018.600000000093132,3711597.660000000614673,10589384.080000000074506
20121109,3394974.509999999776483,3593914.100000000558794,3733541.189999999944121,10722430.800000000745058
20121112,3415367.189999999478459,3605705.100000000093132,3741900.630000000353903,10762973.919999999925494
20121113,3400072.679999999701977,3736585.200000000651926,3721002.030000000260770,10857660.910000000149012
20121114,3304134.390000000130385,3623981.150000000372529,3656216.370000000577420,10584332.910000002011657
20121115,3292547.640000000130385,3611011.050000000279397,3657261.300000000279397,10560820.990000000223517
20121116,3280033.949999999720603,3662301.899999999906868,3728316.540000000037253,10670653.390000000596046
20121119,3335186.879999999422580,3733637.450000000186265,3804596.429999999701977,10873421.759999999776483
20121120,3362068.140000000130385,3762525.400000000372529,3823405.170000000856817,10947999.710000000894070
20121121,3390339.810000000055879,3778443.250000000465661,3831764.610000000335276,11000548.670000001788139
20121123,3417684.539999999571592,3821480.399999999906868,3869382.090000000316650,11108548.029999999329448
20121126,3442248.449999999720603,3812637.150000000372529,3846393.630000000353903,11101280.230000000447035
20121127,3452444.789999999571592,3782570.100000000093132,3834899.400000000372529,11069915.289999999105930
20121128,3433905.989999999757856,3822069.950000000186265,3847438.560000000521541,11103415.500000000000000
20121129,3435296.399999999906868,3787286.500000000000000,3871471.950000000186265,11094055.850000001490116
20121130,3442711.919999999925494,3836219.149999999906868,3911179.290000000037253,11190111.359999999403954
20121203,3430661.699999999720603,3830913.200000000651926,3882966.179999999701977,11144542.080000000074506
20121204,3432052.109999999869615,3787286.500000000000000,3855798.000000000000000,11075137.609999999403954
20121205,3423709.649999999906868,3774316.399999999906868,3868337.160000000614673,11066364.210000000894070
20121206,3428807.819999999832362,3793182.000000000465661,3878786.459999999962747,11100777.280000001192093
20121207,3459396.839999999850988,3799667.050000000279397,3880876.320000000298023,11139941.210000000894070
20121210,3500645.669999999925494,3716540.500000000000000,3884011.110000000335276,11101198.280000001192093
