訓練日期,20141229 - 20150401
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10890561.339999999850988
真實報酬,890561.339999999850988

夏普值報酬,0.080356134000000
夏普值風險,0.035109067544104
夏普值,2.288757281834851

預期報酬,18430.536130251435679
風險,123868.207447042354033
趨勢值,0.148791497916292
找到最佳解世代,1864
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](4),MRK[17](13),PFE[20](3),UNH[23](1),WBA[27](7),
Stock#,BA[2](4),MRK[17](13),PFE[20](3),UNH[23](1),WBA[27](7),
張數,15194,34614,63191,19502,26157,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,13.780000000027940,3.080000000074506,4.850000000093132,69.900000000139698,35.780000000260770,
20141229,2010028.039999999804422,1998269.300000000046566,1983570.340000000083819,1995709.560000000055879,2008631.810000000521541,9996209.050000000745058
20141230,2003038.800000000279397,1995500.179999999934807,1982938.429999999934807,2005850.600000000093132,1989275.630000000121072,9976603.640000000596046
20141231,1974929.899999999906868,1965732.140000000130385,1968404.500000000000000,1971527.080000000307336,1993199.180000000400469,9873792.800000000745058
20150102,1974474.079999999841675,1979577.739999999990687,1979778.879999999888241,1965481.460000000195578,1987967.780000000260770,9887279.939999999478459
20150105,1960799.480000000214204,2008999.640000000130385,1969036.410000000149012,1933108.140000000130385,1948732.280000000260770,9820675.949999999254942
20150106,1937704.600000000093132,2087919.560000000055879,1985466.070000000298023,1929207.740000000223517,1953702.110000000102445,9894000.080000000074506
20150107,1967788.719999999972060,2132571.620000000111759,2012638.200000000186265,1948904.760000000242144,2003661.980000000214204,10065565.280000001192093
20150108,2002582.980000000214204,2175492.979999999981374,2053712.350000000093132,2041929.300000000279397,2028511.130000000121072,10302228.740000002086163
20150109,1998632.539999999804422,2165454.919999999925494,2063191.000000000000000,2022817.340000000083819,1979335.970000000204891,10229431.769999999552965
20150112,1988452.560000000055879,2156455.279999999795109,2070773.920000000391155,2000000.000000000000000,1980120.680000000400469,10195802.439999999478459
20150113,1993010.759999999776483,2152647.740000000223517,2049920.889999999897555,2010141.040000000037253,1968611.600000000325963,10174332.029999999329448
20150114,1981007.500000000000000,2168224.040000000037253,2052448.529999999795109,2015211.560000000055879,1961549.210000000195578,10178440.840000001713634
20150115,1977360.939999999711290,2141917.400000000372529,2047393.250000000000000,2037248.820000000065193,1956056.240000000223517,10159976.650000000372529
20150116,1987085.100000000093132,2181723.500000000000000,2072669.649999999906868,2062796.440000000176951,1988752.490000000223517,10293027.179999999701977
20150120,1993770.459999999962747,2167185.620000000111759,2091626.950000000186265,2059871.140000000130385,1989275.630000000121072,10301729.800000000745058
20150121,2011851.320000000065193,2151609.319999999832362,2062559.090000000083819,2132028.540000000037253,1977243.410000000381842,10335291.679999999701977
20150122,2060927.939999999711290,2166493.340000000316650,2073301.560000000288710,2220372.599999999627471,1988490.920000000158325,10509586.360000001266599
20150123,2045430.060000000055879,2163031.939999999944121,2050552.800000000279397,2184293.900000000372529,1977243.410000000381842,10420552.110000001266599
20150126,2037073.359999999869615,2174454.560000000055879,2072669.649999999906868,2176688.120000000111759,1983782.660000000381842,10444668.350000001490116
20150127,2012914.899999999906868,2165454.919999999925494,2060031.450000000186265,2145484.919999999925494,1959979.790000000502914,10343865.980000000447035
20150128,2121703.939999999478459,2127033.380000000353903,2018957.300000000046566,2115256.820000000298023,1929637.670000000158325,10312589.110000001266599
20150129,2245383.099999999627471,2149186.340000000316650,2011374.379999999888241,2133393.679999999701977,1950563.270000000018626,10489900.769999999552965
20150130,2208765.560000000521541,2086535.000000000000000,1974723.600000000093132,2072157.400000000139698,1929114.530000000260770,10271296.089999999850988
20150202,2222288.219999999739230,2107303.400000000372529,2000000.000000000000000,2092439.480000000214204,1958933.510000000242144,10380964.609999999403954
20150203,2238697.740000000223517,2112149.360000000335276,2023380.670000000391155,2102580.520000000484288,1956317.810000000521541,10433126.100000003352761
20150204,2236874.459999999962747,2043959.780000000027940,2026540.220000000204891,2104725.740000000223517,1953178.970000000204891,10365279.170000001788139
