訓練日期,20160914 - 20161214
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11443263.209999999031425
真實報酬,1443263.209999999031425

夏普值報酬,0.135626321000000
夏普值風險,0.034792850265122
夏普值,3.898108949583799

預期報酬,20117.268083382274199
風險,101624.654994754702784
趨勢值,0.197956569539357
找到最佳解世代,1705
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](13),BA[2](1),CVX[5](2),
20161114,3264166.279999999795109,3882914.010000000707805,3573364.839999999850988,10720446.130000000819564
20161115,3307395.479999999981374,3834246.450000000651926,3652816.719999999273568,10794459.650000000372529
20161116,3396324.119999999646097,3791015.160000000149012,3632367.079999999608845,10819707.359999999403954
20161117,3395089.000000000000000,3762280.590000000782311,3624656.560000000055879,10782027.150000000372529
20161118,3398485.580000000074506,3788685.330000000074506,3660862.479999999981374,10848034.390000000596046
20161121,3450051.839999999850988,3806029.620000000577420,3693716.000000000000000,10949798.460000000894070
20161122,3452213.299999999813735,3870747.120000000577420,3708466.560000000055879,11031427.980000000447035
20161123,3434612.839999999850988,3876442.260000000707805,3721205.679999999701977,11032261.780000001192093
20161125,3451904.520000000018626,3884208.360000000335276,3721205.679999999701977,11057319.560000000521541
20161128,3445111.359999999869615,3877218.870000000577420,3704443.679999999701977,11026774.910000000149012
20161129,3441714.779999999795109,3925627.560000000055879,3665555.839999999850988,11032899.179999999701977
20161130,3412689.459999999962747,3897669.600000000558794,3739979.119999999646097,11050339.179999999701977
20161201,3380885.119999999646097,3945042.810000000055879,3797975.640000000130385,11123904.570000000298023
20161202,3393545.100000000093132,3941418.630000000353903,3788253.679999999701977,11123218.410000000149012
20161205,3369151.479999999981374,3939088.800000000279397,3796634.679999999701977,11104875.960000000894070
20161206,3395089.000000000000000,3941159.760000000707805,3780207.919999999925494,11116457.679999999701977
20161207,3428437.239999999757856,3990345.060000000055879,3836528.239999999757856,11255311.539999999105930
20161208,3462094.260000000242144,4022703.810000000055879,3861000.759999999776483,11345799.830000000074506
20161209,3518601.000000000000000,4051179.510000000707805,3882456.119999999646097,11452237.630000000819564
20161212,3498530.299999999813735,4068523.800000000279397,3927378.279999999795109,11494433.379999998956919
20161213,3556889.719999999739230,4055580.300000000279397,3936429.759999999776483,11548900.779999999329448
20161214,3556889.719999999739230,3998887.770000000484288,3887484.719999999273568,11443263.209999999031425
