訓練日期,20160516 - 20160816
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10958561.390000000596046
真實報酬,958561.390000000596046

夏普值報酬,0.087156139000000
夏普值風險,0.030434730167376
夏普值,2.863706644372529

預期報酬,17281.400696418091684
風險,78985.483563062181929
趨勢值,0.218792111117742
找到最佳解世代,2268
找到最佳解實驗#,1
找到最佳解次數,29

stock[index](rank)
投資組合檔數,6
AAPL[0](11),JNJ[12](5),MSFT[18](16),UNH[23](4),VZ[26](15),WBA[27](17),
Stock#,AAPL[0](11),JNJ[12](5),MSFT[18](16),UNH[23](4),VZ[26](15),WBA[27](17),
張數,18412,14676,32628,12919,32718,21201,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,11.760000000009313,59.439999999944121,27.760000000009313,115.000000000000000,11.080000000074506,55.389999999897555,
20160516,1728530.319999999832362,1679580.879999999888241,1691137.000000000000000,1687853.159999999916181,1676154.219999999972060,1672178.260000000009313,10135437.839999999850988
20160517,1721349.639999999897555,1670628.520000000018626,1648068.040000000037253,1673900.640000000130385,1665357.280000000027940,1621507.869999999878928,10000815.990000000223517
20160518,1741050.479999999981374,1667106.280000000027940,1657856.440000000176951,1686173.689999999944121,1648671.100000000093132,1622779.929999999934807,10023641.919999999925494
20160519,1734422.160000000149012,1656246.039999999804422,1641868.719999999972060,1679585.000000000000000,1623805.420000000158325,1615783.599999999860302,9951714.939999999478459
20160520,1753202.399999999906868,1653164.079999999841675,1651657.119999999878928,1691728.859999999869615,1624786.959999999962747,1637196.609999999869615,10011740.029999999329448
20160523,1775480.920000000158325,1646119.599999999860302,1632406.600000000093132,1685010.979999999748543,1607773.600000000093132,1622567.919999999925494,9969363.619999999180436
20160524,1802546.560000000055879,1653897.879999999888241,1683306.280000000027940,1713045.209999999962747,1622169.520000000018626,1635712.540000000037253,10110681.989999998360872
20160525,1834215.200000000186265,1663584.039999999804422,1700599.119999999878928,1723767.979999999748543,1631003.380000000121072,1645889.019999999785796,10199062.740000000223517
20160526,1848760.679999999934807,1656979.840000000083819,1693094.679999999934807,1718083.619999999878928,1641145.959999999962747,1627868.169999999925494,10185936.950000001117587
