訓練日期,20130521 - 20130821
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10991323.419999999925494
真實報酬,991323.419999999925494

夏普值報酬,0.090432342000000
夏普值風險,0.034427395070172
夏普值,2.626755286471005

預期報酬,20030.151578284308926
風險,159655.216403652040754
趨勢值,0.125458798212033
找到最佳解世代,2172
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](3),UNH[23](1),
Stock#,MRK[17](3),UNH[23](1),
張數,110595,79923,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,0.049999999813735,17.120000000111759,
20130521,5234461.399999999441206,5024776.129999999888241,10259237.529999999329448
20130522,5165892.500000000000000,4977621.560000000521541,10143514.060000000521541
20130523,5234461.399999999441206,4984015.400000000372529,10218476.800000000745058
20130524,5215660.249999999068677,4960038.500000000000000,10175698.750000000000000
20130528,5266533.949999999254942,5062339.940000000409782,10328873.890000000596046
20130529,5183587.699999999254942,5063139.169999999925494,10246726.869999999180436
20130530,5205706.700000000186265,5167838.299999999813735,10373545.000000000000000
20130531,5164786.549999999813735,5005594.610000000335276,10170381.160000000149012
20130603,5358327.799999999813735,5019181.519999999552965,10377509.320000000298023
20130604,5467816.849999999627471,4984015.400000000372529,10451832.250000000000000
20130605,5389294.399999999441206,4935262.370000000111759,10324556.769999999552965
20130606,5374917.049999999813735,4948849.280000000260770,10323766.330000000074506
20130607,5329573.099999999627471,5000799.230000000447035,10330372.330000000074506
20130610,5359433.750000000000000,5089513.759999999776483,10448947.509999999776483
20130611,5259898.250000000000000,5109494.509999999776483,10369392.759999999776483
20130612,5225613.799999999813735,5101502.209999999962747,10327116.009999999776483
20130613,5297500.549999999813735,5127077.570000000298023,10424578.120000001043081
20130614,5303030.299999999813735,5099104.519999999552965,10402134.820000000298023
20130617,5286441.049999999813735,5144660.630000000819564,10431101.679999999701977
20130618,5280911.299999999813735,5249359.760000000707805,10530271.060000000521541
20130619,5262110.149999999441206,5215792.100000000558794,10477902.250000000000000
20130620,5121654.500000000000000,5099104.519999999552965,10220759.019999999552965
20130621,5197965.049999999813735,5107096.820000000298023,10305061.870000001043081
20130624,5132713.999999999068677,5167039.070000000298023,10299753.070000000298023
20130625,5112806.899999999441206,5093509.910000000149012,10206316.809999998658895
20130626,5163680.599999999627471,5177429.060000000521541,10341109.660000000149012
20130627,5228931.650000000372529,5282128.190000000409782,10511059.839999999850988
20130628,5137137.799999999813735,5233375.160000000149012,10370512.960000000894070
20130701,5122760.450000000186265,5245363.609999999403954,10368124.059999998658895
20130702,5148197.299999999813735,5216591.330000000074506,10364788.629999998956919
20130703,5148197.299999999813735,5238170.540000000968575,10386367.839999999850988
20130705,5215660.249999999068677,5288522.030000000260770,10504182.279999999329448
20130708,5243308.999999999068677,5399615.000000000000000,10642924.000000000000000
20130709,5266533.949999999254942,5432383.429999999701977,10698917.379999998956919
20130710,5304136.250000000000000,5410004.990000000223517,10714141.240000000223517
20130711,5342844.500000000000000,5463553.400000000372529,10806397.900000000372529
20130712,5368281.349999999627471,5434781.120000000111759,10803062.469999998807907
20130715,5366069.450000000186265,5404410.380000000819564,10770479.830000001937151
20130716,5333996.899999999441206,5347665.049999999813735,10681661.949999999254942
20130717,5322937.400000000372529,5293317.410000000149012,10616254.810000000521541
20130718,5242203.049999999813735,5638584.769999999552965,10880787.820000000298023
20130719,5285335.099999999627471,5710515.470000000670552,10995850.570000000298023
20130722,5277593.449999999254942,5768859.260000000707805,11046452.710000000894070
20130723,5300818.399999999441206,5809619.990000000223517,11110438.390000000596046
20130724,5283123.200000000186265,5796832.310000000521541,11079955.510000001639128
20130725,5327361.200000000186265,5804025.380000000819564,11131386.580000001937151
20130726,5362751.599999999627471,5771256.949999999254942,11134008.549999998882413
20130729,5346162.350000000558794,5817612.290000000968575,11163774.640000000596046
20130730,5314089.799999999813735,5776052.330000000074506,11090142.129999998956919
20130731,5327361.200000000186265,5822407.669999999925494,11149768.870000001043081
20130801,5372705.149999999441206,5847183.799999999813735,11219888.949999999254942
20130802,5368281.349999999627471,5775253.100000000558794,11143534.449999999254942
20130805,5367175.400000000372529,5861569.940000000409782,11228745.339999999850988
20130806,5357221.849999999627471,5853577.639999999664724,11210799.489999998360872
20130807,5369387.299999999813735,5828002.280000000260770,11197389.580000000074506
20130808,5360539.699999999254942,5848782.260000000707805,11209321.960000000894070
20130809,5351692.099999999627471,5828801.510000000707805,11180493.609999999403954
20130812,5360539.699999999254942,5785643.089999999850988,11146182.789999999105930
20130813,5356115.899999999441206,5862369.169999999925494,11218485.070000000298023
20130814,5371599.200000000186265,5793635.389999999664724,11165234.589999999850988
20130815,5305242.199999999254942,5706519.320000000298023,11011761.519999999552965
20130816,5275381.549999999813735,5708917.010000000707805,10984298.560000000521541
20130819,5262110.149999999441206,5731295.449999999254942,10993405.599999997764826
20130820,5259898.250000000000000,5791237.699999999254942,11051135.949999999254942
20130821,5248838.750000000000000,5742484.669999999925494,10991323.419999999925494
