訓練日期,20150121 - 20150423
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11238240.189999999478459
真實報酬,1238240.189999999478459

夏普值報酬,0.115124019000000
夏普值風險,0.036729122479146
夏普值,3.134407010822674

預期報酬,21473.712175839424162
風險,134469.565982579078991
趨勢值,0.159691986948343
找到最佳解世代,1571
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DD[7](11),NKE[19](7),UNH[23](1),WBA[27](2),
Stock#,DD[7](11),NKE[19](7),UNH[23](1),WBA[27](2),
張數,39777,53407,23669,32873,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,15.549999999813735,18.330000000074506,80.219999999739230,8.350000000093132,
20150121,2534208.219999999739230,2497329.649999999906868,2587575.299999999348074,2484878.420000000391155,10103991.589999997988343
20150122,2569609.749999999534339,2559815.839999999850988,2694795.869999999646097,2499013.810000000055879,10323235.269999999552965
20150123,2524661.739999999757856,2567826.890000000130385,2651008.219999999739230,2484878.420000000391155,10228375.269999999552965
20150126,2524263.969999999739230,2573167.589999999850988,2641777.309999999590218,2493096.670000000391155,10232305.539999999105930
20150127,2501988.849999999627471,2523499.080000000074506,2603906.909999999683350,2463182.240000000223517,10092577.080000000074506
20150128,2437550.109999999869615,2491988.949999999720603,2567219.959999999497086,2425049.560000000055879,9921808.580000000074506
20150129,2549721.249999999534339,2533646.410000000149012,2589232.129999999888241,2451347.959999999962747,10123947.750000000000000
20150130,2558074.419999999925494,2463683.240000000223517,2514911.469999999739230,2424392.100000000093132,9961061.230000000447035
20150202,2561654.350000000093132,2454604.050000000279397,2539527.229999999981374,2461867.320000000298023,10017652.950000001117587
20150203,2656323.609999999869615,2493057.089999999850988,2551835.109999999869615,2458580.020000000484288,10159795.829999998211861
20150204,2618137.689999999478459,2471160.220000000204891,2554438.699999999720603,2454635.260000000242144,10098371.869999999180436
20150205,2707635.939999999478459,2492523.020000000018626,2575740.799999999348074,2458580.020000000484288,10234479.779999997466803
20150206,2741844.160000000149012,2451399.629999999888241,2546864.619999999646097,2503287.300000000279397,10243395.710000000894070
20150209,2733888.759999999776483,2434843.460000000428408,2520592.029999999795109,2511505.550000000279397,10200829.800000000745058
