訓練日期,20151119 - 20160224
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10721389.679999999701977
真實報酬,721389.679999999701977

夏普值報酬,0.063438968000000
夏普值風險,0.026520008629080
夏普值,2.392117170370688

預期報酬,11251.625834623393530
風險,141815.010917331121163
趨勢值,0.079340161255443
找到最佳解世代,2219
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](1),PG[21](2),WMT[28](4),
Stock#,MCD[15](1),PG[21](2),WMT[28](4),
張數,29621,43917,54707,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,81.870000000111759,32.699999999720603,35.490000000223517,
20151119,3356141.169999999925494,3347386.439999999478459,3320750.390000000596046,10024279.000000000000000
20151120,3374209.979999999981374,3329819.639999999199063,3286284.980000000447035,9990315.599999999627471
20151123,3390797.740000000223517,3336407.189999999478459,3296679.310000000055879,10023885.240000000223517
20151124,3385169.750000000000000,3357487.349999999627471,3278078.930000000167638,10020737.029999999329448
20151125,3388724.270000000484288,3333333.000000000000000,3295585.170000000391155,10017643.440000001341105
20151127,3383688.700000000186265,3324549.599999999627471,3276437.720000000204891,9984677.019999999552965
20151130,3381615.229999999981374,3286780.979999999981374,3218995.370000000577420,9887392.580000000074506
20151201,3390205.320000000298023,3335089.679999999701977,3227201.420000000391155,9952497.419999999925494
20151202,3368581.990000000223517,3328502.129999999888241,3192188.940000000409782,9889274.060000000521541
20151203,3358807.060000000055879,3326306.279999999329448,3229936.770000000018626,9915051.109999999403954
20151204,3442042.070000000298023,3418092.809999999590218,3263855.109999999869615,10123990.990000000223517
20151207,3448558.689999999944121,3441807.989999999757856,3309808.990000000223517,10200176.669999999925494
20151208,3451817.000000000000000,3414579.449999999720603,3261119.760000000242144,10127517.209999999031425
20151209,3453298.050000000279397,3412383.599999999627471,3234860.400000000372529,10100543.050000000745058
20151210,3471663.070000000298023,3416336.129999999888241,3258384.410000000149012,10146384.609999999403954
20151211,3438487.550000000279397,3415896.959999999962747,3247443.010000000242144,10101828.519999999552965
20151214,3443819.330000000074506,3438294.629999999888241,3303791.220000000204891,10185906.179999999701977
20151215,3463665.400000000372529,3499339.260000000242144,3262760.970000000204891,10225766.630000000819564
20151216,3490620.510000000242144,3556870.529999999329448,3298867.589999999850988,10346359.629999998956919
20151217,3480549.370000000111759,3526128.629999999888241,3226654.350000000093132,10233333.349999999627471
20151218,3455667.729999999981374,3431267.909999999683350,3219542.440000000409782,10106479.080000000074506
20151221,3486177.359999999869615,3467279.849999999627471,3257837.339999999850988,10211295.549999998882413
20151222,3487065.990000000223517,3495825.899999999441206,3311997.270000000018626,10294890.160000000149012
20151223,3519056.669999999925494,3509879.339999999850988,3342086.120000000577420,10371023.130000000819564
20151224,3512243.839999999850988,3504170.129999999888241,3327862.300000000279397,10344277.269999999552965
20151228,3517575.620000000111759,3509879.339999999850988,3323485.740000000223517,10350941.699999999254942
20151229,3556675.339999999850988,3529202.819999999832362,3370533.760000000242144,10456412.919999999925494
20151230,3537717.900000000372529,3516466.889999999199063,3374363.250000000000000,10428549.039999999105930
20151231,3499506.810000000055879,3487481.669999999459833,3353574.589999999850988,10340564.070000000298023
20160104,3482919.050000000279397,3441807.989999999757856,3362327.710000000428408,10287055.750000000000000
20160105,3530905.070000000298023,3452787.239999999757856,3442199.930000000167638,10425893.240000000223517
20160106,3507208.270000000484288,3419410.319999999832362,3476665.339999999850988,10403284.929999999701977
20160107,3426046.729999999981374,3389546.760000000242144,3557631.700000000186265,10373226.190000001341105
20160108,3420714.950000000186265,3336407.189999999478459,3476118.270000000018626,10233241.410000000149012
20160111,3456556.359999999869615,3367149.089999999850988,3513319.030000000260770,10337025.480000000447035
20160112,3478772.109999999869615,3360122.370000000111759,3480494.830000000074506,10319390.310000000521541
20160113,3410051.390000000130385,3331137.149999999441206,3387492.930000000167638,10128682.469999998807907
20160114,3454482.890000000130385,3344312.250000000000000,3449858.910000000149012,10248655.050000000745058
20160115,3411828.650000000372529,3292929.359999999869615,3388040.000000000000000,10092799.009999999776483
20160119,3480549.370000000111759,3369784.109999999869615,3422505.410000000149012,10272839.890000000596046
20160120,3429601.250000000000000,3330258.809999999590218,3328409.370000000577420,10088270.429999999701977
20160121,3490620.510000000242144,3369344.939999999478459,3385304.650000000372529,10245271.099999999627471
20160122,3507208.270000000484288,3397451.819999999832362,3429617.320000000298023,10334278.410000000149012
20160125,3530905.070000000298023,3375054.149999999441206,3471194.640000000596046,10377154.859999999403954
20160126,3567338.900000000372529,3461131.469999999739230,3501283.490000000223517,10529754.859999999403954
20160127,3580372.140000000130385,3460692.299999999813735,3498548.140000000596046,10539613.580000000074506
20160128,3625099.850000000093132,3505487.639999999199063,3513319.030000000260770,10643907.519999999552965
20160129,3666569.250000000000000,3587612.429999999701977,3630392.010000000242144,10884574.689999999478459
20160201,3691154.680000000167638,3562579.739999999757856,3692757.990000000223517,10946493.410000000149012
20160202,3671604.820000000298023,3523054.439999999478459,3657745.510000000242144,10852405.769999999552965
20160203,3598144.740000000223517,3561701.399999999441206,3625468.379999999888241,10785315.519999999552965
20160204,3574151.729999999981374,3544134.599999999627471,3633674.430000000167638,10751961.759999999776483
20160205,3418345.270000000484288,3566093.099999999627471,3665404.490000000223517,10649843.859999999403954
20160208,3437598.919999999925494,3628455.239999999757856,3659933.790000000502914,10725988.950000001117587
20160209,3466035.080000000074506,3629333.579999999608845,3600303.160000000149012,10695672.820000000298023
20160210,3481734.210000000428408,3584538.239999999757856,3599209.020000000484288,10665482.470000000670552
20160211,3457741.200000000186265,3509001.000000000000000,3573496.729999999981374,10540239.929999999701977
20160212,3493286.400000000372529,3556870.529999999329448,3620544.750000000465661,10670702.679999999701977
20160216,3530312.650000000372529,3577950.689999999478459,3605226.790000000502914,10713491.130000000819564
20160217,3514317.310000000055879,3620989.349999999627471,3616715.260000000242144,10752022.919999999925494
20160218,3470774.439999999944121,3600348.359999999869615,3507848.330000000540167,10578972.130000000819564
20160219,3451817.000000000000000,3592004.129999999888241,3537390.109999999869615,10581212.240000000223517
20160222,3485584.939999999944121,3606935.909999999683350,3590455.899999999906868,10682977.750000000000000
20160223,3462776.770000000484288,3592882.469999999739230,3636956.850000000558794,10692617.089999999850988
20160224,3467516.130000000353903,3581903.219999999739230,3671969.330000000540167,10721389.679999999701977
