訓練日期,20160517 - 20160817
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11196608.800000000745058
真實報酬,1196608.800000000745058

夏普值報酬,0.110960880000000
夏普值風險,0.034622189263736
夏普值,3.204906516880031

預期報酬,19938.215757113113796
風險,96403.322112166832085
趨勢值,0.206820836878574
找到最佳解世代,2297
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](13),CAT[3](1),JNJ[12](7),MRK[17](6),VZ[26](14),WMT[28](8),
Stock#,AAPL[0](13),CAT[3](1),JNJ[12](7),MRK[17](6),VZ[26](14),WMT[28](8),
張數,17753,23573,14563,30497,32533,25244,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,14.360000000102445,54.899999999906868,76.280000000027940,4.949999999953434,0.410000000149012,57.120000000111759,
20160517,1659742.330000000074506,1674916.549999999813735,1657782.570000000065193,1656601.989999999990687,1655930.110000000102445,1643441.520000000018626,9948419.070000000298023
20160518,1678738.040000000037253,1664072.969999999972060,1654287.450000000186265,1667275.939999999944121,1639338.280000000260770,1594215.719999999972060,9897932.400000000372529
20160519,1672346.960000000195578,1636728.290000000037253,1643510.829999999841675,1664531.209999999962747,1614613.200000000186265,1746941.920000000158325,9978676.410000000149012
20160520,1690455.020000000018626,1647100.409999999916181,1640452.600000000093132,1680694.619999999878928,1615589.189999999944121,1763602.960000000195578,10037898.800000000745058
20160523,1711936.150000000139698,1659594.100000000093132,1633462.359999999869615,1674900.189999999944121,1598672.030000000260770,1754515.120000000111759,10033083.949999999254942
20160524,1738033.060000000288710,1675859.469999999972060,1641180.750000000000000,1695638.149999999906868,1612986.550000000046566,1773195.679999999934807,10136897.660000000149012
20160525,1768568.220000000204891,1710747.509999999776483,1650792.329999999841675,1725220.239999999990687,1621770.460000000195578,1779254.240000000223517,10256357.000000000000000
20160526,1782593.090000000083819,1699196.739999999757856,1644238.980000000214204,1719730.780000000027940,1631855.689999999944121,1788594.520000000018626,10266213.800000000745058
20160527,1781527.909999999916181,1696367.979999999748543,1646569.060000000055879,1722475.509999999776483,1646820.870000000111759,1786070.120000000111759,10279835.449999999254942
20160531,1772828.940000000176951,1709333.130000000121072,1641180.750000000000000,1715766.169999999925494,1655930.110000000102445,1786827.440000000176951,10281870.539999999105930
20160601,1747974.739999999990687,1703675.609999999869615,1642491.420000000158325,1717900.959999999962747,1640639.600000000093132,1779759.120000000111759,10232445.449999999254942
20160602,1734837.520000000018626,1735499.159999999916181,1667394.149999999906868,1732844.489999999990687,1651700.820000000298023,1791118.920000000158325,10313399.060000000521541
20160603,1738388.120000000111759,1768972.820000000065193,1671326.160000000149012,1727355.030000000027940,1656580.770000000251457,1789099.400000000139698,10351726.300000000745058
20160606,1750992.750000000000000,1801503.560000000055879,1686034.790000000037253,1743518.439999999944121,1649748.840000000083819,1793643.320000000065193,10425445.699999999254942
20160607,1758093.950000000186265,1810697.030000000027940,1685452.270000000018626,1738333.949999999953434,1683583.160000000149012,1793138.440000000176951,10469302.799999998882413
20160608,1756496.180000000167638,1841341.929999999934807,1686471.679999999934807,1757242.089999999850988,1676100.570000000298023,1799449.440000000176951,10517105.889999998733401
20160609,1769100.810000000288710,1818947.579999999841675,1703947.280000000027940,1743823.409999999916181,1690089.760000000242144,1794653.080000000307336,10520565.919999999925494
20160610,1754543.350000000093132,1792310.089999999850988,1704092.910000000149012,1732539.520000000018626,1713513.520000000251457,1795915.280000000027940,10492918.669999998062849
20160613,1728091.380000000121072,1773451.689999999944121,1700889.050000000046566,1711191.619999999878928,1710260.220000000204891,1780516.440000000176951,10404404.400000000372529
20160614,1730221.739999999990687,1764729.679999999934807,1705694.840000000083819,1715461.199999999953434,1723924.080000000307336,1791118.920000000158325,10431154.460000000894070
20160615,1724540.780000000027940,1769680.009999999776483,1695355.109999999869615,1710581.680000000167638,1719044.130000000353903,1795410.400000000139698,10414616.110000001266599
20160616,1731819.510000000009313,1767794.169999999692664,1698704.600000000093132,1753582.449999999953434,1739214.590000000083819,1799954.320000000065193,10491073.640000000596046
20160617,1692407.850000000093132,1789952.790000000037253,1681811.520000000018626,1704482.280000000027940,1749625.150000000139698,1791118.920000000158325,10409402.509999999776483
20160620,1688324.659999999916181,1801739.290000000037253,1697248.300000000046566,1712106.530000000027940,1748974.489999999990687,1794905.520000000018626,10443302.789999999105930
20160621,1702704.590000000083819,1803153.669999999692664,1692005.620000000111759,1715461.199999999953434,1760035.710000000195578,1803993.359999999869615,10477358.150000000372529
20160622,1696313.510000000009313,1801739.290000000037253,1696083.260000000009313,1739553.829999999841675,1757758.400000000139698,1811314.120000000111759,10502766.410000000149012
20160623,1706077.659999999916181,1843934.959999999962747,1709481.219999999972060,1759071.909999999916181,1778579.520000000251457,1820149.520000000018626,10617298.789999999105930
