訓練日期,20101122 - 20110224
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11879287.490000000223517
真實報酬,1879287.490000000223517

夏普值報酬,0.179228749000000
夏普值風險,0.056135727803607
夏普值,3.192775011789990

預期報酬,32147.841420060878590
風險,92203.236048697741353
趨勢值,0.348662832214281
找到最佳解世代,2474
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,7
AAPL[0](4),CAT[3](3),CVX[5](1),HD[9](6),UNH[23](14),WBA[27](2),XOM[29](10),
Stock#,AAPL[0](4),CAT[3](3),CVX[5](1),HD[9](6),UNH[23](14),WBA[27](2),XOM[29](10),
張數,32600,17012,17018,45758,39682,41098,20251,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,39.000000000000000,73.360000000102445,80.080000000074506,6.239999999990687,19.000000000000000,4.520000000018626,65.459999999962747,
20101122,1459541.000000000000000,1429081.360000000102445,1420232.180000000167638,1422622.459999999962747,1446824.719999999972060,1433913.739999999990687,1421483.149999999906868,10033701.610000001266599
20101123,1437699.000000000000000,1405774.919999999925494,1391301.580000000074506,1414386.020000000018626,1430555.099999999860302,1396514.559999999823049,1396979.439999999944121,9873213.619999999180436
20101124,1466061.000000000000000,1440819.640000000130385,1411382.820000000298023,1425825.520000000018626,1435713.760000000009313,1410076.900000000139698,1415205.339999999850988,10005087.980000000447035
20101126,1467039.000000000000000,1431292.919999999925494,1396406.979999999981374,1418504.239999999990687,1423809.160000000149012,1384185.159999999916181,1402042.189999999944121,9923282.650000000372529
20101129,1475841.000000000000000,1423467.400000000139698,1390280.500000000000000,1404319.260000000009313,1451983.380000000121072,1430214.919999999925494,1406497.409999999916181,9982606.870000001043081
20101130,1449109.000000000000000,1439288.560000000055879,1378027.540000000037253,1382355.419999999925494,1449205.640000000130385,1432269.820000000065193,1408725.020000000018626,9938984.000000000000000
20101201,1473559.000000000000000,1487772.760000000242144,1407468.680000000167638,1446416.619999999878928,1494839.940000000176951,1465970.180000000167638,1444569.290000000037253,10220599.470000002533197
