訓練日期,20100629 - 20100929
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11612940.300000000745058
真實報酬,1612940.300000000745058

夏普值報酬,0.152594030000000
夏普值風險,0.049063083688945
夏普值,3.110159788720821

預期報酬,25406.208821865169739
風險,121694.036518463297398
趨勢值,0.208771190016452
找到最佳解世代,2282
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),VZ[26](3),
Stock#,MCD[15](1),VZ[26](3),
張數,74261,186289,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,6.870000000111759,3.240000000223517,
20100629,4935392.929999999701977,4985096.880000000819564,9920489.810000000521541
20100630,4891578.940000000409782,4880775.040000000037253,9772353.980000000447035
20100701,4953958.179999999701977,4899403.940000000409782,9853362.120000001043081
20100702,4911629.410000000149012,4994411.330000000074506,9906040.740000000223517
20100706,4909401.580000000074506,4957153.530000000260770,9866555.109999999403954
20100707,4998514.780000000260770,4940387.520000000484288,9938902.300000000745058
20100708,5125501.089999999850988,4988822.660000000149012,10114323.750000000000000
20100709,5140353.290000000037253,4964605.089999999850988,10104958.379999998956919
20100712,5193821.209999999962747,4934798.849999999627471,10128620.059999998658895
20100713,5260656.110000000335276,5009314.450000000186265,10269970.560000000521541
20100714,5265111.770000000484288,5000000.000000000000000,10265111.769999999552965
20100715,5297044.000000000000000,4992548.440000000409782,10289592.440000001341105
20100716,5193821.209999999962747,4972056.650000000372529,10165877.859999999403954
20100719,5191593.379999999888241,4977645.320000000298023,10169238.699999999254942
20100720,5262883.940000000409782,4968330.870000000111759,10231214.810000000521541
20100721,5206445.580000000074506,4940387.520000000484288,10146833.100000001490116
20100722,5302242.270000000484288,5029806.240000000223517,10332048.510000001639128
20100723,5190850.770000000484288,5219821.020000000484288,10410671.790000000968575
20100726,5262883.940000000409782,5268256.160000000149012,10531140.100000001490116
20100727,5227981.270000000484288,5326005.750000000000000,10553987.019999999552965
20100728,5181196.839999999850988,5385618.230000000447035,10566815.070000000298023
20100729,5152235.049999999813735,5380029.559999999590218,10532264.609999999403954
20100730,5178226.400000000372529,5413561.580000000074506,10591787.980000000447035
20100802,5216842.120000000111759,5506706.080000000074506,10723548.199999999254942
20100803,5231694.320000000298023,5502980.299999999813735,10734674.620000001043081
20100804,5249516.959999999962747,5476899.839999999850988,10726416.800000000745058
20100805,5231694.320000000298023,5504843.190000000409782,10736537.510000001639128
20100806,5327491.009999999776483,5504843.190000000409782,10832334.199999999254942
20100809,5415118.990000000223517,5562592.780000000260770,10977711.769999999552965
20100810,5409178.110000000335276,5592399.020000000484288,11001577.130000000819564
20100811,5314866.639999999664724,5506706.080000000074506,10821572.719999998807907
20100812,5351254.530000000260770,5648285.720000000670552,10999540.250000000000000
20100813,5338630.160000000149012,5594261.910000000149012,10932892.070000000298023
20100816,5331204.060000000521541,5581221.680000000633299,10912425.740000002086163
20100817,5437397.290000000037253,5620342.370000000111759,11057739.660000000149012
20100818,5439625.120000000111759,5616616.589999999850988,11056241.710000000894070
20100819,5418832.040000000037253,5517883.420000000856817,10936715.460000000894070
20100820,5427000.750000000000000,5471311.170000000856817,10898311.920000001788139
20100823,5446308.610000000335276,5478762.730000000447035,10925071.339999999850988
20100824,5400266.790000000037253,5489940.070000000298023,10890206.859999999403954
20100825,5435169.459999999962747,5525334.980000000447035,10960504.440000001341105
20100826,5432941.629999999888241,5495528.740000000223517,10928470.370000001043081
20100827,5494578.259999999776483,5558867.000000000000000,11053445.259999999776483
20100830,5401752.009999999776483,5484351.400000000372529,10886103.410000000149012
20100831,5425515.530000000260770,5501117.410000000149012,10926632.940000001341105
20100901,5535421.810000000521541,5637108.380000000819564,11172530.190000001341105
20100902,5571067.089999999850988,5609165.030000000260770,11180232.120000001043081
20100903,5576265.360000000335276,5625931.040000000037253,11202196.400000000372529
20100907,5628990.669999999925494,5629656.820000000298023,11258647.490000000223517
20100908,5649783.750000000000000,5674366.180000000633299,11324149.929999999701977
20100909,5522797.440000000409782,5745156.000000000000000,11267953.440000001341105
20100910,5570324.480000000447035,5741430.220000000670552,11311754.700000001117587
20100913,5537649.639999999664724,5756333.339999999850988,11293982.980000000447035
20100914,5490865.209999999962747,5758196.230000000447035,11249061.440000001341105
20100915,5548046.179999999701977,5810357.150000000372529,11358403.330000000074506
20100916,5554729.669999999925494,5853203.620000000111759,11407933.289999999105930
20100917,5519084.389999999664724,5901638.759999999776483,11420723.149999998509884
20100920,5577750.580000000074506,5978017.250000000931323,11555767.830000001937151
20100921,5607454.980000000447035,6020863.720000000670552,11628318.700000001117587
20100922,5579235.799999999813735,6033903.950000000186265,11613139.750000000000000
20100923,5542847.910000000149012,5992920.370000000111759,11535768.280000001192093
20100924,5577007.969999999739230,6080476.200000000186265,11657484.169999999925494
20100927,5551759.230000000447035,6121459.780000000260770,11673219.010000001639128
20100928,5542105.299999999813735,6095379.320000000298023,11637484.620000001043081
20100929,5528738.320000000298023,6084201.979999999515712,11612940.300000000745058
