訓練日期,20131030 - 20140203
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11034444.679999999701977
真實報酬,1034444.679999999701977

夏普值報酬,0.094744468000000
夏普值風險,0.036725055314454
夏普值,2.579831866521652

預期報酬,18822.975301873695571
風險,108434.244235284859315
趨勢值,0.173588845798850
找到最佳解世代,3335
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,3
DD[7](4),MRK[17](1),UTX[24](2),
Stock#,DD[7](4),MRK[17](1),UTX[24](2),
張數,59322,73131,31322,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,29.820000000298023,22.020000000018626,45.759999999776483,
20131030,3316722.840000000316650,3308468.459999999962747,3318611.659999999683350,9943803.960000000894070
20131031,3334519.440000000409782,3297498.810000000055879,3328008.259999999776483,9960027.509999999776483
20131101,3290621.160000000149012,3307737.149999999906868,3367473.979999999981374,9965833.290000000968575
20131104,3244350.000000000000000,3343571.339999999850988,3382195.319999999832362,9970117.660000000149012
20131105,3271044.900000000372529,3317244.180000000167638,3372798.720000000204891,9961088.800000000745058
20131106,3316722.840000000316650,3361122.780000000260770,3403807.500000000000000,10081654.120000001043081
20131107,3266892.360000000335276,3350884.439999999944121,3359956.699999999720603,9977734.500000000000000
20131108,3351129.600000000558794,3422552.819999999832362,3400048.859999999869615,10173732.279999999329448
20131111,3350536.379999999888241,3437179.020000000018626,3385327.519999999552965,10173043.919999999925494
20131112,3323248.260000000707805,3480326.310000000055879,3365594.659999999683350,10169170.230000000447035
20131113,3345197.400000000372529,3462043.560000000055879,3365907.879999999422580,10173149.839999999850988
20131114,3387909.240000000223517,3497146.439999999944121,3404433.939999999478459,10289490.619999999180436
20131115,3398587.200000000186265,3515429.189999999944121,3401301.739999999757856,10315319.130000000819564
20131118,3368332.980000000447035,3511041.330000000074506,3418215.619999999646097,10297590.929999999701977
20131119,3354095.700000000186265,3515429.189999999944121,3417275.959999999497086,10286801.849999999627471
20131120,3316722.840000000316650,3519817.050000000279397,3408819.019999999552965,10245359.910000000149012
20131121,3348163.500000000000000,3555651.239999999757856,3438261.699999999720603,10342077.439999999478459
20131122,3350536.379999999888241,3579053.159999999683350,3451730.159999999683350,10381320.699999999254942
20131125,3295366.919999999925494,3631707.479999999981374,3455175.580000000074506,10382250.980000000447035
20131126,3276977.100000000558794,3625857.000000000000000,3474908.439999999478459,10377743.539999999105930
20131127,3303078.780000000260770,3644139.750000000000000,3492761.979999999981374,10439981.509999999776483
20131129,3300112.680000000633299,3644139.750000000000000,3472402.679999999701977,10416656.109999999403954
20131202,3377824.500000000000000,3669735.600000000093132,3455175.580000000074506,10502736.679999999701977
20131203,3271044.900000000372529,3639020.580000000074506,3435755.939999999478459,10345822.419999999925494
20131204,3285282.180000000633299,3606111.630000000353903,3412264.439999999478459,10303659.250000000000000
20131205,3261553.379999999888241,3569546.130000000353903,3415709.859999999869615,10246810.369999999180436
20131206,3317316.060000000521541,3611962.109999999869615,3480546.399999999906868,10409825.570000000298023
20131209,3446638.020000000484288,3624394.380000000353903,3482425.720000000204891,10553459.120000001043081
20131210,3529688.820000000298023,3614887.350000000093132,3476161.319999999832362,10620738.490000000223517
20131211,3467993.940000000409782,3579784.470000000204891,3403494.279999999795109,10451273.689999999478459
20131212,3443671.919999999925494,3533711.939999999944121,3385640.739999999757856,10363025.599999999627471
20131213,3507739.680000000633299,3538099.800000000279397,3362462.459999999497086,10408302.939999999478459
20131216,3514265.100000000558794,3516891.810000000055879,3399422.419999999925494,10430580.330000000074506
20131217,3565282.020000000484288,3502996.919999999925494,3370919.399999999906868,10439199.339999999850988
20131218,3675620.940000000409782,3576127.919999999925494,3439514.580000000074506,10691264.440000001341105
20131219,3708841.260000000707805,3568083.509999999776483,3429804.759999999776483,10706730.530000001192093
20131220,3698756.520000000484288,3606842.939999999944121,3466138.279999999795109,10771738.740000000223517
20131223,3707061.600000000558794,3609768.180000000167638,3471149.799999999348074,10787980.580000000074506
20131224,3752739.540000000037253,3613424.729999999981374,3491509.099999999627471,10857674.369999999180436
20131226,3789519.180000000633299,3636095.339999999850988,3529721.939999999478459,10955337.460000000894070
20131227,3767570.040000000037253,3641214.509999999776483,3533167.359999999869615,10941952.910000000149012
20131230,3767570.040000000037253,3652184.159999999683350,3530974.819999999832362,10950730.019999999552965
20131231,3750959.879999999888241,3660228.569999999832362,3564489.359999999869615,10975678.809999998658895
20140102,3705875.160000000149012,3619275.209999999962747,3523457.539999999571592,10848608.910000000149012
20140103,3689265.000000000000000,3636826.649999999906868,3536299.560000000055879,10862392.210000000894070
20140106,3682739.580000000074506,3637557.959999999962747,3532854.140000000130385,10853152.679999999701977
20140107,3641807.400000000372529,3664616.430000000167638,3555405.979999999981374,10861830.810000000521541
20140108,3645959.940000000409782,3641214.509999999776483,3559791.060000000055879,10846966.509999999776483
20140109,3599095.560000000521541,3621469.140000000130385,3561670.379999999422580,10782236.080000000074506
20140110,3607993.860000000335276,3647796.300000000279397,3565429.019999999552965,10821220.179999999701977
20140113,3539180.340000000316650,3884740.739999999757856,3533167.359999999869615,10957089.439999999478459
20140114,3603248.100000000558794,3875965.020000000018626,3527842.619999999646097,11007056.740000000223517
20140115,3637061.640000000596046,3840862.140000000130385,3572946.299999999348074,11050871.080000000074506
20140116,3640027.740000000223517,3839399.520000000018626,3577644.599999999627471,11057072.859999999403954
20140117,3638841.300000000279397,3799177.470000000204891,3577331.379999999422580,11015351.150000000372529
20140121,3880281.840000000316650,3790401.750000000000000,3601762.539999999571592,11272447.129999998956919
20140122,3858925.919999999925494,3755298.870000000111759,3637156.399999999906868,11251382.189999999478459
20140123,3778248.000000000000000,3773581.620000000111759,3597064.239999999757856,11148894.859999999403954
20140124,3667315.860000000335276,3801371.399999999906868,3501845.359999999869615,10970533.619999999180436
20140127,3641214.180000000633299,3841593.450000000186265,3564176.140000000130385,11046984.770000001415610
20140128,3637654.860000000335276,3866457.989999999757856,3566368.679999999701977,11070482.529999999329448
20140129,3778841.220000000670552,3818191.530000000260770,3547888.699999999720603,11144922.450000001117587
20140130,3828078.480000000447035,3913261.830000000074506,3592052.720000000204891,11333394.030000001192093
20140131,3844688.640000000596046,3873771.089999999850988,3571380.199999999720603,11289840.929999999701977
20140203,3775281.900000000372529,3808684.500000000000000,3450477.279999999795109,11034444.679999999701977
