訓練日期,20140203 - 20140506
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10846804.860000001266599
真實報酬,846804.860000001266599

夏普值報酬,0.075980486000000
夏普值風險,0.027318036705462
夏普值,2.781330401566152

預期報酬,14464.105066139962219
風險,58557.018560278040241
趨勢值,0.247008905537954
找到最佳解世代,1980
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
CVX[5](4),JNJ[12](1),KO[14](15),MCD[15](7),PG[21](2),TRV[22](8),UNH[23](19),
Stock#,CVX[5](4),JNJ[12](1),KO[14](15),MCD[15](7),PG[21](2),TRV[22](8),UNH[23](19),
張數,12797,16147,37772,15170,18644,17575,19764,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,41.890000000130385,45.909999999916181,33.959999999962747,12.099999999860302,67.719999999972060,75.000000000000000,29.080000000074506,
20140203,1422300.470000000204891,1401282.569999999832362,1405152.360000000102445,1411125.499999999767169,1411418.520000000018626,1410644.500000000000000,1398134.439999999944121,9860061.359999999403954
20140204,1418333.400000000139698,1398699.050000000046566,1415728.519999999785796,1412187.399999999906868,1418689.679999999934807,1412226.250000000000000,1393588.720000000204891,9869456.019999999552965
20140205,1401569.330000000074506,1409356.069999999832362,1420638.879999999888241,1419620.699999999720603,1425401.520000000018626,1413808.000000000000000,1399715.560000000055879,9890113.059999998658895
20140206,1423964.080000000074506,1433092.159999999916181,1436503.120000000111759,1440251.899999999906868,1433791.320000000065193,1418201.750000000000000,1400703.760000000242144,9986511.089999999850988
20140207,1433945.739999999990687,1453921.790000000037253,1433481.360000000102445,1455118.500000000000000,1441435.360000000102445,1421541.000000000000000,1410388.120000000111759,10049834.870000001043081
20140210,1429338.820000000065193,1470553.199999999720603,1456900.000000000000000,1439038.299999999813735,1454859.040000000037253,1447376.250000000000000,1378370.439999999944121,10076439.049999998882413
20140211,1453525.150000000139698,1501232.500000000000000,1459544.040000000037253,1446319.899999999906868,1469960.679999999934807,1462490.750000000000000,1395762.760000000242144,10188838.779999999329448
20140212,1433689.800000000046566,1492351.649999999906868,1454633.679999999934807,1439493.399999999906868,1444791.279999999795109,1445794.500000000000000,1388252.439999999944121,10099009.749999998137355
20140213,1439832.360000000102445,1494612.229999999981374,1459921.760000000009313,1448140.299999999813735,1450570.919999999925494,1456691.000000000000000,1407423.520000000018626,10157195.089999999850988
20140214,1452245.450000000186265,1497841.629999999888241,1470497.919999999925494,1452994.699999999953434,1480401.320000000065193,1476726.500000000000000,1453078.360000000102445,10283788.879999998956919
20140218,1442391.760000000009313,1488314.899999999906868,1415350.799999999813735,1456635.499999999767169,1453740.399999999906868,1482877.750000000000000,1459205.199999999953434,10198519.309999998658895
20140219,1453781.090000000083819,1479756.989999999990687,1401375.159999999916181,1449505.599999999860302,1456909.879999999888241,1476550.750000000000000,1453671.280000000027940,10171553.749999998137355
20140220,1466578.090000000083819,1491705.769999999785796,1408929.559999999823049,1452539.599999999860302,1452808.199999999953434,1473035.750000000000000,1452287.800000000046566,10197887.769999999552965
20140221,1442007.850000000325963,1477819.349999999860302,1404396.919999999925494,1463158.599999999860302,1453740.399999999906868,1472684.250000000000000,1458809.920000000158325,10172620.289999999105930
20140224,1460819.440000000176951,1471199.079999999841675,1416483.959999999962747,1463917.099999999860302,1451689.560000000055879,1466533.000000000000000,1502290.720000000204891,10232935.860000001266599
20140225,1471312.980000000214204,1471199.079999999841675,1426682.400000000139698,1465737.500000000000000,1456537.000000000000000,1464775.500000000000000,1488653.560000000055879,10244901.020000001415610
20140226,1478223.360000000102445,1471199.079999999841675,1430459.599999999860302,1454663.399999999906868,1451689.560000000055879,1466357.250000000232831,1503278.920000000158325,10255874.169999999925494
20140227,1480526.820000000065193,1475235.829999999841675,1438014.000000000000000,1442375.699999999720603,1457842.079999999841675,1473738.750000000000000,1502488.360000000102445,10270224.539999999105930
20140228,1475919.900000000139698,1487507.550000000046566,1442924.360000000102445,1443437.599999999860302,1466604.760000000009313,1473563.000000000000000,1527193.360000000102445,10317153.529999999329448
20140303,1469649.370000000111759,1478465.229999999981374,1439902.599999999860302,1430846.499999999767169,1444604.840000000083819,1461963.500000000232831,1523833.479999999981374,10249268.520000001415610
20140304,1475791.929999999934807,1507206.889999999897555,1447079.280000000027940,1440858.699999999953434,1462689.520000000018626,1478308.250000000000000,1544190.399999999906868,10356127.970000000670552
20140305,1464402.600000000325963,1495096.639999999897555,1448590.159999999916181,1441465.499999999767169,1450943.799999999813735,1482877.750000000000000,1541423.439999999944121,10324802.889999998733401
20140306,1469777.340000000083819,1499940.739999999990687,1453122.799999999813735,1449960.699999999720603,1455418.360000000102445,1483405.000000000000000,1534506.040000000037253,10346133.980000000447035
20140307,1472720.650000000139698,1506883.949999999720603,1456144.559999999823049,1448747.099999999860302,1461384.439999999944121,1475144.750000000232831,1529762.680000000167638,10350791.129999998956919
20140310,1482446.370000000111759,1508983.060000000055879,1459921.760000000009313,1444196.099999999860302,1464181.040000000037253,1472508.500000000000000,1539249.399999999906868,10371489.230000000447035
20140311,1465426.360000000102445,1509628.939999999944121,1465587.559999999823049,1498504.699999999953434,1472011.520000000018626,1468993.500000000000000,1537273.000000000000000,10417428.580000000074506
20140312,1480014.940000000176951,1511405.109999999869615,1453122.799999999813735,1497442.799999999813735,1477418.279999999795109,1466357.250000000232831,1533715.479999999981374,10419479.660000000149012
20140313,1464658.540000000270084,1501716.909999999916181,1434236.799999999813735,1477115.000000000000000,1476486.079999999841675,1451594.250000000000000,1522054.720000000204891,10327865.300000000745058
20140314,1460179.590000000083819,1498648.979999999981374,1441791.199999999953434,1480300.699999999720603,1472570.840000000083819,1452824.500000000000000,1496163.880000000121072,10302482.690000001341105
20140317,1472592.679999999934807,1516733.620000000111759,1445568.400000000139698,1480604.099999999860302,1488604.679999999934807,1468290.500000000000000,1517113.720000000204891,10389510.700000001117587
20140318,1487565.170000000158325,1516895.089999999850988,1450478.760000000009313,1476204.799999999813735,1487299.599999999860302,1475496.250000000000000,1541621.080000000074506,10435563.749999998137355
20140319,1474256.290000000270084,1511243.639999999897555,1440658.040000000037253,1457849.099999999860302,1468842.040000000037253,1462315.000000000000000,1580358.520000000018626,10395525.629999998956919
20140320,1478223.360000000102445,1519801.550000000046566,1452367.360000000102445,1465434.099999999860302,1460265.799999999813735,1462842.250000000000000,1611388.000000000000000,10450325.419999999925494
20140321,1479759.000000000000000,1549027.620000000111759,1451989.639999999897555,1448291.999999999767169,1452062.439999999944121,1472508.500000000000000,1607632.840000000083819,10461275.039999999105930
20140324,1482574.340000000083819,1537240.310000000055879,1450478.760000000009313,1459062.699999999953434,1478536.919999999925494,1473914.500000000000000,1606447.000000000000000,10488257.530000001192093
20140325,1498442.620000000111759,1572440.769999999785796,1458788.599999999860302,1454966.799999999813735,1488045.360000000102445,1476902.250000000000000,1602889.479999999981374,10552478.879999998956919
20140326,1506376.760000000009313,1567112.259999999776483,1458410.879999999888241,1453904.899999999906868,1482265.719999999972060,1466357.250000000232831,1611585.640000000130385,10546016.410000000149012
20140327,1505864.880000000121072,1570826.069999999832362,1466343.000000000000000,1458759.299999999813735,1485062.320000000065193,1467411.750000000000000,1601308.360000000102445,10555578.679999999701977
20140328,1516486.390000000130385,1573409.589999999850988,1471253.360000000102445,1475142.899999999674037,1487113.160000000149012,1476199.250000000000000,1613166.760000000242144,10612774.409999998286366
20140331,1521733.160000000149012,1586165.719999999972060,1460299.479999999748543,1487127.199999999953434,1502774.119999999878928,1495707.500000000000000,1620479.439999999944121,10674289.619999999180436
20140401,1522884.890000000130385,1581483.089999999850988,1450856.479999999748543,1485155.099999999860302,1497926.679999999934807,1483229.250000000000000,1617514.840000000083819,10639053.329999998211861
20140402,1527363.840000000083819,1586165.719999999972060,1447834.719999999972060,1480452.399999999906868,1494011.439999999944121,1487798.750000000000000,1612969.120000000111759,10636598.989999998360872
20140403,1523396.770000000251457,1586650.129999999888241,1438014.000000000000000,1481514.299999999813735,1493452.119999999878928,1493598.500000000000000,1625618.080000000074506,10642246.900000000372529
20140404,1520325.489999999990687,1589233.649999999906868,1443679.799999999813735,1484700.000000000000000,1487299.599999999860302,1497465.000000000000000,1611388.000000000000000,10634094.539999999105930
20140407,1501641.870000000111759,1580675.739999999990687,1458788.599999999860302,1471653.800000000046566,1500723.279999999795109,1493950.000000000000000,1602494.199999999953434,10609930.489999998360872
20140408,1507528.489999999990687,1583420.729999999981374,1469364.760000000009313,1487885.699999999720603,1516757.119999999878928,1489204.750000000000000,1594193.320000000065193,10648357.870000001043081
20140409,1524164.590000000083819,1597791.560000000055879,1472764.239999999990687,1491981.599999999860302,1519367.279999999795109,1508361.499999999767169,1608621.040000000037253,10723054.809999998658895
20140410,1493323.820000000065193,1558877.290000000037253,1468987.040000000037253,1508365.199999999953434,1511909.679999999934807,1493774.250000000000000,1580951.439999999944121,10616191.720000000670552
20140411,1497674.800000000046566,1564205.800000000046566,1459166.320000000065193,1506241.399999999906868,1505757.160000000149012,1499222.500000000000000,1560396.880000000121072,10592667.860000001266599
20140414,1519045.790000000270084,1568565.489999999990687,1462943.519999999785796,1518680.799999999813735,1506689.360000000102445,1502737.500000000000000,1564942.600000000093132,10643608.060000000521541
20140415,1539520.989999999990687,1601828.310000000055879,1517712.919999999925494,1529603.199999999720603,1507248.679999999934807,1509591.750000000000000,1571464.720000000204891,10776973.570000000298023
20140416,1559100.400000000139698,1594562.159999999916181,1533199.440000000176951,1529603.199999999720603,1522350.320000000065193,1525233.500000000000000,1545376.239999999990687,10809428.259999999776483
20140417,1582774.850000000325963,1597953.029999999795109,1538109.799999999813735,1520804.599999999860302,1524401.160000000149012,1523476.000000000232831,1497745.000000000000000,10785267.439999999478459
20140421,1589941.170000000158325,1614745.909999999916181,1539242.959999999962747,1512006.000000000000000,1520672.360000000102445,1518555.000000000000000,1481340.880000000121072,10776507.280000001192093
20140422,1586869.890000000130385,1617652.370000000111759,1537732.080000000074506,1506696.499999999767169,1514892.719999999972060,1527166.750000000000000,1497349.720000000204891,10788363.029999999329448
20140423,1595699.820000000065193,1618298.250000000000000,1538487.519999999785796,1503814.199999999720603,1498299.560000000055879,1548959.750000000000000,1488851.199999999953434,10792413.299999998882413
20140424,1590708.989999999990687,1614100.029999999795109,1537354.360000000102445,1514584.899999999906868,1513028.320000000065193,1557044.250000000000000,1513753.840000000083819,10840577.689999999478459
20140425,1586741.920000000158325,1611355.040000000037253,1549063.679999999934807,1528086.199999999953434,1517875.760000000009313,1552123.250000000000000,1495373.320000000065193,10840622.169999999925494
20140428,1609008.700000000186265,1636382.889999999897555,1549819.120000000111759,1521714.799999999813735,1546401.079999999841675,1575498.000000000000000,1496954.439999999944121,10935782.029999999329448
