訓練日期,20170417 - 20170718
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10852074.679999999701977
真實報酬,852074.679999999701977

夏普值報酬,0.076507468000000
夏普值風險,0.023915453592046
夏普值,3.199080782872837

預期報酬,13501.810888592324773
風險,47119.857604132681445
趨勢值,0.286541844035796
找到最佳解世代,1888
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
BA[2](1),JNJ[12](12),KO[14](10),MCD[15](4),NKE[19](23),XOM[29](19),
Stock#,BA[2](1),JNJ[12](12),KO[14](10),MCD[15](4),NKE[19](23),XOM[29](19),
張數,9490,13334,38949,12745,30116,20402,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,32.199999999953434,49.340000000083819,38.290000000037253,129.800000000046566,46.559999999823049,26.620000000111759,
20170417,1698932.000000000000000,1676399.820000000065193,1677571.719999999972060,1674185.550000000046566,1693770.399999999906868,1664421.780000000027940,10085285.269999999552965
20170418,1687828.699999999953434,1624397.219999999972060,1693540.809999999823049,1686293.300000000279397,1689855.319999999832362,1653608.719999999972060,10035528.070000000298023
20170419,1693048.199999999953434,1618396.920000000158325,1683803.559999999823049,1690626.599999999860302,1682326.319999999832362,1642183.600000000093132,10010389.199999999254942
20170420,1701589.199999999953434,1625063.920000000158325,1678350.700000000186265,1698655.950000000186265,1698588.959999999729916,1652792.640000000130385,10055045.370000001043081
20170421,1711838.399999999906868,1623597.180000000167638,1677571.719999999972060,1700440.250000000000000,1682025.159999999916181,1646264.000000000000000,10041740.709999999031425
20170424,1727781.599999999860302,1638664.600000000093132,1685751.010000000009313,1710891.149999999906868,1670581.079999999841675,1654832.840000000083819,10088506.279999999329448
20170425,1741542.099999999860302,1645864.960000000195578,1679129.679999999934807,1806096.299999999813735,1669978.760000000009313,1667482.080000000307336,10210097.880000000819564
20170426,1724460.100000000093132,1646931.680000000167638,1684193.050000000046566,1795135.600000000093132,1661245.119999999646097,1660749.420000000158325,10172718.969999998807907
20170427,1738790.000000000000000,1649998.500000000000000,1675234.780000000027940,1795517.950000000186265,1670581.079999999841675,1657893.140000000130385,10188019.450000001117587
20170428,1754068.900000000139698,1646398.320000000065193,1680687.639999999897555,1783537.650000000139698,1668774.119999999646097,1665849.920000000158325,10199320.550000000745058
20170501,1730913.299999999813735,1644664.900000000139698,1683414.070000000065193,1799086.550000000046566,1656125.399999999906868,1674214.740000000223517,10188422.960000000894070
20170502,1740877.800000000046566,1649465.140000000130385,1690035.400000000139698,1800106.149999999906868,1658534.679999999934807,1674010.719999999972060,10213033.890000000596046
20170503,1740403.299999999813735,1644531.560000000055879,1687308.969999999972060,1817821.700000000186265,1642272.039999999804422,1687272.020000000251457,10219613.589999999850988
20170504,1737366.500000000000000,1652798.640000000130385,1700551.629999999888241,1828400.049999999813735,1640465.079999999841675,1665645.900000000139698,10225231.799999998882413
20170505,1755777.099999999860302,1646931.680000000167638,1701720.099999999860302,1834900.000000000232831,1624804.760000000009313,1673398.659999999916181,10237536.300000000745058
20170508,1765362.000000000000000,1643464.840000000083819,1709509.900000000139698,1838468.600000000093132,1635345.359999999636784,1691148.400000000139698,10283303.099999999627471
20170509,1773808.099999999860302,1642931.479999999981374,1694709.280000000027940,1839998.000000000232831,1653113.799999999813735,1679315.240000000223517,10283879.900000000372529
20170510,1738410.399999999906868,1637597.880000000121072,1697046.219999999972060,1842037.200000000186265,1643175.519999999785796,1671154.439999999944121,10229425.660000000149012
20170511,1745622.800000000046566,1642798.140000000130385,1700941.120000000111759,1838086.250000000232831,1633538.399999999906868,1685435.840000000083819,10246426.550000000745058
20170512,1739074.699999999953434,1648665.100000000093132,1697825.200000000186265,1852743.000000000232831,1632333.760000000009313,1684211.719999999972060,10254857.480000000447035
