訓練日期,20091019 - 20100121
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11588111.859999999403954
真實報酬,1588111.859999999403954

夏普值報酬,0.150111186000000
夏普值風險,0.053122875866814
夏普值,2.825735308012073

預期報酬,29863.886465381940070
風險,126413.193205863019102
趨勢值,0.236240266605312
找到最佳解世代,4648
找到最佳解實驗#,1
找到最佳解次數,30

stock[index](rank)
投資組合檔數,5
BA[2](22),JNJ[12](6),MSFT[18](4),UNH[23](1),V[25](2),
Stock#,BA[2](22),JNJ[12](6),MSFT[18](4),UNH[23](1),V[25](2),
張數,37601,33079,75471,81799,107700,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,2.810000000055879,43.659999999916181,18.500000000000000,14.449999999953434,11.000000000000000,
20091019,2009776.260000000242144,2023155.299999999813735,1989434.060000000055879,2038445.530000000027940,2018308.999999999767169,10079120.150000000372529
20091020,1951118.700000000186265,2004300.270000000018626,1990188.770000000018626,2123516.490000000223517,2020463.000000000232831,10089587.230000000447035
20091021,1903741.440000000176951,1995038.149999999906868,2006037.679999999934807,2054805.330000000074506,2024771.000000000000000,9984393.599999999627471
20091022,1920285.880000000121072,2015877.919999999925494,2006792.389999999897555,2103066.740000000223517,2037695.000000000232831,10083717.929999999701977
20091023,1875916.700000000186265,2002646.319999999832362,2114715.919999999925494,2114518.599999999627471,1995692.000000000232831,10103489.539999999105930
20091026,1815755.100000000093132,1987760.770000000018626,2164526.779999999795109,2070347.139999999897555,1960151.000000000000000,9998540.789999999105930
20091027,1795450.560000000055879,1985445.239999999990687,2157734.390000000130385,2167687.950000000186265,1990307.000000000000000,10096625.140000000596046
20091028,1775522.030000000027940,1970559.689999999944121,2114715.919999999925494,2116972.570000000298023,2061389.000000000000000,10039159.210000000894070
20091029,1835307.620000000111759,1980152.599999999860302,2129810.120000000111759,2165233.979999999515712,2080775.000000000000000,10191279.320000000298023
20091030,1797330.609999999869615,1953358.609999999869615,2092829.330000000074506,2122698.500000000000000,2039849.000000000232831,10006066.050000000745058
20091102,1815003.080000000074506,1967913.369999999878928,2104149.979999999981374,2161144.030000000260770,2080775.000000000000000,10128985.460000000894070
20091103,1808610.910000000149012,1949389.129999999888241,2077735.130000000121072,2201225.540000000037253,2090468.000000000000000,10127428.710000000894070
20091104,1807482.880000000121072,1968905.739999999990687,2117734.759999999776483,2279752.580000000074506,2108777.000000000000000,10282652.960000000894070
20091105,1871404.580000000074506,1984122.079999999841675,2148677.870000000111759,2307564.240000000223517,2143241.000000000000000,10455009.769999999552965
20091106,1868020.489999999990687,1994707.359999999869615,2152451.419999999925494,2345191.780000000260770,2145395.000000000000000,10505766.050000000745058
20091109,1930814.160000000149012,2009592.909999999916181,2187922.790000000037253,2382819.320000000298023,2185244.000000000000000,10696393.179999999701977
20091110,1892085.130000000121072,2025470.829999999841675,2189432.209999999962747,2369731.479999999515712,2183090.000000000000000,10659809.649999998509884
20091111,1905621.489999999990687,2013562.389999999897555,2197734.020000000018626,2402451.080000000074506,2175551.000000000000000,10694919.980000000447035
20091112,1890581.090000000083819,2022824.509999999776483,2215847.060000000055879,2352553.690000000409782,2151857.000000000000000,10633663.350000001490116
20091113,1905621.489999999990687,2032086.629999999888241,2236224.229999999981374,2378729.370000000111759,2154011.000000000000000,10706672.719999998807907
20091116,1973303.290000000037253,2057226.669999999925494,2229431.839999999850988,2384455.299999999813735,2142164.000000000000000,10786581.099999999627471
