訓練日期,20120511 - 20120813
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11395280.230000000447035
真實報酬,1395280.230000000447035

夏普值報酬,0.130828023000000
夏普值風險,0.045022660828294
夏普值,2.905826101636849

預期報酬,25192.215706614006194
風險,93895.790759272946161
趨勢值,0.268299734236234
找到最佳解世代,2455
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
PFE[20](12),WMT[28](1),
Stock#,PFE[20](12),WMT[28](1),
張數,219010,84473,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,1.700000000186265,43.129999999888241,
20120511,4960578.200000000186265,5019428.790000000037253,9980006.990000000223517
20120514,4947437.600000000558794,4989863.240000000223517,9937300.839999999850988
20120515,4883924.700000000186265,5013515.679999999701977,9897440.379999998956919
20120516,4958388.100000000558794,5000000.000000000000000,9958388.100000001490116
20120517,4940867.299999999813735,5210337.769999999552965,10151205.070000000298023
20120518,4943057.400000000372529,5273692.519999999552965,10216749.919999999925494
20120521,4936487.099999999627471,5325221.049999999813735,10261708.149999998509884
20120522,4899255.400000000372529,5383507.419999999925494,10282762.820000000298023
20120523,4899255.400000000372529,5383507.419999999925494,10282762.820000000298023
20120524,4848883.100000000558794,5496701.239999999292195,10345584.339999999850988
20120525,4846693.000000000000000,5516974.759999999776483,10363667.759999999776483
20120529,4857643.500000000000000,5548229.770000000484288,10405873.269999999552965
20120530,4826982.099999999627471,5527956.250000000000000,10354938.349999999627471
20120531,4789750.400000000372529,5560055.989999999292195,10349806.390000000596046
20120601,4739378.100000000558794,5537248.279999999329448,10276626.379999998956919
20120604,4732807.799999999813735,5574416.399999999441206,10307224.199999999254942
20120605,4730617.700000000186265,5533024.629999999888241,10263642.330000000074506
20120606,4798510.799999999813735,5569348.020000000484288,10367858.820000000298023
20120607,4805081.100000000558794,5564279.640000000596046,10369360.740000002086163
20120608,4848883.100000000558794,5762791.189999999478459,10611674.289999999105930
20120611,4840122.700000000186265,5704504.820000000298023,10544627.519999999552965
20120612,4859833.600000000558794,5720554.689999999478459,10580388.289999999105930
20120613,4859833.600000000558794,5665647.239999999292195,10525480.839999999850988
20120614,4940867.299999999813735,5712952.119999999180436,10653819.419999998062849
20120615,4951817.799999999813735,5723088.879999999888241,10674906.679999999701977
20120618,4954007.900000000372529,5754343.890000000596046,10708351.790000000968575
20120619,4973718.800000000745058,5728157.259999999776483,10701876.060000000521541
20120620,4964958.400000000372529,5788133.089999999850988,10753091.490000000223517
20120621,4949627.700000000186265,5718865.230000000447035,10668492.929999999701977
20120622,4978099.000000000000000,5685076.029999999329448,10663175.029999999329448
20120625,4921156.400000000372529,5759412.270000000484288,10680568.670000001788139
20120626,4914586.100000000558794,5793201.469999999739230,10707787.570000000298023
20120627,4951817.799999999813735,5794046.200000000186265,10745864.000000000000000
20120628,4934297.000000000000000,5769549.029999999329448,10703846.029999999329448
20120629,5037231.700000000186265,5889500.689999999478459,10926732.390000000596046
20120702,5037231.700000000186265,5858245.679999999701977,10895477.379999998956919
20120703,5008760.400000000372529,5976507.879999999888241,10985268.280000001192093
20120705,4964958.400000000372529,6004383.969999999739230,10969342.370000001043081
20120706,4936487.099999999627471,6028036.410000000149012,10964523.509999999776483
20120709,4960578.200000000186265,6061825.610000000335276,11022403.810000000521541
20120710,4914586.100000000558794,6091391.160000000149012,11005977.260000001639128
20120711,4892685.100000000558794,6104062.110000000335276,10996747.210000000894070
20120712,4964958.400000000372529,6108285.759999999776483,11073244.160000000149012
20120713,4995619.799999999813735,6181777.270000000484288,11177397.070000000298023
20120716,5065703.000000000000000,6164882.669999999925494,11230585.669999999925494
20120717,5173017.900000000372529,6175019.429999999701977,11348037.330000000074506
20120718,5183968.400000000372529,6153901.179999999701977,11337869.580000000074506
20120719,5212439.700000000186265,6042396.820000000298023,11254836.519999999552965
20120720,5190538.700000000186265,6103217.379999999888241,11293756.080000000074506
20120723,5168637.700000000186265,6069428.179999999701977,11238065.879999998956919
20120724,5120455.500000000000000,6093925.349999999627471,11214380.849999999627471
20120725,5109505.000000000000000,6088856.969999999739230,11198361.969999998807907
20120726,5144546.599999999627471,6223169.040000000037253,11367715.640000000596046
20120727,5219010.000000000000000,6294971.089999999850988,11513981.089999999850988
20120730,5192728.800000000745058,6333828.669999999925494,11526557.470000000670552
20120731,5265002.099999999627471,6287368.520000000484288,11552370.620000001043081
20120801,5243101.100000000558794,6218945.390000000596046,11462046.490000002086163
20120802,5238720.900000000372529,6255268.779999999329448,11493989.679999999701977
20120803,5317564.500000000000000,6297505.279999999329448,11615069.779999999329448
20120806,5313184.300000000745058,6274697.570000000298023,11587881.870000001043081
20120807,5199299.099999999627471,6250200.399999999441206,11449499.500000000000000
20120808,5219010.000000000000000,6277231.759999999776483,11496241.759999999776483
20120809,5227770.400000000372529,6238374.179999999701977,11466144.580000000074506
20120810,5243101.100000000558794,6224013.770000000484288,11467114.870000001043081
20120813,5194918.900000000372529,6200361.330000000074506,11395280.230000000447035
