訓練日期,20100212 - 20100517
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12023270.920000001788139
真實報酬,2023270.920000001788139

夏普值報酬,0.193627092000000
夏普值風險,0.061355181462334
夏普值,3.155839285046655

預期報酬,37731.499054823056213
風險,225497.884657954971772
趨勢值,0.167325290488005
找到最佳解世代,1768
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),HD[9](2),MCD[15](3),
Stock#,AAPL[0](1),HD[9](2),MCD[15](3),
張數,117453,114982,52254,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,16.860000000335276,4.820000000298023,50.339999999850988,
20100212,3362696.250000000000000,3334482.820000000298023,3322882.200000000186265,10020062.269999999552965
20100216,3413201.040000000037253,3385074.900000000372529,3344828.879999999888241,10143105.820000000298023
20100217,3399106.680000000633299,3451764.460000000428408,3357892.379999999888241,10208764.519999999552965
20100218,3404979.330000000074506,3483959.420000000391155,3369388.260000000242144,10258328.009999999776483
20100219,3383837.790000000037253,3466712.120000000111759,3382974.299999999813735,10233525.210000000894070
20100222,3362696.250000000000000,3486259.060000000521541,3384541.919999999459833,10233498.230000000447035
20100223,3306318.810000000055879,3535701.320000000298023,3389767.320000000298023,10231788.450000001117587
20100224,3367394.370000000577420,3605840.340000000316650,3410146.379999999888241,10383382.089999999850988
20100225,3389710.440000000409782,3605840.340000000316650,3364162.859999999403954,10359714.640000000596046
20100226,3433168.050000000279397,3587443.220000000204891,3336468.239999999757856,10357080.509999999776483
20100301,3507163.440000000409782,3613889.080000000074506,3343261.259999999776483,10464314.780000001192093
20100302,3504814.380000000353903,3605840.340000000316650,3347964.119999999646097,10458619.839999999850988
20100303,3511861.560000000055879,3618488.360000000335276,3324972.359999999869615,10455323.279999999329448
20100304,3535352.160000000614673,3615038.900000000372529,3314521.560000000055879,10464913.620000001043081
20100305,3673946.700000000651926,3656432.420000000391155,3327062.520000000018626,10657442.640000000596046
20100308,3676295.760000000242144,3674829.540000000502914,3402830.820000000298023,10753957.120000001043081
20100309,3742069.440000000409782,3642634.580000000074506,3401785.739999999757856,10786490.759999999776483
20100310,3772607.220000000204891,3646084.040000000502914,3393425.099999999627471,10812117.359999999403954
20100311,3783177.990000000223517,3694376.480000000447035,3407533.679999999701977,10885089.150000000372529
20100312,3801970.470000000204891,3731170.720000000670552,3424254.959999999962747,10957397.150000002235174
20100315,3756163.800000000279397,3758766.399999999906868,3445156.560000000055879,10960087.759999999776483
20100316,3765560.040000000502914,3742668.919999999925494,3452472.119999999646097,10960702.080000000074506
20100317,3760861.920000000856817,3739219.460000000428408,3468670.859999999403954,10968753.240000000223517
20100318,3769083.630000000819564,3725421.620000000111759,3484347.060000000055879,10978853.310000000521541
20100319,3729149.610000000335276,3720822.340000000316650,3476508.959999999962747,10926481.910000000149012
20100322,3771432.690000000409782,3756466.760000000707805,3501590.879999999888241,11029491.330000001937151
20100323,3831333.720000000204891,3747268.200000000651926,3519357.239999999757856,11097960.160000000149012
20100324,3848951.670000000856817,3716223.060000000521541,3490617.539999999571592,11055793.270000001415610
20100325,3803145.000000000465661,3750717.660000000149012,3495842.939999999944121,11049706.599999999627471
20100326,3874791.330000000540167,3765665.320000000298023,3514654.379999999888241,11155112.030000001192093
20100329,3899456.460000000894070,3748418.020000000484288,3504726.119999999646097,11152601.600000001490116
20100330,3957008.430000000167638,3758766.399999999906868,3513609.299999999813735,11229385.129999998956919
