訓練日期,20140429 - 20140730
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11066274.660000000149012
真實報酬,1066274.660000000149012

夏普值報酬,0.097927466000000
夏普值風險,0.031286546717777
夏普值,3.130018371262403

預期報酬,17503.716662467304559
風險,39857.543297168413119
趨勢值,0.439156937796285
找到最佳解世代,4689
找到最佳解實驗#,1
找到最佳解次數,22

stock[index](rank)
投資組合檔數,9
AAPL[0](3),CSCO[4](2),CVX[5](19),DIS[6](6),INTC[11](8),MCD[15](25),MMM[16](9),UNH[23](1),VZ[26](7),
Stock#,AAPL[0](3),CSCO[4](2),CVX[5](19),DIS[6](6),INTC[11](8),MCD[15](25),MMM[16](9),UNH[23](1),VZ[26](7),
張數,13091,48267,8837,14285,42199,11076,8096,14670,23843,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,77.829999999841675,4.659999999916181,34.989999999990687,23.699999999953434,11.330000000074506,77.439999999944121,96.920000000158325,5.200000000186265,27.199999999953434,
20140429,1107838.250000000000000,1117868.379999999888241,1113231.879999999888241,1123396.099999999860302,1117440.850000000093132,1124291.439999999944121,1113701.720000000204891,1103189.200000000186265,1115164.310000000055879,10036123.130000000819564
20140430,1103649.129999999888241,1115455.029999999795109,1109255.229999999981374,1133395.600000000093132,1126302.640000000130385,1122962.319999999832362,1126169.560000000288710,1100842.000000000232831,1114210.589999999850988,10052243.100000001490116
20140501,1106267.329999999841675,1110628.330000000074506,1104129.770000000018626,1136538.300000000046566,1116174.880000000121072,1118310.399999999906868,1140094.680000000167638,1099521.700000000186265,1125893.659999999916181,10057560.050000000745058
20140502,1108230.979999999981374,1107249.639999999897555,1102185.629999999888241,1147252.050000000046566,1114486.920000000158325,1123516.120000000111759,1134508.440000000176951,1100695.300000000279397,1123509.359999999869615,10061635.439999999478459
20140505,1123940.179999999701977,1108214.979999999981374,1107841.310000000055879,1160251.399999999906868,1104359.160000000149012,1120304.079999999841675,1138475.480000000214204,1103629.300000000279397,1129946.969999999972060,10096963.860000001266599
20140506,1111765.549999999813735,1096630.899999999906868,1104394.879999999888241,1157537.250000000000000,1105625.130000000121072,1118199.639999999897555,1127788.760000000009313,1104069.400000000372529,1131854.409999999916181,10057866.919999999925494
20140507,1107838.250000000000000,1103870.949999999953434,1115529.500000000000000,1146966.350000000093132,1112798.960000000195578,1129386.399999999906868,1142766.360000000102445,1142944.900000000139698,1146875.500000000000000,10148978.169999999925494
20140508,1099721.829999999841675,1111111.000000000000000,1105455.320000000065193,1165679.699999999953434,1111532.989999999990687,1129275.639999999897555,1140256.600000000325963,1127981.500000000232831,1156174.270000000018626,10147189.850000001490116
20140509,1095139.979999999981374,1111111.000000000000000,1104925.100000000093132,1170679.449999999953434,1109845.030000000027940,1140130.120000000111759,1144385.560000000288710,1128861.700000000186265,1155935.839999999850988,10161014.780000001192093
20140512,1108754.619999999878928,1119316.389999999897555,1106780.869999999878928,1177393.399999999906868,1112798.960000000195578,1139354.800000000046566,1156367.640000000130385,1140451.000000000000000,1148306.079999999841675,10209524.759999999776483
20140513,1110456.449999999720603,1103388.279999999795109,1112171.439999999944121,1172536.500000000000000,1116174.880000000121072,1146775.719999999972060,1153210.200000000186265,1144852.000000000232831,1140914.750000000000000,10200481.220000000670552
20140514,1110718.269999999785796,1100974.929999999934807,1117208.530000000027940,1155965.899999999906868,1111111.000000000000000,1141237.719999999972060,1146490.520000000018626,1132089.100000000325963,1144729.629999999888241,10160526.599999997764826
20140515,1101292.750000000000000,1167100.719999999972060,1094143.959999999962747,1144966.449999999953434,1097607.320000000065193,1135367.439999999944121,1141471.000000000000000,1121966.800000000279397,1143537.479999999981374,10147454.920000001788139
20140516,1117525.589999999850988,1176271.449999999953434,1088576.650000000139698,1148394.849999999860302,1089589.510000000009313,1142456.079999999841675,1142685.400000000139698,1124460.700000000186265,1170003.209999999962747,10199964.440000001341105
20140519,1130747.500000000000000,1175306.109999999869615,1086544.140000000130385,1157822.949999999953434,1098873.290000000037253,1130826.280000000027940,1147057.239999999990687,1132529.200000000186265,1171910.649999999906868,10231618.360000001266599
20140520,1131009.319999999832362,1164204.699999999953434,1082567.489999999990687,1158394.350000000093132,1098873.290000000037253,1124623.719999999972060,1135399.000000000000000,1124607.400000000139698,1159989.149999999906868,10179669.419999999925494
20140521,1134020.250000000000000,1181580.819999999832362,1097236.909999999916181,1174107.849999999860302,1105625.130000000121072,1136032.000000000000000,1138880.280000000027940,1140157.600000000093132,1172387.510000000009313,10280029.349999999627471
20140522,1135722.079999999841675,1176754.119999999878928,1092553.300000000046566,1176393.449999999953434,1103515.179999999934807,1134813.639999999897555,1136046.680000000167638,1149253.000000000232831,1179063.550000000046566,10284116.000000000000000
20140523,1148551.260000000009313,1183511.500000000000000,1090255.679999999934807,1190249.899999999906868,1109423.040000000037253,1129829.439999999944121,1142766.360000000102445,1155561.100000000093132,1185978.020000000018626,10336127.300000000745058
20140527,1170151.409999999683350,1192682.229999999981374,1085572.070000000065193,1196249.599999999860302,1127146.620000000111759,1133816.800000000046566,1145195.160000000149012,1160548.900000000139698,1183116.859999999869615,10394480.649999998509884
20140528,1167009.569999999832362,1197991.599999999860302,1082744.229999999981374,1194249.699999999953434,1134320.449999999953434,1122076.239999999990687,1145114.200000000186265,1152773.800000000046566,1185978.020000000018626,10382258.810000000521541
20140529,1188347.899999999674037,1191234.219999999972060,1080976.829999999841675,1200392.250000000000000,1137696.370000000111759,1122519.280000000027940,1152886.360000000102445,1164363.100000000325963,1185501.159999999916181,10423918.470000000670552
20140530,1183896.959999999962747,1188338.199999999953434,1085130.219999999972060,1200106.550000000046566,1152888.010000000009313,1123516.120000000111759,1154181.720000000204891,1168177.300000000046566,1191223.479999999981374,10447459.560000000521541
20140602,1175780.539999999804422,1196060.919999999925494,1080004.760000000009313,1203820.649999999906868,1150356.070000000065193,1130161.719999999972060,1152319.640000000130385,1165830.100000000093132,1193369.349999999860302,10447704.749999998137355
20140603,1192406.109999999869615,1191234.219999999972060,1083009.339999999850988,1198249.500000000000000,1167235.670000000158325,1123737.639999999897555,1156934.360000000102445,1171844.800000000046566,1175248.669999999925494,10459901.310000000521541
20140604,1206020.750000000000000,1182546.159999999916181,1081241.939999999944121,1203392.099999999860302,1164703.730000000214204,1134702.879999999888241,1151833.880000000121072,1181086.900000000372529,1171910.649999999906868,10477439.990000000223517
20140605,1210733.510000000009313,1192199.559999999823049,1091581.229999999981374,1211106.000000000000000,1167235.670000000158325,1134813.639999999897555,1163573.080000000307336,1170671.200000000186265,1175010.239999999990687,10516925.130000000819564
20140606,1207329.849999999860302,1198474.269999999785796,1097502.020000000018626,1208677.550000000046566,1188757.160000000149012,1129386.399999999906868,1171102.360000000102445,1172578.300000000279397,1178348.260000000009313,10552157.169999999925494
20140609,1226704.529999999795109,1197026.260000000009313,1099092.679999999934807,1221105.500000000000000,1177785.420000000158325,1122962.319999999832362,1176607.640000000130385,1170084.400000000372529,1181924.709999999962747,10573294.460000000894070
20140610,1233904.579999999841675,1206679.659999999916181,1107664.570000000065193,1210677.449999999953434,1191711.090000000083819,1117424.319999999832362,1173774.040000000037253,1170817.900000000139698,1180732.560000000055879,10593387.169999999925494
20140611,1228799.089999999850988,1208610.339999999850988,1106250.650000000139698,1204392.050000000046566,1178629.400000000139698,1112329.359999999869615,1169240.280000000027940,1176099.100000000325963,1177156.109999999869615,10561507.380000000819564
20140612,1208246.219999999972060,1190268.879999999888241,1114469.060000000055879,1182821.699999999953434,1179895.370000000111759,1105019.199999999953434,1158391.640000000130385,1165390.000000000232831,1169287.919999999925494,10473790.990000000223517
